Product ID : 2112 JPs covered : 329 : Bankruptcy-Asset-Sales, 
us_000523081,1.000000, 3.096975
us_000502627,1.000000, 3.197561
us_000484626,0.543385, 2.488626
us_000525818,0.543385, 2.625581
us_000484877,0.543385, 2.655477
us_000484887,0.543385, 2.686118
us_000517000,0.543385, 2.755987
us_000515610,0.543385, 2.914133
us_000536995,0.543385, 2.921868
us_000471596,0.450474, 0.698723
us_000520280,0.450474, 0.699026
us_000505621,0.450474, 0.712115
us_000489895,0.450474, 0.728545
us_000592287,0.450474, 0.730478
us_000502094,0.450474, 0.731956
us_000504540,0.450474, 0.732583
us_000459401,0.450474, 0.736769
us_000473580,0.450474, 0.745737
us_000473468,0.450474, 0.757056
us_000516919,0.450474, 0.772325
us_000539400,0.450474, 0.799789
us_000383464,0.450474, 0.801319
us_000502616,0.450474, 0.805002
us_000295977,0.450474, 0.809365
us_000508313,0.450474, 0.814825
us_000519908,0.450474, 0.815960
us_000605221,0.450474, 0.825111
us_000495964,0.450474, 0.829383
us_000197413,0.450474, 0.830879
us_000500231,0.450474, 0.832600
us_000497349,0.450474, 0.833497
us_000478884,0.450474, 0.836663
us_000494530,0.450474, 0.836801
us_000502556,0.450474, 0.837035
us_000523687,0.450474, 0.837035
us_000176699,0.450474, 0.840172
us_000520585,0.450474, 0.841132
us_000582612,0.450474, 0.841538
us_000494726,0.450474, 0.842415
us_000517978,0.450474, 0.845499
us_000509403,0.450474, 0.847769
us_000572140,0.450474, 0.852708
us_000508634,0.450474, 0.854555
us_000523092,0.450474, 0.854987
us_000555326,0.450474, 0.858016
us_000497125,0.450474, 0.858756
us_000559255,0.450474, 0.859260
us_000501167,0.450474, 0.868815
us_000500556,0.450474, 0.868815
us_000539486,0.450474, 0.868815
us_000497042,0.450474, 0.868815
us_000561283,0.450474, 0.872316
us_000499498,0.450474, 0.877232
us_000516600,0.450474, 0.877232
us_000539204,0.450474, 0.877232
us_000497164,0.450474, 0.877232
us_000502513,0.450474, 0.877232
us_000473549,0.450474, 0.877232
us_000517977,0.450474, 0.877232
us_000538361,0.450474, 0.877232
us_000523501,0.450474, 0.877232
us_000499934,0.450474, 0.877232
us_000555861,0.450474, 0.878170
us_000521972,0.450474, 0.886382
us_000494630,0.450474, 0.886505
us_000517422,0.450474, 0.891775
us_000571285,0.450474, 0.892741
us_000527995,0.450474, 0.896425
us_000617492,0.450474, 0.896990
us_000613181,0.450474, 0.898088
us_000594157,0.450474, 0.906416
us_000607026,0.450474, 0.907443
us_000516999,0.450474, 0.909141
us_000573361,0.450474, 0.910219
us_000496207,0.450474, 0.911816
us_000617507,0.450474, 0.913082
us_000521737,0.450474, 0.921748
us_000573277,0.450474, 0.922121
us_000488992,0.450474, 0.925157
us_000485631,0.450474, 0.925157
us_000590916,0.450474, 0.925414
us_000497912,0.450474, 0.925512
us_000494838,0.450474, 0.932531
us_000601009,0.450474, 0.932908
us_000580918,0.450474, 0.935015
us_000606694,0.450474, 0.937970
us_000153982,0.450474, 0.937970
us_000485827,0.450474, 0.939288
us_000605959,0.450474, 0.942202
us_000601008,0.450474, 0.944673
us_000458807,0.450474, 0.945549
us_000580045,0.450474, 0.945549
us_000581203,0.450474, 0.945549
us_000600419,0.450474, 0.946435
us_000607654,0.450474, 0.948730
us_000602360,0.450474, 0.949254
us_000497832,0.450474, 0.955465
us_000515393,0.450474, 0.965268
us_000501063,0.450474, 0.966702
us_000500934,0.450474, 0.966702
us_000501564,0.450474, 0.966702
us_000527608,0.450474, 0.978158
us_000522880,0.450474, 0.978167
us_000503652,0.450474, 0.978167
us_000516871,0.450474, 0.978167
us_000517578,0.450474, 0.978167
us_000499230,0.450474, 0.978167
us_000538473,0.450474, 0.978167
us_000500094,0.450474, 0.978167
us_000516159,0.450474, 0.978167
us_000523591,0.450474, 0.978167
us_000523058,0.450474, 0.978167
us_000497461,0.450474, 0.978167
us_000517959,0.450474, 0.978167
us_000523389,0.450474, 0.978167
us_000612255,0.450474, 0.978167
pr_001032386,0.450474, 0.991056
us_000484844,0.450474, 1.012581
us_000054987,0.450474, 1.037839
us_000538488,0.450474, 1.088561
us_000539700,0.450474, 1.358536
pr_001117336,0.135871, 0.000001
us_000484740,0.135871, 0.038569
us_000463362,0.135871, 3.437291
us_000495614,0.135871, 3.733348
us_000494954,0.135871, 3.786176
us_000576951,0.135871, 3.922237
us_000540594,0.135871, 3.990994
us_000494794,0.135871, 4.018619
us_000522068,0.135871, 4.085480
us_000517137,0.135871, 4.113553
us_000516904,0.135871, 4.172709
us_000503228,0.135871, 4.174875
us_000487806,0.135871, 4.180322
us_000547172,0.135871, 4.217636
us_000515609,0.135871, 4.235786
us_000468498,0.135871, 4.322466
