Product ID : 1032 # of JPs covered : 1 : 205 : Real Estate Finance, 
OID,Confidence at Map Node,Error at Map Node
us_000540582,0.826737, 0.386196
us_000578947,0.826737, 0.386214
us_000458502,0.826737, 0.386218
us_000579596,0.826737, 0.386218
us_000506732,0.826737, 0.386262
us_000588528,0.826737, 0.386292
us_000561658,0.826737, 0.386733
us_000466029,0.826737, 0.386870
us_000468002,0.826737, 0.386872
us_000461970,0.826737, 0.386875
us_000465451,0.826737, 0.386875
us_000466370,0.826737, 0.386875
us_000470394,0.826737, 0.386875
us_000396900,0.826737, 0.386875
us_000450942,0.826737, 0.386875
us_000458835,0.826737, 0.386875
us_000464556,0.826737, 0.386875
us_000610033,0.826737, 0.386875
us_000474055,0.826737, 0.386876
us_000411511,0.826737, 0.386900
us_000459662,0.826737, 0.386922
us_000397477,0.826737, 0.386922
us_000461600,0.826737, 0.386922
us_000474316,0.826737, 0.386922
us_000469630,0.826737, 0.386936
us_000258808,0.826737, 0.386936
us_000183495,0.826737, 0.386936
us_000468479,0.826737, 0.386936
us_000582683,0.826737, 0.387000
us_000529026,0.826737, 0.387000
us_000543283,0.826737, 0.387001
us_000491294,0.826737, 0.387013
us_000489108,0.826737, 0.387105
us_000585178,0.826737, 0.387145
us_000585909,0.826737, 0.387145
us_000488434,0.826737, 0.387149
us_000577312,0.826737, 0.387183
us_000581654,0.826737, 0.387183
us_000216136,0.826737, 0.387208
us_000585767,0.826737, 0.387225
us_000584639,0.826737, 0.387225
us_000585790,0.826737, 0.387225
us_000582722,0.826737, 0.387225
us_000471587,0.826737, 0.387225
us_000583958,0.826737, 0.387225
us_000584889,0.826737, 0.387225
us_000585228,0.826737, 0.387225
us_000607993,0.826737, 0.387225
us_000471476,0.826737, 0.387225
us_000607397,0.826737, 0.387225
us_000584702,0.826737, 0.387225
us_000493155,0.826737, 0.387225
us_000351799,0.826737, 0.387302
us_000468419,0.826737, 0.387558
us_000471379,0.826737, 0.387611
us_000482740,0.826737, 0.387882
us_000458874,0.826737, 0.387882
us_000466372,0.826737, 0.387882
us_000494078,0.826737, 0.387882
us_000553856,0.826737, 0.387882
us_000472189,0.826737, 0.387882
us_000488284,0.826737, 0.387882
us_000461631,0.826737, 0.387882
us_000541468,0.826737, 0.387882
us_000471340,0.826737, 0.387882
us_000487173,0.826737, 0.387882
us_000488433,0.826737, 0.387882
us_000467439,0.826737, 0.387882
us_000467963,0.826737, 0.387882
us_000466287,0.826737, 0.387882
us_000486908,0.826737, 0.387882
us_000467496,0.826737, 0.387882
us_000468221,0.826737, 0.387882
us_000463765,0.826737, 0.387882
us_000609377,0.826737, 0.387882
us_000486125,0.826737, 0.387882
us_000491283,0.826737, 0.387882
us_000483824,0.826737, 0.387882
us_000153669,0.826737, 0.387882
us_000481522,0.826737, 0.387882
us_000467631,0.826737, 0.387882
us_000609191,0.826737, 0.387882
us_000487746,0.826737, 0.387882
us_000491345,0.826737, 0.387882
us_000307401,0.826737, 0.387882
us_000467939,0.826737, 0.387882
us_000498139,0.826737, 0.387882
us_000493270,0.826737, 0.387882
us_000450278,0.826737, 0.387882
us_000040271,0.826737, 0.387882
us_000490424,0.826737, 0.387882
us_000460841,0.826737, 0.387882
us_000459188,0.826737, 0.387882
us_000466993,0.826737, 0.387882
us_000471460,0.826737, 0.387882
us_000073484,0.826737, 0.387882
us_000491420,0.826737, 0.387882
us_000484049,0.826737, 0.387882
us_000148004,0.826737, 0.387882
us_000494048,0.826737, 0.387882
us_000458452,0.826737, 0.387882
us_000602844,0.826737, 0.387882
us_000467766,0.826737, 0.387882
us_000216190,0.826737, 0.387882
us_000459087,0.826737, 0.387882
us_000568241,0.826737, 0.387882
us_000461571,0.826737, 0.387882
us_000556424,0.826737, 0.387882
us_000480935,0.826737, 0.387882
us_000468089,0.826737, 0.387882
us_000482569,0.826737, 0.387882
us_000461685,0.826737, 0.387882
us_000611051,0.826737, 0.387882
us_000492489,0.826737, 0.387882
us_000470992,0.826737, 0.387882
us_000613925,0.826737, 0.387882
us_000517022,0.826737, 0.387882
us_000482860,0.826737, 0.387882
us_000496577,0.826737, 0.387882
us_000298311,0.826737, 0.387882
us_000486725,0.826737, 0.387882
us_000607068,0.826737, 0.387882
us_000482717,0.826737, 0.387882
us_000155027,0.826737, 0.387882
us_000492282,0.826737, 0.387882
us_000467392,0.826737, 0.387882
us_000467471,0.826737, 0.387882
us_000485705,0.826737, 0.387882
us_000488552,0.826737, 0.387882
us_000461507,0.826737, 0.387882
us_000458575,0.826737, 0.387882
us_000499929,0.826737, 0.387882
us_000467504,0.826737, 0.387882
us_000565504,0.826737, 0.387882
us_000473681,0.826737, 0.387882
us_000487895,0.826737, 0.387882
us_000488447,0.826737, 0.387882
us_000570627,0.826737, 0.387882
us_000471368,0.826737, 0.387882
us_000132467,0.826737, 0.388398
us_000461245,0.826737, 0.388401
us_000573273,0.826737, 0.388482
us_000466390,0.826737, 0.389139
us_000461984,0.826737, 0.390533
us_000472774,0.826737, 0.390533
us_000509580,0.826737, 0.391009
us_000464647,0.826737, 0.391564
us_000465982,0.826737, 0.391832
us_000465983,0.826737, 0.391832
us_000464029,0.826737, 0.395443
us_000396182,0.826737, 0.395775
us_000493141,0.826737, 0.395808
us_000469474,0.826737, 0.410006
us_000466157,0.826737, 1.025407
us_000554548,0.343879, 0.000000
us_000512893,0.343879, 0.000000
us_000514144,0.343879, 0.000000
us_000569176,0.343879, 0.000000
us_000540248,0.343879, 0.000000
us_000556752,0.343879, 0.000000
us_000508752,0.343879, 0.000000
us_000541197,0.343879, 0.000000
us_000520191,0.343879, 0.000000
us_000547211,0.343879, 0.000000
us_000513104,0.343879, 0.000000
us_000548735,0.343879, 0.000000
us_000520571,0.343879, 0.000000
us_000513150,0.343879, 0.000000
us_000563527,0.343879, 0.000000
us_000565803,0.343879, 0.000000
us_000566392,0.343879, 0.000000
us_000594032,0.343879, 0.000000
us_000584807,0.343879, 0.000000
us_000472443,0.343879, 0.000000
us_000468096,0.343879, 0.000000
us_000538281,0.343879, 0.000000
us_000541285,0.343879, 0.000000
us_000531792,0.343879, 0.000000
us_000512765,0.343879, 0.000000
us_000513749,0.343879, 0.000000
us_000597981,0.343879, 0.000000
us_000586165,0.343879, 0.000000
us_000521149,0.343879, 0.000000
us_000575964,0.343879, 0.000000
us_000531826,0.343879, 0.000000
us_000588165,0.343879, 0.000000
pr_001146805,0.343879, 0.000000
pr_000910415,0.343879, 0.000000
pr_001155516,0.343879, 0.000000
us_000510892,0.343879, 0.000000
us_000542756,0.343879, 0.000000
us_000581299,0.343879, 0.000009
pr_001050845,0.343879, 0.000009
us_000583522,0.343879, 0.000011
us_000595472,0.343879, 0.000011
us_000569882,0.343879, 0.000014
us_000569805,0.343879, 0.000014
us_000509150,0.343879, 0.000014
us_000565590,0.343879, 0.000014
pr_001673484,0.343879, 0.000015
us_000547831,0.343879, 0.000031
us_000597560,0.343879, 0.000038
us_000598293,0.343879, 0.000041
pr_000941310,0.343879, 0.000043
pr_000958077,0.343879, 0.000076
pr_001800144,0.343879, 0.000093
us_000040060,0.343879, 0.000109
pr_000882501,0.343879, 0.000156
pr_000820095,0.343879, 0.000156
pr_000816738,0.343879, 0.000160
pr_001150673,0.343879, 0.000204
us_000608611,0.343879, 0.000241
us_000478689,0.343879, 0.000292
us_000587766,0.343879, 0.000296
us_000484245,0.343879, 0.000478
pr_002095206,0.343879, 0.000568
us_000538248,0.343879, 0.000646
us_000509763,0.343879, 0.000936
us_000574346,0.343879, 0.001978
us_000544973,0.343879, 0.002947
us_000616713,0.343879, 0.003863
us_000518302,0.343879, 0.003906
us_000501962,0.343879, 0.003943
us_000542153,0.343879, 0.004854
us_000488166,0.343879, 0.010519
us_000510710,0.343879, 0.015015
us_000514395,0.343879, 0.016266
us_000585792,0.343879, 0.027209
us_000568275,0.343879, 0.032085
us_000480771,0.343879, 0.037798
us_000579485,0.343879, 0.050068
us_000097887,0.343879, 0.055109
us_000545568,0.343879, 0.179087
us_000475597,0.343879, 3.276980
us_000474913,0.343879, 3.679645
us_000485572,0.343879, 3.749323
us_000474853,0.343879, 3.953918
pr_000126181,0.276805, 0.000000
pr_001897446,0.276805, 0.000000
pr_001814224,0.276805, 0.000000
us_000492258,0.276805, 0.000000
us_000517469,0.276805, 0.000000
us_000540698,0.276805, 0.000000
us_000534258,0.276805, 0.000000
pr_001015782,0.276805, 0.000007
pr_000586966,0.276805, 0.000008
us_000535800,0.276805, 0.000009
us_000502683,0.276805, 0.000009
pr_000092802,0.276805, 0.000015
pr_000940761,0.276805, 0.000019
pr_002194887,0.276805, 0.000084
us_000616796,0.276805, 0.000123
pr_002000658,0.276805, 0.000156
us_000500634,0.276805, 0.000731
us_000522820,0.276805, 0.001117
