Product ID : 2066 JPs covered : 126 : Products Liability, 
pr_000639837,0.850422, 0.000271
pr_000576501,0.850422, 0.000305
pr_000158130,0.850422, 0.000307
pr_000757874,0.850422, 0.000337
pr_000104328,0.850422, 0.000337
pr_000596588,0.850422, 0.000337
pr_000552606,0.850422, 0.000337
pr_000177841,0.850422, 0.000337
pr_001157595,0.850422, 0.000338
pr_000177932,0.850422, 0.000342
pr_000104830,0.850422, 0.000344
pr_000178071,0.850422, 0.000382
pr_000650234,0.850422, 0.000775
pr_000178781,0.850422, 0.001668
pr_000703530,0.850422, 0.003490
pr_000740812,0.850422, 0.003490
pr_000815428,0.850422, 0.003491
pr_000865438,0.850422, 0.003651
pr_000597961,0.850422, 0.004832
pr_000817364,0.850422, 0.005983
us_000536980,0.793920, 0.083641
us_000492192,0.793920, 0.090192
us_000551542,0.793920, 0.148710
us_000483219,0.793920, 0.155195
us_000528808,0.793920, 0.164607
us_000489408,0.793920, 0.165559
us_000488379,0.793920, 0.168635
us_000616937,0.793920, 0.202293
us_000487152,0.793920, 0.208108
us_000488039,0.792467, 0.167969
us_000501636,0.792467, 0.190197
pr_000510450,0.554376, 0.000003
pr_000230664,0.554376, 0.000016
us_000544716,0.554376, 0.026350
us_000544083,0.554376, 0.042445
us_000537525,0.554376, 0.120747
us_000574139,0.554376, 0.120747
us_000523517,0.554376, 0.120747
us_000500178,0.554376, 0.126567
us_000582787,0.554376, 0.126885
us_000528891,0.554376, 0.126885
us_000582804,0.554376, 0.132861
us_000583075,0.554376, 0.133179
us_000536276,0.554376, 0.133179
us_000462234,0.554376, 0.139753
us_000487209,0.517296, 0.098885
us_000487153,0.517296, 0.098885
us_000527256,0.517296, 0.098885
us_000527209,0.517296, 0.100219
us_000500787,0.517296, 0.104445
us_000565658,0.517296, 0.104445
us_000565659,0.517296, 0.104445
us_000487627,0.517296, 0.104445
us_000527460,0.517296, 0.104445
us_000493738,0.517296, 0.104445
us_000505229,0.517296, 0.110162
us_000506747,0.517296, 0.110162
us_000506748,0.517296, 0.110162
us_000537524,0.517296, 0.110162
us_000505370,0.517296, 0.110162
us_000494755,0.517296, 0.110162
us_000505369,0.517296, 0.110162
us_000507816,0.517296, 0.116035
us_000497327,0.517296, 0.116035
us_000541654,0.517296, 0.116035
us_000583877,0.517296, 0.116035
us_000459867,0.517296, 0.116035
us_000522044,0.517296, 0.116035
us_000539316,0.517296, 0.116035
us_000523923,0.517296, 0.116035
us_000522656,0.517296, 0.116035
us_000565004,0.517296, 0.116035
us_000565152,0.517296, 0.116035
us_000518648,0.517296, 0.116035
us_000459791,0.517296, 0.116035
us_000269381,0.517296, 0.116035
us_000523864,0.517296, 0.116035
us_000487664,0.517296, 0.116035
us_000526821,0.517296, 0.116035
us_000541489,0.517296, 0.116035
us_000513866,0.517296, 0.116035
us_000584236,0.517296, 0.116035
us_000527139,0.517296, 0.116035
us_000499822,0.517296, 0.116035
us_000460221,0.517296, 0.116035
us_000584235,0.517296, 0.116035
us_000495877,0.517296, 0.116035
us_000584237,0.517296, 0.116035
us_000523604,0.517296, 0.116035
us_000583892,0.517296, 0.116035
us_000491829,0.502683, 0.115973
us_000471709,0.502683, 0.116076
us_000491211,0.502683, 0.118191
us_000528852,0.502683, 0.118191
us_000553761,0.502683, 0.118191
us_000553355,0.502683, 0.118191
us_000506015,0.502683, 0.118191
us_000583854,0.502683, 0.118191
us_000486657,0.502683, 0.118191
us_000552763,0.502683, 0.118191
us_000486379,0.502683, 0.118191
us_000579972,0.502683, 0.118191
us_000490044,0.502683, 0.118191
us_000523925,0.502683, 0.118191
us_000505953,0.502683, 0.118191
us_000488247,0.502683, 0.118191
us_000553263,0.502683, 0.118191
us_000497339,0.502683, 0.118191
us_000495983,0.502683, 0.118191
us_000502684,0.502683, 0.118191
us_000491961,0.502683, 0.118191
us_000541175,0.502683, 0.118191
us_000501409,0.502683, 0.118191
us_000488901,0.502683, 0.118191
us_000505411,0.502683, 0.118191
us_000583789,0.502683, 0.118191
us_000523926,0.502683, 0.118191
us_000495802,0.502683, 0.118191
us_000491238,0.502683, 0.118191
us_000493895,0.502683, 0.118191
us_000504452,0.502683, 0.118191
us_000494537,0.502683, 0.118191
us_000506548,0.502683, 0.118191
us_000499107,0.502683, 0.118191
us_000551940,0.502683, 0.118191
us_000492576,0.502683, 0.118191
us_000537835,0.502683, 0.118191
us_000583278,0.502683, 0.118191
us_000575071,0.502683, 0.118191
us_000580962,0.502683, 0.118191
us_000564995,0.502683, 0.118191
us_000583828,0.502683, 0.118191
us_000553608,0.502683, 0.118191
us_000493628,0.502683, 0.118191
us_000580087,0.502683, 0.118191
us_000574085,0.502683, 0.118191
us_000574075,0.502683, 0.118191
us_000505215,0.502683, 0.118191
us_000501481,0.502683, 0.118191
us_000521865,0.502683, 0.118191
us_000541164,0.502683, 0.118191
us_000496274,0.502683, 0.118191
us_000495467,0.502683, 0.118191
us_000502691,0.502683, 0.118191
us_000506045,0.502683, 0.118191
us_000553768,0.502683, 0.118191
us_000496401,0.502683, 0.118191
us_000526322,0.502683, 0.118191
us_000558686,0.502683, 0.118191
us_000491143,0.502683, 0.118191
us_000551436,0.502683, 0.118191
us_000553973,0.502683, 0.118191
us_000496474,0.502683, 0.118191
us_000553145,0.502683, 0.118191
us_000493368,0.502683, 0.118191
us_000523927,0.502683, 0.118191
us_000506479,0.502683, 0.118191
us_000505155,0.502683, 0.118191
us_000501343,0.502683, 0.119483
us_000569064,0.502683, 0.119528
us_000489742,0.502683, 0.123536
us_000565544,0.502683, 0.123956
us_000573813,0.502683, 0.123956
us_000583848,0.502683, 0.127870
us_000500520,0.502683, 0.131753
us_000489073,0.502683, 0.168678
pr_000003135,0.325210, 0.000000
pr_000002676,0.325210, 0.000000
us_000516285,0.325210, 0.010564
us_000499255,0.325210, 0.093501
us_000470770,0.325210, 0.107607
us_000513000,0.325210, 0.109351
us_000566079,0.325210, 0.113787
us_000488331,0.325210, 0.113787
us_000526166,0.325210, 0.117225
us_000580328,0.325210, 0.117225
us_000566078,0.325210, 0.118589
us_000489301,0.325210, 0.118589
us_000505211,0.325210, 0.118589
us_000499162,0.325210, 0.141730
us_000500961,0.325210, 0.144603
us_000492689,0.325210, 0.149387
us_000517561,0.325210, 0.154937
us_000491112,0.325210, 0.154937
us_000500338,0.325210, 0.157189
us_000501627,0.325210, 0.160617
us_000521758,0.325210, 0.163238
us_000487549,0.325210, 0.163464
us_000527839,0.325210, 0.168855
us_000526817,0.325210, 0.168855
us_000526127,0.325210, 0.173859
us_000501919,0.325210, 0.173859
us_000498781,0.325210, 0.173859
us_000463246,0.325210, 0.175223
us_000505292,0.325210, 0.175223
us_000489224,0.325210, 0.175223
us_000499804,0.325210, 0.182791
us_000523774,0.325210, 0.184524
us_000488841,0.325210, 0.187464
us_000487064,0.325210, 0.190892
us_000537761,0.325210, 0.190892
us_000499466,0.290898, 0.000000
us_000467978,0.290898, 0.000000
us_000500466,0.290898, 0.016504
us_000488112,0.290898, 0.082245
us_000488122,0.290898, 0.082245
us_000488087,0.290898, 0.082245
us_000460309,0.269133, 0.000000
us_000470273,0.269133, 0.000000
us_000492662,0.269133, 0.000000
us_000471316,0.269133, 0.000000
us_000473520,0.269133, 0.000001
us_000528368,0.143846, 0.001091
us_000500240,0.143846, 0.069547
us_000501731,0.143846, 0.069547
us_000487259,0.143846, 0.074282
us_000500186,0.143846, 0.074282
us_000524038,0.143846, 0.074369
us_000522431,0.143846, 0.079173
us_000493781,0.143846, 0.079173
