Product ID : 2119 # of JPs covered : 1 : 370 : Construction Contracts, 
us_000488654,0.519867, 0.873081
us_000498039,0.519867, 0.874149
us_000503480,0.519867, 0.881986
us_000592543,0.519867, 0.884239
us_000496558,0.519867, 0.886732
us_000493527,0.519867, 0.891297
us_000483571,0.519867, 0.891745
us_000486568,0.519867, 0.895658
us_000485894,0.519867, 0.899471
us_000548343,0.519867, 0.901427
us_000524360,0.519867, 0.902495
us_000529263,0.519867, 0.903886
us_000585232,0.519867, 0.906014
us_000486669,0.519867, 0.907019
us_000476253,0.519867, 0.907645
us_000528910,0.519867, 0.911359
us_000494520,0.519867, 0.915395
us_000506212,0.519867, 0.917875
us_000523303,0.519867, 0.918979
us_000545010,0.519867, 0.918993
us_000489886,0.519867, 0.924623
us_000544727,0.519867, 0.925875
us_000501166,0.519867, 0.927972
us_000504144,0.519867, 0.932510
us_000522626,0.519867, 0.935672
us_000504206,0.519867, 0.936366
us_000495286,0.519867, 0.940226
us_000522935,0.519867, 0.946637
us_000502209,0.519867, 0.949432
us_000498073,0.519867, 0.957123
us_000501280,0.519867, 0.958533
us_000504656,0.519867, 0.959351
us_000547892,0.519867, 0.959437
us_000489598,0.519867, 0.959856
us_000484947,0.519867, 0.960185
us_000523829,0.519867, 0.960556
us_000506507,0.519867, 0.963047
us_000554322,0.519867, 0.963367
us_000513729,0.519867, 0.963720
us_000530458,0.519867, 0.963720
us_000558627,0.519867, 0.963720
us_000530459,0.519867, 0.963720
us_000482290,0.519867, 0.965478
us_000553740,0.519867, 0.965682
us_000523544,0.519867, 0.966594
us_000557438,0.519867, 0.966904
us_000503739,0.519867, 0.967550
us_000547993,0.519867, 0.967716
us_000557729,0.519867, 0.968109
us_000495097,0.519867, 0.968109
us_000511625,0.519867, 0.968342
us_000557416,0.519867, 0.968975
us_000511735,0.519867, 0.968975
us_000580804,0.519867, 0.969072
us_000494600,0.519867, 0.971748
us_000502126,0.519867, 0.972371
us_000504215,0.519867, 0.972870
us_000581224,0.519867, 0.973088
us_000524754,0.519867, 0.973163
us_000581403,0.519867, 0.973532
us_000502158,0.519867, 0.973559
us_000493745,0.519867, 0.973856
us_000374074,0.519867, 0.973934
us_000522464,0.519867, 0.973934
us_000495369,0.519867, 0.973934
us_000502009,0.519867, 0.974175
us_000501194,0.519867, 0.974953
us_000524879,0.519867, 0.975865
us_000468687,0.519867, 0.977096
us_000466012,0.519867, 0.978093
us_000580851,0.519867, 0.978485
us_000504421,0.519867, 0.979088
us_000502127,0.519867, 0.979088
us_000529191,0.519867, 0.979088
us_000513770,0.519867, 0.979088
us_000494997,0.519867, 0.979088
us_000557480,0.519867, 0.979088
us_000504576,0.519867, 0.979088
us_000505758,0.519867, 0.979088
us_000495786,0.519867, 0.979088
us_000496024,0.519867, 0.979088
us_000495099,0.519867, 0.979088
us_000502378,0.519867, 0.979088
us_000502128,0.519867, 0.979088
us_000515821,0.519867, 0.982013
us_000573161,0.519867, 0.982918
us_000485987,0.519867, 0.985818
us_000502380,0.519867, 0.985896
us_000225351,0.519867, 0.989497
us_000495255,0.519867, 0.989687
us_000500418,0.519867, 0.999075
us_000472572,0.519867, 1.002238
us_000402662,0.519867, 1.003432
us_000485695,0.519867, 1.003754
us_000576331,0.519867, 1.006273
us_000505773,0.519867, 1.007848
us_000505564,0.519867, 1.008009
us_000202392,0.519867, 1.011861
us_000522628,0.519867, 1.013582
us_000502308,0.519867, 1.021948
us_000500733,0.519867, 1.026025
us_000378962,0.519867, 1.028971
us_000518150,0.519867, 1.031753
us_000501845,0.519867, 1.043386
us_000505934,0.519867, 1.043774
us_000588840,0.519867, 1.068640
us_000518455,0.519867, 1.165491
us_000499296,0.519867, 1.172974
us_000484379,0.519867, 1.275053
us_000510347,0.519867, 1.503161
pr_001738489,0.311569, 0.000000
pr_001112825,0.311569, 0.000000
pr_001710082,0.311569, 0.000000
pr_000105820,0.311569, 0.000000
pr_001604949,0.311569, 0.000000
pr_001407284,0.311569, 0.000000
pr_000839293,0.311569, 0.000000
pr_000678081,0.311569, 0.000000
pr_000878629,0.311569, 0.000000
pr_000266999,0.311569, 0.000000
pr_001830122,0.311569, 0.000000
pr_001603440,0.311569, 0.000000
pr_000604844,0.311569, 0.000000
pr_001069038,0.311569, 0.000000
pr_002069070,0.311569, 0.000000
pr_000771033,0.311569, 0.000000
pr_000268920,0.311569, 0.000000
pr_001834045,0.311569, 0.000000
pr_001768485,0.311569, 0.000000
pr_001414212,0.311569, 0.000000
pr_001673914,0.311569, 0.000000
us_000489086,0.311569, 0.000000
pr_000099584,0.311569, 0.000000
us_000468757,0.311569, 0.000000
us_000512531,0.311569, 0.000005
us_000547110,0.311569, 0.000005
us_000487212,0.311569, 0.000007
us_000551859,0.311569, 0.000007
us_000481471,0.311569, 0.000024
us_000479647,0.311569, 0.000032
us_000505059,0.311569, 0.000048
us_000478437,0.311569, 0.000048
us_000461948,0.311569, 0.000126
us_000574380,0.311569, 0.000200
pr_000729564,0.311569, 0.000514
us_000471259,0.311569, 0.000810
us_000617113,0.311569, 0.000922
us_000561019,0.311569, 0.001075
us_000606637,0.311569, 0.001094
us_000575365,0.311569, 0.001327
us_000554271,0.311569, 0.001637
us_000503472,0.311569, 0.003611
pr_000982123,0.311569, 0.003963
us_000458854,0.311569, 0.004705
us_000543424,0.311569, 0.040691
us_000543089,0.311569, 0.072640
us_000467866,0.311569, 0.423869
pr_001396995,0.247593, 0.000000
pr_001075655,0.247593, 0.000000
pr_001074235,0.247593, 0.000001
us_000578718,0.247593, 0.000001
us_000588796,0.247593, 0.000001
pr_002050329,0.247593, 0.000002
pr_001941778,0.247593, 0.000003
us_000614295,0.247593, 0.000009
pr_001995580,0.247593, 0.000013
us_000540413,0.247593, 0.000020
pr_001588650,0.247593, 0.000021
pr_002037213,0.247593, 0.000023
pr_000596975,0.247593, 0.000023
pr_000852338,0.247593, 0.000024
pr_001883748,0.247593, 0.000027
pr_001775807,0.247593, 0.000027
pr_001787761,0.247593, 0.000047
pr_001802094,0.247593, 0.000117
pr_002121984,0.247593, 0.000238
pr_001781591,0.247593, 0.000286
pr_000875226,0.247593, 0.000385
us_000578304,0.247593, 0.000403
pr_002234532,0.247593, 0.000473
pr_002144504,0.247593, 0.000508
us_000602337,0.247593, 0.000820
us_000329327,0.247593, 0.001315
us_000588311,0.247593, 0.003156
us_000525227,0.247593, 0.005128
us_000475785,0.247593, 0.005432
us_000614006,0.247593, 0.009097
us_000512851,0.247593, 0.023228
us_000479443,0.247593, 1.084473
us_000496453,0.247593, 1.117491
us_000485379,0.247593, 1.323360
us_000583938,0.130833, 0.000001
us_000587900,0.130833, 0.000001
us_000571278,0.130833, 0.000001
us_000589682,0.130833, 0.000001
us_000614798,0.130833, 0.000001
us_000613091,0.130833, 0.000001
us_000607838,0.130833, 0.000051
us_000535584,0.130833, 0.000072
us_000561172,0.130833, 0.000121
us_000476635,0.130833, 0.000125
us_000610127,0.130833, 0.000172
us_000609541,0.130833, 0.000408
us_000576786,0.130833, 0.000420
us_000579590,0.130833, 0.000510
us_000576808,0.130833, 0.000775
us_000501298,0.130833, 0.057955
us_000579184,0.130833, 0.378495
