Product ID : 993 JPs covered : 210 : Accounting-Employee Benefit Plan, 
OID,Confidence at Map Node,Error at Map Node
us_000581581,0.385872, 0.307461
us_000464496,0.385872, 0.311065
us_000468675,0.385872, 0.315494
us_000463717,0.385872, 0.316066
us_000468632,0.385872, 0.316359
us_000528625,0.385872, 0.316483
us_000342822,0.385872, 0.318510
us_000503737,0.385872, 0.319246
us_000033227,0.385872, 0.320996
us_000460259,0.385872, 0.321834
us_000493285,0.385872, 0.322099
us_000570341,0.385872, 0.322309
us_000529612,0.385872, 0.322380
us_000480459,0.385872, 0.323245
us_000528379,0.385872, 0.325145
us_000393738,0.385872, 0.326762
us_000484212,0.385872, 0.327914
us_000596633,0.385872, 0.330895
us_000533852,0.385872, 0.333926
us_000548700,0.385872, 0.333926
us_000580449,0.385872, 0.337006
us_000465224,0.385872, 0.337006
us_000548711,0.385872, 0.337006
us_000528709,0.385872, 0.337006
us_000528710,0.385872, 0.337006
us_000549660,0.385872, 0.337006
us_000529780,0.385872, 0.337006
us_000481278,0.385872, 0.337006
us_000549623,0.385872, 0.340136
us_000479968,0.385872, 0.340136
us_000528775,0.385872, 0.340136
us_000519372,0.385872, 0.340136
us_000481215,0.385872, 0.340136
us_000569109,0.385872, 0.340136
us_000539283,0.385872, 0.340136
us_000479776,0.385872, 0.340136
us_000528272,0.385872, 0.340136
us_000521204,0.385872, 0.340136
us_000521034,0.385872, 0.340136
us_000463347,0.385872, 0.340136
us_000580284,0.385872, 0.340136
us_000479595,0.385872, 0.340136
us_000520770,0.385872, 0.340136
us_000039336,0.385872, 0.340136
us_000577964,0.385872, 0.340136
us_000471308,0.385872, 0.341877
us_000458720,0.385872, 0.342203
us_000493267,0.385872, 0.344357
us_000467210,0.385872, 0.345451
us_000491635,0.385872, 0.348085
us_000501912,0.385872, 0.348454
us_000570525,0.385872, 0.350532
us_000561902,0.385872, 0.350895
us_000528901,0.385872, 0.355139
us_000472491,0.385872, 0.355312
us_000562844,0.385872, 0.355602
us_000273311,0.385872, 0.356528
us_000396441,0.385872, 0.357606
us_000476107,0.385872, 0.357660
us_000575888,0.385872, 0.358633
us_000575918,0.385872, 0.359877
us_000553321,0.385872, 0.359955
us_000513552,0.385872, 0.364733
us_000569787,0.385872, 0.366957
us_000539506,0.385872, 0.369805
us_000484332,0.385872, 0.373522
us_000216059,0.385872, 0.375482
us_000570250,0.385872, 0.376863
us_000471423,0.385872, 0.384813
us_000564764,0.385872, 0.399671
us_000471461,0.385872, 0.411127
us_000469227,0.385872, 0.419446
us_000557469,0.385872, 0.419738
us_000477641,0.385872, 0.479437
us_000566829,0.385872, 0.505254
us_000591730,0.385872, 0.540187
us_000520168,0.385872, 0.553860
us_000383068,0.385872, 0.601184
us_000335867,0.385872, 0.627101
us_000461090,0.385872, 0.722430
us_000038556,0.385872, 0.770996
us_000334675,0.385872, 1.029064
us_000470407,0.297453, 0.000000
us_000472137,0.297453, 0.000000
pr_000167998,0.297453, 0.000000
pr_002222188,0.297453, 0.000000
pr_001080479,0.297453, 0.000000
pr_000931426,0.297453, 0.000000
pr_001897583,0.297453, 0.000000
pr_001002993,0.297453, 0.000000
pr_000276686,0.297453, 0.000000
pr_001082543,0.297453, 0.000000
pr_000206178,0.297453, 0.000000
pr_001709275,0.297453, 0.000000
pr_000710202,0.297453, 0.000000
pr_001845964,0.297453, 0.000000
pr_000901071,0.297453, 0.000000
pr_002225292,0.297453, 0.000000
pr_000732720,0.297453, 0.000000
pr_001080741,0.297453, 0.000000
pr_000918560,0.297453, 0.000000
pr_000701159,0.297453, 0.000000
pr_001154161,0.297453, 0.000000
pr_001873984,0.297453, 0.000000
pr_001083896,0.297453, 0.000000
pr_002224276,0.297453, 0.000000
pr_000955529,0.297453, 0.000000
pr_001845892,0.297453, 0.000000
pr_000744523,0.297453, 0.000000
pr_001848338,0.297453, 0.000000
pr_001965817,0.297453, 0.000000
pr_002075349,0.297453, 0.000000
pr_002225300,0.297453, 0.000000
pr_002178652,0.297453, 0.000000
pr_000225943,0.297453, 0.000000
pr_002189758,0.297453, 0.000000
pr_001166572,0.297453, 0.000000
pr_001943019,0.297453, 0.000000
pr_000896956,0.297453, 0.000000
pr_001930294,0.297453, 0.000000
pr_001897037,0.297453, 0.000000
pr_002115544,0.297453, 0.000000
pr_001983667,0.297453, 0.000000
pr_000939877,0.297453, 0.000000
pr_002114053,0.297453, 0.000000
pr_001079751,0.297453, 0.000000
pr_001057897,0.297453, 0.000000
pr_001967704,0.297453, 0.000000
pr_002136052,0.297453, 0.000000
pr_002060275,0.297453, 0.000000
pr_002224335,0.297453, 0.000000
pr_000900256,0.297453, 0.000000
pr_002115540,0.297453, 0.000000
pr_001627914,0.297453, 0.000000
pr_001977168,0.297453, 0.000000
pr_000756843,0.297453, 0.000000
pr_000912871,0.297453, 0.000000
pr_000180878,0.297453, 0.000000
pr_001896265,0.297453, 0.000000
pr_001081959,0.297453, 0.000000
pr_001846662,0.297453, 0.000000
pr_001119532,0.297453, 0.000000
pr_000292195,0.297453, 0.000000
pr_001116635,0.297453, 0.000000
pr_001856676,0.297453, 0.000000
pr_001960213,0.297453, 0.000000
pr_000903494,0.297453, 0.000000
pr_002132879,0.297453, 0.000000
pr_000928672,0.297453, 0.000000
pr_002098346,0.297453, 0.000000
pr_000241491,0.297453, 0.000000
pr_001856616,0.297453, 0.000000
pr_001635810,0.297453, 0.000000
pr_000714673,0.297453, 0.000000
pr_000976427,0.297453, 0.000000
pr_002224416,0.297453, 0.000000
pr_002236687,0.297453, 0.000000
pr_000178245,0.297453, 0.000000
pr_000667739,0.297453, 0.000000
pr_002074351,0.297453, 0.000000
pr_002104198,0.297453, 0.000000
pr_001019718,0.297453, 0.000000
pr_000630082,0.297453, 0.000000
pr_001711819,0.297453, 0.000000
pr_000979513,0.297453, 0.000000
pr_001729099,0.297453, 0.000000
pr_002115524,0.297453, 0.000000
pr_002202258,0.297453, 0.000000
pr_001847818,0.297453, 0.000000
pr_002104175,0.297453, 0.000000
pr_001847101,0.297453, 0.000000
pr_002066238,0.297453, 0.000000
pr_002186563,0.297453, 0.000000
pr_001633122,0.297453, 0.000000
pr_001082366,0.297453, 0.000000
pr_002115616,0.297453, 0.000000
pr_002113841,0.297453, 0.000000
pr_000443537,0.297453, 0.000000
pr_001847102,0.297453, 0.000000
pr_002227116,0.297453, 0.000000
pr_001686440,0.297453, 0.000000
pr_002075748,0.297453, 0.000000
pr_000850884,0.297453, 0.000000
pr_001074149,0.297453, 0.000000
pr_001079975,0.297453, 0.000000
pr_001906003,0.297453, 0.000000
pr_001123510,0.297453, 0.000000
pr_000812348,0.297453, 0.000000
pr_001636074,0.297453, 0.000000
pr_001897527,0.297453, 0.000000
pr_001009089,0.297453, 0.000000
pr_002068520,0.297453, 0.000000
pr_001114921,0.297453, 0.000000
pr_002225249,0.297453, 0.000000
pr_002203741,0.297453, 0.000000
pr_002104902,0.297453, 0.000000
pr_001845788,0.297453, 0.000000
pr_001025712,0.297453, 0.000000
pr_001104093,0.297453, 0.000000
pr_000174912,0.297453, 0.000000
pr_000761847,0.297453, 0.000000
pr_002108651,0.297453, 0.000000
pr_002134307,0.297453, 0.000000
pr_000340124,0.297453, 0.000000
pr_001074482,0.297453, 0.000000
pr_000777777,0.297453, 0.000000
pr_000722121,0.297453, 0.000000
pr_001083469,0.297453, 0.000000
pr_001905540,0.297453, 0.000000
pr_000698706,0.297453, 0.000000
pr_002103066,0.297453, 0.000000
pr_000963378,0.297453, 0.000000
pr_001850075,0.297453, 0.000000
pr_001959282,0.297453, 0.000000
pr_000214088,0.297453, 0.000000
pr_001897131,0.297453, 0.000000
pr_001111859,0.297453, 0.000000
pr_000708852,0.297453, 0.000000
pr_000298459,0.297453, 0.000000
