Product ID : 2104 JPs covered : 397 : RP Transactions-Proj-Dev, 
OID,Confidence at Map Node,Error at Map Node
us_000527121,0.568949, 0.341424
us_000544726,0.568949, 0.341950
us_000552148,0.568949, 0.341974
us_000500218,0.568949, 0.343679
us_000528551,0.568949, 0.344226
us_000596985,0.568949, 0.344508
us_000583184,0.568949, 0.345133
us_000578687,0.568949, 0.345546
us_000556351,0.568949, 0.347534
us_000537062,0.568949, 0.348742
us_000517541,0.568949, 0.349287
us_000521613,0.568949, 0.349287
us_000467331,0.568949, 0.350317
us_000517554,0.568949, 0.350317
us_000521922,0.568949, 0.350317
us_000505052,0.568949, 0.352050
us_000600992,0.568949, 0.353324
us_000537150,0.568949, 0.354298
us_000575884,0.568949, 0.354400
us_000583644,0.568949, 0.355048
us_000547103,0.568949, 0.355048
us_000615960,0.568949, 0.355593
us_000615771,0.568949, 0.355877
us_000592874,0.568949, 0.355978
us_000519958,0.568949, 0.357089
us_000548914,0.568949, 0.358751
us_000355550,0.568949, 0.360192
us_000561375,0.568949, 0.360957
us_000579304,0.568949, 0.361712
us_000548087,0.568949, 0.362068
us_000583695,0.568949, 0.363722
pr_001114472,0.568949, 0.368619
us_000571823,0.568949, 0.368629
us_000584418,0.568949, 0.368922
us_000587277,0.568949, 0.369099
us_000574099,0.568949, 0.369099
us_000571855,0.568949, 0.371694
us_000494611,0.568949, 0.383384
us_000597698,0.568949, 0.385916
us_000595713,0.568949, 0.386830
us_000613963,0.568949, 0.388132
us_000542727,0.568949, 0.391910
us_000366831,0.568949, 0.392176
us_000545303,0.568949, 0.392847
us_000547591,0.568949, 0.393251
us_000517426,0.568949, 0.395761
us_000561346,0.568949, 0.396431
us_000546858,0.568949, 0.396864
us_000547010,0.568949, 0.397256
us_000601607,0.568949, 0.399065
us_000614058,0.568949, 0.400450
us_000589614,0.568949, 0.400515
us_000471341,0.568949, 0.400890
us_000601570,0.568949, 0.401106
us_000543473,0.568949, 0.401960
us_000614356,0.568949, 0.402138
us_000564483,0.568949, 0.402455
us_000593814,0.568949, 0.403797
us_000534725,0.568949, 0.404431
us_000616889,0.568949, 0.404773
us_000503956,0.568949, 0.405046
us_000558967,0.568949, 0.405486
us_000571486,0.568949, 0.405844
us_000579150,0.568949, 0.406522
us_000564391,0.568949, 0.406795
us_000573137,0.568949, 0.408332
us_000543485,0.568949, 0.408675
us_000614025,0.568949, 0.408806
us_000592282,0.568949, 0.410301
us_000614411,0.568949, 0.410480
us_000560750,0.568949, 0.410848
us_000562706,0.568949, 0.411237
us_000581979,0.568949, 0.411484
us_000583890,0.568949, 0.412096
us_000598998,0.568949, 0.412259
us_000612914,0.568949, 0.412259
us_000583330,0.568949, 0.412893
us_000592841,0.568949, 0.412893
us_000605009,0.568949, 0.413384
us_000560946,0.568949, 0.413481
us_000588009,0.568949, 0.413706
us_000542538,0.568949, 0.413793
us_000550515,0.568949, 0.414067
us_000604959,0.568949, 0.414139
us_000581794,0.568949, 0.414211
us_000592879,0.568949, 0.415891
us_000573272,0.568949, 0.416358
us_000561301,0.568949, 0.416415
us_000561435,0.568949, 0.417001
us_000474732,0.568949, 0.417118
us_000617378,0.568949, 0.417232
us_000560419,0.568949, 0.417469
us_000568537,0.568949, 0.417481
us_000616317,0.568949, 0.417573
us_000497547,0.568949, 0.417998
us_000571693,0.568949, 0.418518
us_000598540,0.568949, 0.418575
us_000599441,0.568949, 0.418575
us_000515711,0.568949, 0.418694
us_000600070,0.568949, 0.418694
us_000600951,0.568949, 0.418694
us_000491613,0.568949, 0.418694
us_000613780,0.568949, 0.418694
us_000611408,0.568949, 0.418969
us_000566886,0.568949, 0.419206
us_000517176,0.568949, 0.419283
us_000570684,0.568949, 0.419881
us_000558214,0.568949, 0.420843
us_000579595,0.568949, 0.422295
us_000600154,0.568949, 0.422561
us_000544599,0.568949, 0.422561
us_000579194,0.568949, 0.422626
us_000617110,0.568949, 0.422709
us_000610066,0.568949, 0.423021
us_000518021,0.568949, 0.423258
us_000578165,0.568949, 0.423553
us_000583981,0.568949, 0.423553
us_000616200,0.568949, 0.423553
us_000589575,0.568949, 0.423553
us_000583428,0.568949, 0.423673
us_000509236,0.568949, 0.423673
us_000584203,0.568949, 0.423673
us_000478864,0.568949, 0.424004
us_000617316,0.568949, 0.424677
us_000589481,0.568949, 0.424677
us_000589470,0.568949, 0.424677
us_000572340,0.568949, 0.425002
us_000584296,0.568949, 0.425114
us_000583240,0.568949, 0.425114
us_000587319,0.568949, 0.425114
us_000571619,0.568949, 0.425114
us_000474712,0.568949, 0.427469
us_000516056,0.568949, 0.428063
us_000585598,0.568949, 0.428083
us_000585257,0.568949, 0.428311
us_000588600,0.568949, 0.428481
us_000606117,0.568949, 0.428656
us_000568390,0.568949, 0.429974
us_000596219,0.568949, 0.434664
us_000579883,0.568949, 0.556456
us_000504252,0.384820, 0.000000
us_000546317,0.384820, 0.000036
us_000530221,0.384820, 0.000048
us_000563318,0.384820, 0.000070
us_000531391,0.384820, 0.000082
us_000467639,0.384820, 0.000138
us_000560818,0.384820, 0.000273
us_000593569,0.384820, 0.000718
us_000617455,0.384820, 0.000718
us_000606092,0.384820, 0.004819
us_000598061,0.384820, 0.007729
us_000597887,0.384820, 0.007973
us_000605899,0.384820, 0.008339
us_000559872,0.384820, 0.009290
us_000592604,0.384820, 0.012532
us_000531431,0.384820, 0.026568
us_000521701,0.384820, 0.040240
us_000465823,0.384820, 0.080492
us_000481279,0.384820, 0.210765
us_000516712,0.384820, 0.325233
