Product ID : 987 # of JPs covered : 1 : 123 : Patents, 
OID,Confidence at Map Node,Error at Map Node
us_000534760,0.292975, 0.294226
us_000555916,0.292975, 0.296152
us_000490377,0.292975, 0.299522
us_000528407,0.292975, 0.300588
us_000551723,0.292975, 0.300746
us_000513673,0.292975, 0.301858
us_000551576,0.292975, 0.306997
us_000560622,0.292975, 0.345662
us_000569676,0.292975, 0.347958
us_000535406,0.292975, 0.364621
us_000040494,0.292975, 0.384238
us_000596426,0.292975, 0.395216
us_000574233,0.292975, 0.423547
us_000059317,0.292975, 0.424903
us_000548120,0.292975, 0.446317
us_000490315,0.292975, 0.498977
us_000544008,0.292975, 0.639747
us_000464150,0.292975, 0.670356
us_000454489,0.292975, 0.704725
us_000473302,0.292975, 0.722416
us_000487475,0.292975, 1.052693
us_000596980,0.292975, 1.057150
us_000487314,0.292975, 1.101213
us_000265493,0.292975, 1.149073
pr_000266870,0.202626, 0.000000
pr_000222301,0.202626, 0.000000
pr_000018332,0.202626, 0.000000
pr_001721320,0.202626, 0.000000
pr_000128979,0.202626, 0.000001
us_000564002,0.202626, 0.000003
us_000467164,0.202626, 0.000003
us_000565962,0.202626, 0.000003
us_000496516,0.202626, 0.000003
us_000494477,0.202626, 0.000003
us_000552904,0.202626, 0.000006
us_000544803,0.202626, 0.000006
us_000537613,0.202626, 0.000006
us_000552521,0.202626, 0.000006
us_000538922,0.202626, 0.000006
pr_000563504,0.202626, 0.000014
pr_001898447,0.202626, 0.000014
pr_000115063,0.202626, 0.000104
pr_000217576,0.202626, 0.000139
pr_000798568,0.202626, 0.000430
us_000504489,0.202626, 0.000623
pr_000114294,0.202626, 0.001301
us_000464679,0.202626, 0.001738
pr_001010141,0.202626, 0.001856
us_000514391,0.202626, 0.003865
us_000576152,0.202626, 0.330642
pr_001902501,0.183862, 0.000000
pr_000418408,0.183862, 0.000000
pr_000230721,0.183862, 0.000000
pr_000423563,0.183862, 0.000000
pr_000017783,0.183862, 0.000000
pr_000181921,0.183862, 0.000000
us_000549146,0.183862, 0.000009
us_000078317,0.183862, 0.000019
pr_001902352,0.183862, 0.000668
us_000589742,0.183862, 0.180229
us_000574249,0.183862, 0.252730
us_000551606,0.183862, 0.258806
us_000615075,0.183862, 0.267972
us_000584913,0.183862, 0.295014
us_000538218,0.183862, 0.297346
us_000479579,0.183862, 0.300726
us_000536565,0.183862, 0.303868
us_000561682,0.183862, 0.304103
us_000504026,0.183862, 0.305787
us_000462677,0.183862, 0.310138
us_000579471,0.183862, 0.310772
us_000614423,0.183862, 0.312250
us_000552145,0.183862, 0.313443
us_000492905,0.183862, 0.313825
us_000552671,0.183862, 0.316420
us_000586718,0.183862, 0.326905
us_000552692,0.183862, 0.328836
us_000579620,0.183862, 0.329593
us_000572990,0.183862, 0.329773
us_000614282,0.183862, 0.333131
us_000490729,0.183862, 0.334569
us_000587045,0.183862, 0.335683
us_000552477,0.183862, 0.340037
us_000554946,0.183862, 0.346457
us_000576255,0.183862, 0.354433
us_000570018,0.183862, 0.383667
us_000496187,0.183862, 0.581604
us_000524175,0.169860, 0.000000
pr_000001028,0.169860, 0.000000
us_000471729,0.169860, 0.001466
us_000595843,0.169860, 0.161230
us_000572800,0.169860, 0.179143
us_000575981,0.169860, 0.811259
us_000554275,0.070077, 0.000068
us_000593198,0.070077, 0.000375
us_000508084,0.070077, 0.080156
us_000564292,0.070077, 0.210766
us_000572215,0.070077, 0.242621
us_000551748,0.070077, 0.244047
us_000551829,0.070077, 0.244427
us_000572895,0.070077, 0.251479
us_000579866,0.070077, 0.264349
us_000596352,0.070077, 0.268659
us_000514314,0.070077, 0.273572
us_000581675,0.070077, 0.283614
us_000499447,0.070077, 0.285758
us_000592434,0.070077, 0.289469
us_000600614,0.070077, 0.289518
us_000592348,0.070077, 0.294930
us_000538347,0.070077, 0.297392
us_000561650,0.070077, 0.301860
us_000551736,0.070077, 0.303365
us_000597172,0.070077, 0.313697
us_000545420,0.070077, 0.318495
us_000567811,0.070077, 0.322033
us_000514867,0.070077, 0.323218
us_000493000,0.070077, 0.323844
us_000479727,0.070077, 0.330857
us_000556504,0.070077, 0.333753
us_000531150,0.070077, 0.335469
us_000541246,0.070077, 0.335529
us_000464354,0.070077, 0.335817
us_000496269,0.070077, 0.336239
us_000555738,0.070077, 0.337624
us_000524042,0.070077, 0.338399
us_000178270,0.070077, 0.344781
us_000549053,0.070077, 0.346122
us_000556724,0.070077, 0.346299
us_000555428,0.070077, 0.347050
us_000524022,0.070077, 0.352953
us_000502493,0.070077, 0.369445
us_000534362,0.070077, 0.377249
us_000528301,0.070077, 0.387218
us_000586455,0.070077, 0.394030
us_000552179,0.070077, 0.396974
us_000544960,0.070077, 0.435139
us_000479722,0.070077, 0.436541
us_000539067,0.070077, 0.501802
us_000528199,0.070077, 0.744460
us_000581823,0.070077, 0.896336
us_000491351,0.070077, 1.314985
us_000574974,0.070077, 1.603163
us_000576876,0.070077, 1.943467
pr_001584104,0.050603, 0.000000
us_000576162,0.050603, 0.159054
us_000519866,0.050603, 0.160012
us_000498346,0.050603, 0.189283
