Product ID : 988 # of JPs covered : 1 : 238 : Corp Finance Litigation, 
us_000559144,0.586830, 0.613551
us_000534670,0.586830, 0.613551
us_000534043,0.586830, 0.613551
us_000558804,0.586830, 0.613551
us_000534589,0.586830, 0.613551
us_000534728,0.586830, 0.613551
us_000557424,0.586830, 0.613551
us_000558548,0.586830, 0.613551
us_000534321,0.586830, 0.613551
us_000524640,0.586830, 0.613551
us_000557401,0.586830, 0.613551
us_000559704,0.586830, 0.613551
us_000534106,0.586830, 0.613551
us_000524494,0.586830, 0.613551
us_000558972,0.586830, 0.613551
us_000534511,0.586830, 0.613551
us_000533319,0.586830, 0.613551
us_000558390,0.586830, 0.613551
us_000534024,0.586830, 0.613551
us_000534590,0.586830, 0.613551
us_000559669,0.586830, 0.615862
us_000594898,0.586830, 0.620352
us_000533871,0.586830, 0.621147
us_000534740,0.586830, 0.626737
us_000524023,0.586830, 0.627736
us_000593923,0.586830, 0.629054
us_000490201,0.586830, 0.629534
us_000525191,0.586830, 0.629738
us_000524495,0.586830, 0.629738
us_000534680,0.586830, 0.630871
us_000018841,0.586830, 0.634580
us_000548203,0.586830, 0.634982
us_000468338,0.586830, 0.638984
us_000599898,0.586830, 0.646987
us_000539540,0.586830, 0.648430
us_000570887,0.586830, 0.652172
us_000594405,0.586830, 0.653120
us_000574594,0.586830, 0.654201
us_000558439,0.586830, 0.668665
us_000549185,0.586830, 0.669196
us_000555153,0.586830, 0.672291
us_000533368,0.586830, 0.677646
us_000464135,0.586830, 0.682623
us_000534865,0.586830, 0.707658
us_000502452,0.586830, 0.727031
us_000486052,0.586830, 0.746039
us_000540254,0.586830, 0.751090
us_000484885,0.586830, 0.764860
us_000516894,0.586830, 0.791438
us_000494080,0.586830, 0.807708
us_000122019,0.586830, 0.816412
us_000469046,0.586830, 0.827508
us_000572099,0.586830, 0.834598
us_000534156,0.586830, 0.841429
us_000466988,0.586830, 0.887783
us_000469508,0.586830, 0.920811
us_000475500,0.586830, 0.930480
us_000059813,0.586830, 0.988371
us_000469313,0.586830, 1.049763
us_000516083,0.586830, 1.334543
us_000548669,0.586830, 1.634061
us_000581313,0.586830, 1.936566
pr_000445702,0.385379, 0.000001
us_000492247,0.385379, 0.007087
us_000510300,0.385379, 0.211144
us_000509981,0.385379, 0.211144
us_000510279,0.385379, 0.211144
us_000510217,0.385379, 0.211144
us_000508932,0.385379, 0.212803
us_000497902,0.385379, 0.213730
us_000598097,0.385379, 0.214800
us_000508841,0.385379, 0.214847
us_000526050,0.385379, 0.216757
us_000463595,0.385379, 0.217032
us_000598047,0.385379, 0.217457
us_000512910,0.385379, 0.217791
us_000145293,0.385379, 0.218193
us_000544064,0.385379, 0.218890
us_000503379,0.385379, 0.219413
us_000551625,0.385379, 0.220142
us_000496786,0.385379, 0.220391
us_000505096,0.385379, 0.220473
us_000508792,0.385379, 0.220732
us_000605561,0.385379, 0.220732
us_000484486,0.385379, 0.221087
us_000499970,0.385379, 0.221461
us_000535377,0.385379, 0.221543
us_000475493,0.385379, 0.223225
us_000551769,0.385379, 0.223244
us_000552071,0.385379, 0.223637
us_000511447,0.385379, 0.223852
us_000541321,0.385379, 0.223905
us_000526046,0.385379, 0.223997
us_000508625,0.385379, 0.224235
us_000475146,0.385379, 0.224632
us_000470763,0.385379, 0.225535
us_000241116,0.385379, 0.226369
us_000481414,0.385379, 0.227522
us_000535468,0.385379, 0.228230
us_000541440,0.385379, 0.228280
us_000502422,0.385379, 0.229328
us_000615867,0.385379, 0.231417
us_000615880,0.385379, 0.232716
us_000497804,0.385379, 0.232893
us_000292024,0.385379, 0.232973
us_000482880,0.385379, 0.234395
us_000498923,0.385379, 0.234469
us_000506038,0.385379, 0.237565
us_000495606,0.385379, 0.238147
us_000468204,0.385379, 0.238181
us_000559649,0.385379, 0.238400
us_000498408,0.385379, 0.238969
us_000480255,0.385379, 0.240496
us_000477016,0.385379, 0.243438
us_000506744,0.385379, 0.243829
us_000511509,0.385379, 0.244043
us_000465370,0.385379, 0.244371
us_000510518,0.385379, 0.248197
us_000577122,0.385379, 0.250334
us_000467736,0.385379, 0.252901
us_000510333,0.385379, 0.256064
us_000510989,0.385379, 0.261498
us_000539714,0.385379, 0.271819
us_000490788,0.385379, 0.275475
us_000461170,0.385379, 0.281829
us_000508917,0.385379, 0.283834
us_000385251,0.385379, 0.285144
us_000524859,0.385379, 0.287222
us_000565992,0.385379, 0.312256
us_000586230,0.385379, 0.379160
us_000224896,0.385379, 0.432396
us_000567906,0.385379, 0.531473
us_000513022,0.385379, 0.683151
pr_000527357,0.334219, 0.000000
pr_001142563,0.334219, 0.000000
pr_000875528,0.334219, 0.000000
pr_000408464,0.334219, 0.000000
pr_001702377,0.334219, 0.000000
pr_000846442,0.334219, 0.000000
pr_000821512,0.334219, 0.000000
pr_000992124,0.334219, 0.000000
pr_000991650,0.334219, 0.000000
pr_000870844,0.334219, 0.000000
pr_000347172,0.334219, 0.000000
pr_000876438,0.334219, 0.000000
pr_000872649,0.334219, 0.000000
pr_000864490,0.334219, 0.000000
pr_000985123,0.334219, 0.000000
pr_000991240,0.334219, 0.000000
pr_001718307,0.334219, 0.000000
pr_000992156,0.334219, 0.000000
pr_000737118,0.334219, 0.000000
pr_000874172,0.334219, 0.000000
pr_000889041,0.334219, 0.000000
pr_000832185,0.334219, 0.000000
pr_000874741,0.334219, 0.000000
pr_000991200,0.334219, 0.000000
pr_002146347,0.334219, 0.000000
pr_001726821,0.334219, 0.000000
pr_000721926,0.334219, 0.000000
pr_000596138,0.334219, 0.000000
pr_000894567,0.334219, 0.000000
pr_001018529,0.334219, 0.000000
pr_000771998,0.334219, 0.000000
pr_002073645,0.334219, 0.000000
pr_000789255,0.334219, 0.000000
pr_001869081,0.334219, 0.000000
pr_000878940,0.334219, 0.000000
pr_000865659,0.334219, 0.000000
pr_001898670,0.334219, 0.000000
pr_000651424,0.334219, 0.000000
pr_000801970,0.334219, 0.000000
pr_000271169,0.334219, 0.000000
pr_000592688,0.334219, 0.000000
pr_000240497,0.334219, 0.000000
pr_000188624,0.334219, 0.000000
pr_000408479,0.334219, 0.000000
pr_000858805,0.334219, 0.000000
pr_001822225,0.334219, 0.000000
pr_000991089,0.334219, 0.000000
pr_000992088,0.334219, 0.000000
pr_000901944,0.334219, 0.000000
pr_000996348,0.334219, 0.000000
pr_000250380,0.334219, 0.000000
pr_000600166,0.334219, 0.000000
pr_000639918,0.334219, 0.000000
pr_000831574,0.334219, 0.000000
us_000493171,0.334219, 0.000000
us_000469510,0.334219, 0.000000
us_000195639,0.334219, 0.000000
us_000458567,0.334219, 0.000000
us_000464580,0.334219, 0.000000
us_000555408,0.334219, 0.000000
us_000459659,0.334219, 0.000000
us_000473274,0.334219, 0.000000
us_000597084,0.334219, 0.000000
us_000459808,0.334219, 0.000001
us_000576252,0.334219, 0.000002
us_000616090,0.334219, 0.000002
us_000594264,0.334219, 0.000002
pr_000193357,0.334219, 0.000002
us_000614227,0.334219, 0.000003
us_000613629,0.334219, 0.000003
us_000591818,0.334219, 0.000003
us_000598641,0.334219, 0.000003
pr_001017426,0.334219, 0.000004
pr_001734489,0.334219, 0.000004
pr_001133030,0.334219, 0.000005
us_000575025,0.334219, 0.000008
pr_001073138,0.334219, 0.000010
pr_001410924,0.334219, 0.000010
us_000566757,0.334219, 0.000011
pr_001410934,0.334219, 0.000017
pr_000997791,0.334219, 0.000037
pr_001412514,0.334219, 0.000048
pr_001730162,0.334219, 0.000067
us_000468019,0.334219, 0.000104
us_000555439,0.334219, 0.000113
us_000501392,0.334219, 0.000307
us_000591382,0.334219, 0.001028
us_000541950,0.334219, 0.002064
us_000532590,0.334219, 0.005363
us_000518459,0.334219, 0.013040
us_000575970,0.334219, 0.015770
us_000549957,0.334219, 0.024780
us_000470396,0.334219, 0.047394
us_000226588,0.334219, 0.055535
us_000500942,0.334219, 0.065296
us_000485186,0.334219, 0.962565
us_000561004,0.334219, 0.999533
us_000546982,0.198612, 0.000000
us_000518059,0.198612, 0.000000
us_000529973,0.198612, 0.000000
pr_000397902,0.198612, 0.000000
pr_000356639,0.198612, 0.000000
pr_000405473,0.198612, 0.000000
pr_000189114,0.198612, 0.000000
pr_000151552,0.198612, 0.000000
pr_000166532,0.198612, 0.000000
pr_000295567,0.198612, 0.000000
pr_000356766,0.198612, 0.000000
pr_000380028,0.198612, 0.000000
pr_000404676,0.198612, 0.000000
us_000511925,0.198612, 0.000067
us_000515255,0.198612, 0.000128
us_000497872,0.198612, 0.000128
us_000556202,0.198612, 0.000128
us_000545319,0.198612, 0.000128
us_000535366,0.198612, 0.000173
us_000533545,0.198612, 0.000228
us_000118373,0.198612, 0.000716
us_000467538,0.198612, 0.000716
us_000600099,0.198612, 0.256605
us_000599756,0.198612, 0.260353
us_000600096,0.198612, 0.270852
us_000574732,0.198612, 0.274457
us_000541511,0.198612, 0.274601
us_000573450,0.198612, 0.277974
us_000466416,0.198612, 0.278484
us_000579615,0.198612, 0.279803
us_000459701,0.198612, 0.282489
us_000581470,0.198612, 0.282702
us_000464168,0.198612, 0.283300
us_000575085,0.198612, 0.283930
us_000504571,0.198612, 0.283930
us_000317160,0.198612, 0.284330
us_000460616,0.198612, 0.286580
us_000465157,0.198612, 0.286580
us_000460025,0.198612, 0.287409
us_000600634,0.198612, 0.288461
us_000600069,0.198612, 0.288993
us_000604310,0.198612, 0.289569
us_000599797,0.198612, 0.290011
us_000458600,0.198612, 0.290202
us_000467051,0.198612, 0.290758
us_000461859,0.198612, 0.290952
us_000576806,0.198612, 0.291033
us_000576885,0.198612, 0.291685
us_000580579,0.198612, 0.291869
us_000616585,0.198612, 0.292015
us_000288970,0.198612, 0.293306
us_000463604,0.198612, 0.293306
us_000464683,0.198612, 0.293306
us_000464653,0.198612, 0.293306
us_000508512,0.198612, 0.293908
us_000577990,0.198612, 0.294120
us_000587188,0.198612, 0.294120
us_000577988,0.198612, 0.294120
us_000577985,0.198612, 0.294120
us_000470196,0.198612, 0.294162
us_000397518,0.198612, 0.294162
us_000459955,0.198612, 0.294162
us_000461031,0.198612, 0.295022
us_000474103,0.198612, 0.295022
us_000599590,0.198612, 0.295156
us_000577057,0.198612, 0.295156
us_000464550,0.198612, 0.295227
us_000459469,0.198612, 0.295414
us_000582925,0.198612, 0.297499
us_000217197,0.198612, 0.297621
us_000461669,0.198612, 0.298886
us_000466767,0.198612, 0.299230
us_000458656,0.198612, 0.301136
us_000461578,0.198612, 0.302023
us_000464658,0.198612, 0.302023
us_000267462,0.198612, 0.302914
us_000458768,0.198612, 0.302914
us_000469548,0.198612, 0.303808
us_000461624,0.198612, 0.303808
us_000463812,0.198612, 0.303808
us_000059383,0.198612, 0.303808
us_000460428,0.198612, 0.304706
us_000466052,0.198612, 0.304706
us_000462338,0.198612, 0.304706
us_000469011,0.198612, 0.308331
us_000460851,0.198612, 0.308331
us_000249940,0.198612, 0.308836
us_000116619,0.198612, 0.310165
us_000474232,0.198612, 0.310165
us_000524462,0.198612, 0.310358
us_000326261,0.198612, 0.310899
us_000460340,0.198612, 0.311086
us_000460296,0.198612, 0.311086
us_000459136,0.198612, 0.311086
us_000308634,0.198612, 0.311086
us_000463553,0.198612, 0.311086
us_000461590,0.198612, 0.311086
us_000461450,0.198612, 0.311086
us_000079333,0.198612, 0.311494
us_000464644,0.198612, 0.311622
us_000261966,0.198612, 0.311949
us_000472042,0.198612, 0.312012
us_000472052,0.198612, 0.312012
us_000471193,0.198612, 0.312012
us_000460536,0.198612, 0.312012
us_000459849,0.198612, 0.312012
us_000228401,0.198612, 0.312012
us_000503697,0.198612, 0.312505
us_000485592,0.198612, 0.312850
us_000470339,0.198612, 0.312850
us_000460712,0.198612, 0.312940
us_000475175,0.198612, 0.312940
us_000461103,0.198612, 0.312940
us_000462857,0.198612, 0.312940
us_000482420,0.198612, 0.312940
us_000465755,0.198612, 0.312940
us_000186056,0.198612, 0.312940
us_000463106,0.198612, 0.313873
us_000435508,0.198612, 0.313873
us_000461420,0.198612, 0.313873
us_000469057,0.198612, 0.313873
us_000470005,0.198612, 0.313873
us_000460421,0.198612, 0.313873
us_000462341,0.198612, 0.313873
us_000472658,0.198612, 0.313873
us_000471337,0.198612, 0.313873
us_000464540,0.198612, 0.314684
us_000264212,0.198612, 0.314808
us_000110971,0.198612, 0.314979
us_000571512,0.198612, 0.315603
us_000537489,0.198612, 0.315706
us_000469607,0.198612, 0.315747
us_000473878,0.198612, 0.315884
us_000201392,0.198612, 0.316174
us_000476497,0.198612, 0.317598
us_000276694,0.198612, 0.317636
us_000460864,0.198612, 0.317636
us_000239781,0.198612, 0.317636
us_000467009,0.198612, 0.317636
us_000490932,0.198612, 0.317837
us_000471257,0.198612, 0.318244
us_000464589,0.198612, 0.318244
us_000466690,0.198612, 0.318586
us_000468004,0.198612, 0.318586
us_000461547,0.198612, 0.319472
us_000461403,0.198612, 0.319538
us_000463390,0.198612, 0.319538
us_000430259,0.198612, 0.319538
us_000461351,0.198612, 0.319538
us_000468847,0.198612, 0.319538
us_000496945,0.198612, 0.319836
