Product ID : 2092 JPs covered : 438 : Personal Injury-Substantive, 
OID,Confidence at Map Node,Error at Map Node
us_000511080,0.332278, 0.335772
us_000534816,0.332278, 0.335772
us_000566029,0.332278, 0.335772
us_000511979,0.332278, 0.335772
us_000508501,0.332278, 0.335772
us_000527193,0.332278, 0.335772
us_000510194,0.332278, 0.335772
us_000559308,0.332278, 0.335772
us_000498796,0.332278, 0.335772
us_000559699,0.332278, 0.335772
us_000517721,0.332278, 0.335772
us_000503142,0.332278, 0.335772
us_000511442,0.332278, 0.335772
us_000527651,0.332278, 0.335772
us_000565897,0.332278, 0.335772
us_000498692,0.332278, 0.335772
us_000499188,0.332278, 0.335772
us_000510266,0.332278, 0.335772
us_000547239,0.332278, 0.335772
us_000514010,0.332278, 0.335772
us_000489109,0.332278, 0.335772
us_000528986,0.332278, 0.335772
us_000558885,0.332278, 0.335772
us_000576274,0.332278, 0.335772
us_000502892,0.332278, 0.335772
us_000535818,0.332278, 0.335772
us_000547563,0.332278, 0.335772
us_000547974,0.332278, 0.335772
us_000559978,0.332278, 0.335772
us_000595064,0.332278, 0.335772
us_000511818,0.332278, 0.335772
us_000529603,0.332278, 0.335772
us_000536562,0.332278, 0.335772
us_000545423,0.332278, 0.335772
us_000546263,0.332278, 0.335772
us_000547442,0.332278, 0.335772
us_000498819,0.332278, 0.335772
us_000517825,0.332278, 0.335772
us_000529537,0.332278, 0.335772
