Product ID : 889 # of JPs covered : 1 : 79 : Corp Law, 
us_000494062,0.791252, 0.186715
us_000483283,0.791252, 0.186715
us_000545072,0.791252, 0.186715
us_000615789,0.791252, 0.186715
us_000468960,0.791252, 0.186715
us_000482371,0.791252, 0.186715
us_000558372,0.791252, 0.186715
us_000475952,0.791252, 0.186715
us_000289647,0.791252, 0.186715
us_000486305,0.791252, 0.186715
us_000475455,0.791252, 0.186715
us_000545054,0.791252, 0.186715
us_000463146,0.791252, 0.186715
us_000545069,0.791252, 0.186715
us_000483159,0.791252, 0.186715
us_000487679,0.791252, 0.186715
us_000475428,0.791252, 0.186715
us_000465178,0.791252, 0.186715
us_000474490,0.791252, 0.186715
us_000464257,0.791252, 0.186715
us_000461772,0.791252, 0.186715
us_000476096,0.791252, 0.186715
us_000261474,0.791252, 0.186715
us_000465909,0.791252, 0.186715
us_000545274,0.791252, 0.186715
us_000493824,0.791252, 0.186715
us_000486776,0.791252, 0.186715
us_000495217,0.791252, 0.186715
us_000545068,0.791252, 0.186715
us_000465362,0.791252, 0.186715
us_000467733,0.791252, 0.186715
us_000474796,0.791252, 0.186715
us_000480264,0.791252, 0.186715
us_000491728,0.791252, 0.186715
us_000466142,0.791252, 0.186715
us_000464901,0.791252, 0.186715
us_000474276,0.791252, 0.186715
us_000491912,0.791252, 0.186715
us_000572263,0.791252, 0.186715
us_000461184,0.791252, 0.186715
us_000480760,0.791252, 0.186715
us_000215116,0.791252, 0.186715
us_000484099,0.791252, 0.186715
us_000231644,0.791252, 0.186715
us_000494053,0.791252, 0.186715
us_000463775,0.791252, 0.186715
us_000466771,0.791252, 0.186715
us_000461055,0.791252, 0.186715
us_000483117,0.791252, 0.186715
us_000469420,0.791252, 0.186715
us_000461841,0.791252, 0.186715
us_000526135,0.791252, 0.186715
us_000545051,0.791252, 0.186715
us_000545074,0.791252, 0.186715
us_000488041,0.791252, 0.186715
us_000545050,0.791252, 0.186715
us_000481627,0.791252, 0.186715
us_000461837,0.791252, 0.186715
us_000461762,0.791252, 0.186715
us_000474803,0.791252, 0.186715
us_000493971,0.791252, 0.186715
us_000541990,0.791252, 0.186715
us_000486357,0.791252, 0.186715
us_000545048,0.791252, 0.186715
us_000480372,0.791252, 0.186715
us_000545067,0.791252, 0.186715
us_000545361,0.791252, 0.186715
us_000478568,0.791252, 0.186715
us_000460770,0.791252, 0.186715
us_000495345,0.791252, 0.186715
us_000545271,0.791252, 0.186715
us_000482610,0.791252, 0.186715
us_000465147,0.791252, 0.186715
us_000488051,0.791252, 0.186715
us_000478584,0.791252, 0.186715
us_000481846,0.791252, 0.186715
us_000460653,0.791252, 0.187863
us_000459934,0.791252, 0.188223
us_000484901,0.791252, 0.190100
us_000460675,0.791252, 0.196041
us_000466409,0.791252, 0.207196
us_000524067,0.791252, 0.211897
pr_000296316,0.781573, 0.000130
us_000590112,0.778466, 0.000000
us_000606474,0.778466, 0.000000
us_000616015,0.778466, 0.000000
us_000466274,0.778466, 0.000000
pr_000773855,0.778466, 0.000000
pr_000428168,0.778466, 0.000000
pr_000602127,0.778466, 0.000000
pr_000906835,0.778466, 0.000000
pr_000742065,0.778466, 0.000000
pr_000970532,0.778466, 0.000000
pr_000693921,0.778466, 0.000000
pr_000905885,0.778466, 0.000000
pr_000758521,0.778466, 0.000000
pr_001597649,0.778466, 0.000000
pr_000411420,0.778466, 0.000000
pr_000107707,0.778466, 0.000000
pr_000666646,0.778466, 0.000000
pr_000128762,0.778466, 0.000000
pr_001021984,0.778466, 0.000000
us_000561130,0.778466, 0.000000
us_000494999,0.778466, 0.000000
us_000524592,0.778466, 0.000000
us_000543369,0.778466, 0.000000
us_000496989,0.778466, 0.000000
us_000496952,0.778466, 0.000000
us_000552684,0.778466, 0.000000
us_000541195,0.778466, 0.000000
us_000497018,0.778466, 0.000000
pr_000610027,0.778466, 0.000001
pr_000877347,0.778466, 0.000001
pr_000030869,0.778466, 0.000001
pr_000867493,0.778466, 0.000001
us_000495999,0.778466, 0.000002
us_000494131,0.778466, 0.000002
us_000599390,0.778466, 0.000004
pr_001417042,0.778466, 0.000007
us_000611348,0.778466, 0.000015
us_000586814,0.778466, 0.000015
pr_000102729,0.778466, 0.000155
us_000592574,0.778466, 0.000210
us_000546892,0.778466, 0.000487
us_000578599,0.778466, 0.000632
us_000561506,0.778466, 0.000632
us_000473363,0.778466, 0.001446
us_000583141,0.778466, 0.002003
us_000554367,0.778466, 0.003535
us_000563467,0.778466, 0.004914
us_000536167,0.778466, 0.005068
us_000557786,0.778466, 0.006086
us_000493840,0.778466, 0.010918
us_000579530,0.778466, 0.016766
us_000581117,0.778466, 0.081956
us_000568722,0.778466, 0.420233
us_000598565,0.775312, 0.283027
us_000596891,0.775312, 0.337157
us_000597899,0.775312, 0.341508
us_000593381,0.775312, 0.341508
us_000592480,0.775312, 0.341508
us_000613045,0.775312, 0.342449
us_000586323,0.775312, 0.347345
us_000614161,0.775312, 0.351697
us_000592785,0.775312, 0.351697
us_000601082,0.775312, 0.351697
us_000600854,0.775312, 0.351697
us_000582929,0.775312, 0.351697
us_000473370,0.770974, 0.175832
us_000461509,0.770974, 0.177365
us_000474337,0.770974, 0.178106
us_000506674,0.760848, 0.000000
pr_001047264,0.760848, 0.000000
pr_000759284,0.760848, 0.000000
pr_001957105,0.760848, 0.000000
pr_000164704,0.760848, 0.000003
pr_000490231,0.760848, 0.000013
pr_000191410,0.760848, 0.000014
pr_000991367,0.760848, 0.000014
pr_001010680,0.760848, 0.000014
pr_001813865,0.760848, 0.000015
pr_000561300,0.760848, 0.000016
pr_001044692,0.760848, 0.000032
pr_000844770,0.760848, 0.000033
pr_000653756,0.760848, 0.000033
pr_001002815,0.760848, 0.000039
pr_001934398,0.760848, 0.000039
pr_000743177,0.760848, 0.000044
pr_001901767,0.760848, 0.000058
pr_000721078,0.760848, 0.000072
pr_001024365,0.760848, 0.000073
pr_000950299,0.760848, 0.000078
pr_000591021,0.760848, 0.000094
pr_000581973,0.760848, 0.000094
pr_000740990,0.760848, 0.000097
pr_000187927,0.760848, 0.000102
pr_000169344,0.760848, 0.000103
pr_001023492,0.760848, 0.000107
pr_001606067,0.760848, 0.000122
pr_001074929,0.760848, 0.000132
pr_000857978,0.760848, 0.000133
pr_000825361,0.760848, 0.000143
pr_000411448,0.760848, 0.000149
pr_001079640,0.760848, 0.000151
pr_000692439,0.760848, 0.000155
pr_000998748,0.760848, 0.000160
pr_000185650,0.760848, 0.000174
pr_001166604,0.760848, 0.000216
pr_000875387,0.760848, 0.000216
pr_000708931,0.760848, 0.000273
pr_000704610,0.760848, 0.000277
pr_001716612,0.760848, 0.000295
pr_000177847,0.760848, 0.000321
pr_000430944,0.760848, 0.000347
pr_000628357,0.760848, 0.000350
pr_000404484,0.760848, 0.000395
pr_000341295,0.760848, 0.000403
pr_000890078,0.760848, 0.000431
pr_000846373,0.760848, 0.000458
pr_000860245,0.760848, 0.000488
pr_000865524,0.760848, 0.000551
pr_000957420,0.760848, 0.000728
pr_000289568,0.760848, 0.000735
pr_000561626,0.760848, 0.000737
pr_001131539,0.760848, 0.000759
pr_000696359,0.760848, 0.000762
pr_000970904,0.760848, 0.000856
pr_001031304,0.760848, 0.000866
pr_000625210,0.760848, 0.000884
pr_001007444,0.760848, 0.000887
pr_000924033,0.760848, 0.000907
pr_000711918,0.760848, 0.000958
pr_000376400,0.760848, 0.000982
pr_000342636,0.760848, 0.001014
pr_001667139,0.760848, 0.001028
pr_000647844,0.760848, 0.001082
pr_000339240,0.760848, 0.001122
pr_000579088,0.760848, 0.001244
pr_000713299,0.760848, 0.001335
pr_000872012,0.760848, 0.001653
us_000581820,0.760848, 0.001848
pr_002146911,0.760848, 0.002706
pr_000704380,0.760848, 0.004357
us_000541167,0.760848, 0.004702
us_000476166,0.760848, 0.005140
pr_000562869,0.760848, 0.005166
pr_000228437,0.760848, 0.007126
pr_001408283,0.760848, 0.009976
pr_000752740,0.760848, 0.013207
pr_000869991,0.760848, 0.014366
us_000552354,0.760848, 0.017334
pr_000736175,0.760848, 0.018603
pr_000988164,0.760848, 0.019610
us_000471499,0.760848, 0.020785
us_000581733,0.760848, 0.300508
us_000566217,0.760848, 0.322333
us_000506899,0.760848, 0.366338
us_000597061,0.760848, 0.388424
us_000571095,0.760848, 0.397143
us_000580877,0.760848, 0.425811
us_000581363,0.760848, 0.425811
us_000504225,0.760848, 0.428370
us_000566515,0.760848, 0.593670
us_000514861,0.760848, 0.651980
us_000509397,0.760848, 0.833398
us_000516362,0.760848, 0.915363
us_000583298,0.743870, 0.210121
us_000592293,0.743870, 0.213664
us_000587394,0.743870, 0.347826
us_000598783,0.743870, 0.366986
us_000590158,0.743870, 0.377226
us_000590165,0.743870, 0.377226
us_000552058,0.743870, 0.387772
us_000468674,0.737788, 0.163543
us_000487930,0.737788, 0.163543
us_000534079,0.720307, 0.000000
us_000497826,0.720307, 0.000000
pr_001019105,0.720307, 0.000000
us_000507140,0.720307, 0.000000
pr_000860073,0.720307, 0.000059
pr_000105473,0.720307, 0.000144
pr_000917031,0.720307, 0.000165
pr_001706872,0.720307, 0.000492
us_000548707,0.720307, 0.173195
us_000560882,0.720307, 0.202889
us_000507926,0.720307, 0.453506
us_000550943,0.720307, 0.481975
us_000600647,0.720307, 0.493263
us_000507568,0.720307, 0.497671
us_000523618,0.720307, 0.559774
us_000502498,0.720307, 0.594763
us_000600995,0.720307, 0.609343
us_000599177,0.720307, 0.614522
us_000587431,0.720307, 0.625265
us_000587258,0.720307, 0.626590
us_000543326,0.720307, 0.700730
us_000589917,0.720307, 0.709547
us_000584617,0.720307, 0.709547
us_000586344,0.720307, 0.713029
us_000504915,0.720307, 0.717017
us_000517172,0.720307, 0.717628
us_000515847,0.720307, 0.726659
us_000587433,0.720307, 0.727042
us_000600134,0.720307, 0.729751
us_000579658,0.720307, 0.729751
us_000598721,0.720307, 0.731088
us_000572388,0.720307, 0.731493
us_000593855,0.720307, 0.733150
us_000501707,0.720307, 0.733238
us_000593852,0.720307, 0.733658
us_000600260,0.720307, 0.733658
us_000600518,0.720307, 0.733658
us_000575784,0.720307, 0.734460
us_000559357,0.720307, 0.736997
us_000555077,0.720307, 0.743872
us_000613932,0.720307, 0.744499
us_000068030,0.720307, 0.745694
us_000472763,0.720307, 0.751380
us_000029231,0.720307, 0.754114
us_000490688,0.720307, 0.756760
us_000591498,0.720307, 0.758527
us_000503647,0.720307, 0.765611
us_000585048,0.720307, 0.765812
us_000574804,0.720307, 0.772198
us_000586033,0.720307, 0.776600
us_000573381,0.720307, 0.778474
us_000582456,0.720307, 0.779016
us_000574577,0.720307, 0.796509
us_000547461,0.720307, 0.800908
us_000513382,0.720307, 0.801191
us_000587681,0.720307, 0.814579
us_000498102,0.720307, 0.814642
us_000595961,0.720307, 0.829908
us_000591791,0.720307, 0.941026
us_000564219,0.720307, 0.955892
us_000458820,0.720307, 0.956527
us_000472362,0.720307, 0.959785
us_000589551,0.720307, 0.973517
us_000593294,0.720307, 1.286476
us_000611043,0.719756, 0.178162
us_000545035,0.719756, 0.210776
us_000610996,0.719756, 0.210776
us_000592271,0.719756, 0.257807
us_000586576,0.719756, 0.259949
us_000590081,0.719756, 0.259949
us_000592885,0.719756, 0.260733
us_000548876,0.717642, 0.000000
us_000504744,0.717642, 0.000000
pr_000778659,0.717642, 0.000003
us_000522994,0.717642, 0.000003
us_000598814,0.717642, 0.000004
us_000549452,0.717642, 0.000006
us_000590233,0.717642, 0.000011
us_000574980,0.717642, 0.000011
us_000597423,0.717642, 0.000014
us_000587944,0.717642, 0.000037
us_000589834,0.717642, 0.000038
us_000599295,0.717642, 0.000038
us_000595636,0.717642, 0.000042
us_000580105,0.717642, 0.000042
us_000587774,0.717642, 0.000042
us_000588001,0.717642, 0.000042
us_000598816,0.717642, 0.000042
us_000614170,0.717642, 0.000042
us_000596379,0.717642, 0.000042
us_000585861,0.717642, 0.000042
us_000587636,0.717642, 0.000042
us_000547757,0.717642, 0.000051
us_000589618,0.717642, 0.000064
us_000617452,0.717642, 0.000085
us_000548875,0.717642, 0.000125
us_000590244,0.717642, 0.000138
us_000491702,0.717642, 0.000383
pr_000693447,0.717642, 0.000582
us_000541944,0.717642, 0.000934
pr_000856080,0.717642, 0.001272
us_000503546,0.717642, 0.001309
us_000484796,0.717642, 0.001428
us_000566351,0.717642, 0.001604
us_000572445,0.717642, 0.002351
us_000553456,0.717642, 0.002452
us_000516986,0.717642, 0.002636
us_000040403,0.717642, 0.002647
us_000602530,0.717642, 0.002904
us_000483808,0.717642, 0.003066
us_000486676,0.717642, 0.003538
us_000554683,0.717642, 0.005010
pr_000441073,0.717642, 0.007863
pr_000469627,0.717642, 0.007864
pr_000201738,0.717642, 0.007866
pr_000604141,0.717642, 0.007866
us_000601775,0.717642, 0.009264
us_000601674,0.717642, 0.009764
pr_000444173,0.717642, 0.010335
pr_000251770,0.717642, 0.011203
us_000547122,0.717642, 0.011806
us_000466170,0.717642, 0.030369
us_000465352,0.717642, 0.033181
us_000551310,0.717642, 0.053016
us_000601519,0.717642, 0.055661
us_000581346,0.717642, 0.064944
us_000473423,0.717642, 0.130395
us_000488797,0.717642, 0.256903
us_000488885,0.717642, 0.330586
us_000571430,0.717642, 0.391186
us_000142523,0.717642, 0.414486
us_000482845,0.717642, 0.420688
us_000590392,0.717642, 0.457648
us_000568495,0.717642, 0.541983
us_000544032,0.717642, 0.601061
us_000565731,0.717642, 0.779877
us_000568152,0.717642, 1.208367
us_000571621,0.717642, 1.303062
us_000500035,0.679353, 0.251463
us_000486955,0.679353, 0.281835
us_000494645,0.679353, 0.286789
us_000495396,0.679353, 0.290392
us_000493802,0.679353, 0.424815
us_000491153,0.679353, 0.429205
us_000410268,0.641680, 0.000000
us_000130205,0.641680, 0.000000
us_000492171,0.641680, 0.000000
us_000490493,0.641680, 0.000000
pr_000596840,0.641680, 0.000000
pr_000998678,0.641680, 0.000000
pr_001596006,0.641680, 0.000001
us_000544135,0.641680, 0.000276
us_000549697,0.641680, 0.001793
us_000462191,0.641680, 0.006167
us_000513401,0.641680, 0.006410
us_000595113,0.641680, 0.011768
us_000571496,0.641680, 0.011877
us_000582165,0.641680, 0.015369
us_000589869,0.641680, 0.016334
us_000498291,0.641680, 0.016646
us_000324849,0.641680, 0.059958
us_000588922,0.641680, 0.523789
us_000582331,0.641680, 0.562662
us_000600291,0.641680, 0.574434
us_000504565,0.641680, 0.591530
us_000615952,0.641680, 0.617349
us_000560125,0.641680, 0.649290
us_000485671,0.641680, 0.745623
us_000595065,0.622368, 0.268758
us_000587455,0.622368, 0.390022
us_000587605,0.622368, 0.392685
us_000590287,0.622368, 0.602797
us_000587443,0.622368, 0.602797
us_000587224,0.622368, 0.606009
us_000616268,0.622368, 0.606009
us_000590289,0.622368, 0.606009
us_000599486,0.622368, 0.606009
us_000598765,0.622368, 0.606009
us_000590288,0.622368, 0.606009
pr_000002677,0.620377, 0.000000
us_000521000,0.620377, 0.000000
us_000559959,0.620377, 0.000000
us_000497482,0.620377, 0.000000
us_000533018,0.620377, 0.000000
us_000542825,0.620377, 0.000000
pr_000001671,0.620377, 0.000001
pr_000006269,0.620377, 0.000001
us_000542672,0.620377, 0.000002
pr_000124402,0.620377, 0.000002
us_000498365,0.620377, 0.000003
pr_001093832,0.620377, 0.000005
us_000498058,0.620377, 0.000013
pr_000894012,0.620377, 0.000014
pr_000607364,0.620377, 0.000030
us_000562377,0.620377, 0.000034
us_000597270,0.620377, 0.000040
us_000588588,0.620377, 0.000056
pr_000776562,0.620377, 0.000061
pr_000712830,0.620377, 0.000061
pr_000721346,0.620377, 0.000081
us_000486126,0.620377, 0.000089
us_000575586,0.620377, 0.000101
pr_000777040,0.620377, 0.000105
us_000581503,0.620377, 0.000116
us_000613731,0.620377, 0.000121
us_000598535,0.620377, 0.000121
us_000580983,0.620377, 0.000121
us_000608307,0.620377, 0.000121
us_000613729,0.620377, 0.000121
us_000615461,0.620377, 0.000121
us_000582242,0.620377, 0.000133
us_000529304,0.620377, 0.000134
us_000590417,0.620377, 0.000147
pr_000293422,0.620377, 0.000168
us_000600196,0.620377, 0.000179
pr_000184005,0.620377, 0.000417
us_000581537,0.620377, 0.000708
us_000531203,0.620377, 0.002152
us_000551151,0.620377, 0.006119
us_000532411,0.620377, 0.015363
us_000521322,0.620377, 0.041786
us_000536048,0.620377, 0.044757
us_000568286,0.620377, 0.046090
us_000525161,0.620377, 0.061946
us_000473051,0.620377, 0.115702
us_000574457,0.620377, 0.221390
us_000150034,0.620377, 0.237803
us_000595616,0.620377, 0.292862
us_000477873,0.620377, 0.375041
us_000113103,0.620377, 0.432849
us_000489218,0.620377, 0.499039
us_000488189,0.607975, 0.110856
us_000469924,0.607975, 0.110856
us_000474565,0.607975, 0.110856
us_000464422,0.607975, 0.110856
us_000488190,0.607975, 0.110856
us_000488148,0.607975, 0.110856
us_000469943,0.607975, 0.110856
us_000474035,0.607975, 0.110856
us_000482647,0.607975, 0.114357
us_000482646,0.607975, 0.114357
us_000475991,0.607975, 0.114357
us_000477144,0.607975, 0.114357
us_000474827,0.607975, 0.114357
us_000474825,0.607975, 0.114357
us_000460465,0.607975, 0.114357
us_000463820,0.607975, 0.114357
us_000491322,0.607975, 0.114357
us_000493797,0.607975, 0.114357
us_000484244,0.607975, 0.114357
us_000515443,0.607975, 0.114357
us_000467838,0.607975, 0.114357
us_000462475,0.607975, 0.117913
us_000469662,0.607975, 0.117913
us_000473452,0.607975, 0.117913
us_000462500,0.607975, 0.117913
us_000478065,0.607975, 0.117913
us_000495412,0.607975, 0.117913
us_000489353,0.607975, 0.117913
us_000466243,0.607975, 0.117913
us_000495410,0.607975, 0.117913
us_000487856,0.607975, 0.117913
us_000478238,0.607975, 0.117913
us_000463292,0.607975, 0.117913
us_000480575,0.607975, 0.117913
us_000463296,0.607975, 0.117913
us_000269417,0.607975, 0.117913
us_000466961,0.607975, 0.117913
us_000469299,0.607975, 0.117913
us_000468603,0.607975, 0.117913
us_000596325,0.590782, 0.788730
us_000587925,0.590782, 0.808792
us_000600202,0.590782, 0.812348
us_000611300,0.590782, 0.812348
us_000600141,0.590782, 0.812348
us_000593713,0.590782, 0.812348
us_000600490,0.590782, 0.812348
us_000600235,0.590782, 0.812348
us_000600201,0.590782, 0.812348
us_000599447,0.590782, 0.829317
us_000599416,0.590782, 0.829317
us_000599640,0.590782, 0.829317
us_000599414,0.590782, 0.829317
us_000599415,0.590782, 0.829317
us_000616935,0.590782, 0.832818
us_000600741,0.590782, 0.832818
us_000587711,0.590782, 0.832818
us_000598673,0.590782, 0.836373
us_000598727,0.590782, 0.836373
us_000586537,0.590782, 0.836373
us_000598947,0.590782, 0.836373
us_000598790,0.590782, 0.836373
us_000598588,0.590782, 0.836373
us_000587322,0.590782, 0.836373
us_000602028,0.590782, 0.836373
us_000599697,0.590782, 0.836373
