Product ID : 2132 JPs covered : 332 : Bankruptcy-Reorganization, 
OID,Confidence at Map Node,Error at Map Node
pr_001782739,0.425587, 0.000002
pr_001014403,0.425587, 0.000006
pr_000012178,0.425587, 0.000006
pr_000082908,0.425587, 0.000011
pr_000567537,0.425587, 0.000015
pr_000964904,0.425587, 0.000033
us_000608112,0.425587, 0.000170
us_000606342,0.425587, 0.000194
us_000600360,0.425587, 0.000351
us_000571677,0.425587, 0.000408
us_000466616,0.425587, 0.012021
us_000518119,0.425587, 2.640129
us_000533917,0.425587, 2.854441
us_000260693,0.425587, 3.157577
us_000574580,0.425587, 3.366055
us_000534001,0.425587, 3.397267
us_000567566,0.425587, 3.476426
us_000524059,0.425587, 3.486218
us_000518065,0.425587, 3.494004
us_000524097,0.425587, 3.501140
us_000504096,0.425587, 3.572701
us_000496476,0.425587, 3.581113
us_000534125,0.425587, 3.585050
us_000546909,0.425587, 3.615952
us_000462223,0.425587, 3.623647
us_000534042,0.425587, 3.653504
us_000462225,0.425587, 3.668966
us_000141464,0.425587, 3.672641
us_000593911,0.425587, 3.775726
us_000506964,0.425587, 3.966600
us_000574935,0.425587, 4.106942
us_000471596,0.283988, 0.698723
us_000520280,0.283988, 0.699026
us_000505621,0.283988, 0.712115
us_000489895,0.283988, 0.728545
us_000592287,0.283988, 0.730478
us_000502094,0.283988, 0.731956
us_000504540,0.283988, 0.732583
us_000459401,0.283988, 0.736769
us_000473580,0.283988, 0.745737
us_000473468,0.283988, 0.757056
us_000516919,0.283988, 0.772325
us_000539400,0.283988, 0.799789
us_000383464,0.283988, 0.801319
us_000502616,0.283988, 0.805002
us_000295977,0.283988, 0.809365
us_000508313,0.283988, 0.814825
us_000519908,0.283988, 0.815960
us_000605221,0.283988, 0.825111
us_000495964,0.283988, 0.829383
us_000197413,0.283988, 0.830879
us_000500231,0.283988, 0.832600
us_000497349,0.283988, 0.833497
us_000478884,0.283988, 0.836663
us_000494530,0.283988, 0.836801
us_000502556,0.283988, 0.837035
us_000523687,0.283988, 0.837035
us_000176699,0.283988, 0.840172
us_000520585,0.283988, 0.841132
us_000582612,0.283988, 0.841538
us_000494726,0.283988, 0.842415
us_000517978,0.283988, 0.845499
us_000509403,0.283988, 0.847769
us_000572140,0.283988, 0.852708
us_000508634,0.283988, 0.854555
us_000523092,0.283988, 0.854987
us_000555326,0.283988, 0.858016
us_000497125,0.283988, 0.858756
us_000559255,0.283988, 0.859260
us_000501167,0.283988, 0.868815
us_000500556,0.283988, 0.868815
us_000539486,0.283988, 0.868815
us_000497042,0.283988, 0.868815
us_000561283,0.283988, 0.872316
us_000499498,0.283988, 0.877232
us_000516600,0.283988, 0.877232
us_000539204,0.283988, 0.877232
us_000497164,0.283988, 0.877232
us_000502513,0.283988, 0.877232
us_000473549,0.283988, 0.877232
us_000517977,0.283988, 0.877232
us_000538361,0.283988, 0.877232
us_000523501,0.283988, 0.877232
us_000499934,0.283988, 0.877232
us_000555861,0.283988, 0.878170
us_000521972,0.283988, 0.886382
us_000494630,0.283988, 0.886505
us_000517422,0.283988, 0.891775
us_000571285,0.283988, 0.892741
us_000527995,0.283988, 0.896425
us_000617492,0.283988, 0.896990
us_000613181,0.283988, 0.898088
us_000594157,0.283988, 0.906416
us_000607026,0.283988, 0.907443
us_000516999,0.283988, 0.909141
us_000573361,0.283988, 0.910219
us_000496207,0.283988, 0.911816
us_000617507,0.283988, 0.913082
us_000521737,0.283988, 0.921748
us_000573277,0.283988, 0.922121
us_000488992,0.283988, 0.925157
us_000485631,0.283988, 0.925157
us_000590916,0.283988, 0.925414
us_000497912,0.283988, 0.925512
us_000494838,0.283988, 0.932531
us_000601009,0.283988, 0.932908
us_000580918,0.283988, 0.935015
us_000606694,0.283988, 0.937970
us_000153982,0.283988, 0.937970
us_000485827,0.283988, 0.939288
us_000605959,0.283988, 0.942202
us_000601008,0.283988, 0.944673
us_000458807,0.283988, 0.945549
us_000580045,0.283988, 0.945549
us_000581203,0.283988, 0.945549
us_000600419,0.283988, 0.946435
us_000607654,0.283988, 0.948730
us_000602360,0.283988, 0.949254
us_000497832,0.283988, 0.955465
us_000515393,0.283988, 0.965268
us_000501063,0.283988, 0.966702
us_000500934,0.283988, 0.966702
us_000501564,0.283988, 0.966702
us_000527608,0.283988, 0.978158
us_000522880,0.283988, 0.978167
us_000503652,0.283988, 0.978167
us_000516871,0.283988, 0.978167
us_000517578,0.283988, 0.978167
us_000499230,0.283988, 0.978167
us_000538473,0.283988, 0.978167
us_000500094,0.283988, 0.978167
us_000516159,0.283988, 0.978167
us_000523591,0.283988, 0.978167
us_000523058,0.283988, 0.978167
us_000497461,0.283988, 0.978167
us_000517959,0.283988, 0.978167
us_000523389,0.283988, 0.978167
us_000612255,0.283988, 0.978167
pr_001032386,0.283988, 0.991056
us_000484844,0.283988, 1.012581
us_000054987,0.283988, 1.037839
us_000538488,0.283988, 1.088561
us_000539700,0.283988, 1.358536
us_000305409,0.177113, 0.000000
us_000522179,0.177113, 0.000000
us_000478414,0.177113, 0.000000
us_000519134,0.177113, 0.000000
us_000540444,0.177113, 0.000000
us_000519974,0.177113, 0.000000
us_000567582,0.177113, 0.000000
us_000523258,0.177113, 0.000001
us_000564050,0.177113, 0.000008
us_000530426,0.177113, 0.000011
us_000586402,0.177113, 0.000012
us_000491525,0.177113, 0.000348
us_000562178,0.177113, 0.001234
us_000502050,0.124705, 0.000000
us_000594046,0.124705, 0.000000
us_000521094,0.124705, 0.000000
us_000460332,0.124705, 0.000000
us_000509415,0.124705, 0.000000
us_000472648,0.124705, 0.000000
us_000594741,0.124705, 0.000000
us_000553035,0.124705, 0.000000
pr_001063722,0.124705, 0.000000
us_000523182,0.124705, 0.000000
us_000558905,0.124705, 0.000000
us_000525785,0.124705, 0.000000
us_000525321,0.124705, 0.000000
us_000485729,0.124705, 0.000000
us_000534734,0.124705, 0.000000
us_000511047,0.124705, 0.000000
us_000494375,0.124705, 0.000000
us_000494996,0.124705, 0.000000
us_000117377,0.124705, 0.000000
us_000595192,0.124705, 0.000000
pr_001051791,0.124705, 0.000001
pr_001093895,0.124705, 0.000001
pr_001041910,0.124705, 0.000001
us_000502723,0.124705, 0.000002
us_000502194,0.124705, 0.000002
pr_000725016,0.124705, 0.000006
pr_001085488,0.124705, 0.000006
pr_001039818,0.124705, 0.000006
pr_001045293,0.124705, 0.000008
pr_000945558,0.124705, 0.000008
pr_000870781,0.124705, 0.000016
pr_001658733,0.124705, 0.000018
pr_001049619,0.124705, 0.000020
pr_001881303,0.124705, 0.000020
pr_001397828,0.124705, 0.000020
pr_000851935,0.124705, 0.000020
pr_001728765,0.124705, 0.000020
pr_001410899,0.124705, 0.000020
pr_001708352,0.124705, 0.000020
pr_002185346,0.124705, 0.000020
pr_001622675,0.124705, 0.000020
pr_001024313,0.124705, 0.000020
pr_002155699,0.124705, 0.000020
pr_002115192,0.124705, 0.000020
pr_002149275,0.124705, 0.000020
pr_001905520,0.124705, 0.000020
pr_001956982,0.124705, 0.000020
pr_001836189,0.124705, 0.000020
pr_001966318,0.124705, 0.000020
pr_001963266,0.124705, 0.000020
pr_001904929,0.124705, 0.000020
pr_001732422,0.124705, 0.000020
pr_002194526,0.124705, 0.000020
us_000497679,0.124705, 0.000021
pr_000581799,0.124705, 0.000028
pr_000656326,0.124705, 0.000031
pr_001143647,0.124705, 0.000032
pr_001076156,0.124705, 0.000041
pr_001903707,0.124705, 0.000042
pr_001411457,0.124705, 0.000043
