Product ID : 2120 # of JPs covered : 1 : 297 : Emp-Lit-Wage Hour, 
OID,Confidence at Map Node,Error at Map Node
us_000507274,0.713699, 2.049726
us_000520316,0.713699, 2.093015
us_000477816,0.713699, 2.125984
pr_001091065,0.713009, 0.000000
pr_001120826,0.713009, 0.000000
pr_000915845,0.713009, 0.000000
pr_000915711,0.713009, 0.000000
us_000616082,0.713009, 0.000005
us_000500459,0.713009, 0.000228
us_000493117,0.713009, 0.006521
us_000504734,0.713009, 0.014084
us_000580935,0.713009, 0.588482
pr_000435338,0.608433, 0.000000
pr_000432027,0.608433, 0.000000
pr_000283136,0.608433, 0.000000
pr_000394305,0.608433, 0.000000
pr_000522919,0.608433, 0.000000
pr_000283675,0.608433, 0.000000
pr_000434515,0.608433, 0.000000
pr_000286123,0.608433, 0.000000
pr_000518307,0.608433, 0.000000
pr_000375852,0.608433, 0.000000
pr_000368217,0.608433, 0.000000
pr_000434966,0.608433, 0.000000
pr_000525658,0.608433, 0.000000
pr_000380934,0.608433, 0.000000
pr_000283479,0.608433, 0.000000
pr_000579041,0.608433, 0.000000
pr_000435535,0.608433, 0.000000
pr_000375187,0.608433, 0.000000
pr_000434487,0.608433, 0.000000
pr_000377876,0.608433, 0.000000
pr_000433441,0.608433, 0.000000
pr_000393018,0.608433, 0.000000
pr_000386894,0.608433, 0.000000
pr_000515959,0.608433, 0.000000
us_000542379,0.608433, 0.000000
us_000552738,0.608433, 0.000000
us_000509293,0.608433, 0.000000
us_000616946,0.608433, 0.000001
us_000509220,0.608433, 0.000001
us_000564682,0.608433, 0.000001
us_000493786,0.608433, 0.000001
us_000498538,0.608433, 0.000001
us_000563068,0.608433, 0.000001
us_000517624,0.608433, 0.000001
us_000545198,0.608433, 0.000001
us_000504934,0.608433, 0.000001
pr_001727440,0.608433, 0.000032
pr_000947071,0.608433, 0.000072
pr_000941954,0.608433, 0.000072
pr_000991901,0.608433, 0.000236
us_000563328,0.608433, 0.000398
