Product ID : 981 # of JPs covered : 1 : 211 : Ethics, 
us_000483050,0.285519, 0.000250
us_000519882,0.285519, 0.000458
us_000541205,0.285519, 0.000458
pr_001057952,0.285519, 0.000576
pr_000860148,0.285519, 0.000582
pr_000964528,0.285519, 0.000657
pr_000734873,0.285519, 0.000698
pr_001072061,0.285519, 0.000917
us_000533765,0.285519, 0.001518
us_000576360,0.285519, 0.004444
us_000547539,0.285519, 0.004642
us_000573123,0.285519, 0.009158
us_000490041,0.285519, 0.010266
us_000567352,0.285519, 0.011729
pr_000024438,0.085838, 0.000006
pr_000867956,0.085838, 0.000006
pr_001003552,0.085838, 0.000009
pr_000330828,0.085838, 0.000011
pr_000856589,0.085838, 0.000012
pr_000954279,0.085838, 0.000012
pr_000330685,0.085838, 0.000017
pr_000380222,0.085838, 0.000018
pr_000927017,0.085838, 0.000020
pr_000728039,0.085838, 0.000028
pr_000844778,0.085838, 0.000033
pr_000298377,0.085838, 0.000048
pr_000829293,0.085838, 0.000049
pr_000564508,0.085838, 0.000054
pr_000832728,0.085838, 0.000054
pr_000857527,0.085838, 0.000054
pr_001006054,0.085838, 0.000054
pr_000865547,0.085838, 0.000054
pr_000627562,0.085838, 0.000054
pr_000944953,0.085838, 0.000054
pr_000179305,0.085838, 0.000054
pr_000075336,0.085838, 0.000054
pr_000760801,0.085838, 0.000057
pr_001123952,0.085838, 0.000060
pr_000923662,0.085838, 0.000075
pr_000502668,0.085838, 0.000086
pr_001957842,0.085838, 0.000094
pr_000745211,0.085838, 0.000110
pr_000291678,0.085838, 0.000125
pr_000187190,0.085838, 0.000157
pr_000165875,0.085838, 0.000208
pr_000941086,0.085838, 0.000815
us_000507886,0.085838, 0.002007
pr_001021129,0.085838, 0.003567
us_000577743,0.085838, 0.018949
us_000505276,0.085838, 0.024676
us_000058482,0.085838, 0.084920
us_000499829,0.085838, 0.091516
us_000581202,0.085838, 0.091740
us_000471169,0.085838, 0.091740
us_000500083,0.085838, 0.092744
us_000519714,0.085838, 0.093071
us_000512976,0.085838, 0.094283
us_000522390,0.085838, 0.095025
us_000511482,0.085838, 0.098041
us_000468572,0.085838, 0.098511
us_000489356,0.085838, 0.098923
us_000512651,0.085838, 0.098923
us_000294539,0.085838, 0.098923
us_000584949,0.085838, 0.099866
us_000463817,0.085838, 0.100274
us_000503701,0.085838, 0.100429
us_000468694,0.085838, 0.100870
us_000471682,0.085838, 0.100870
us_000487004,0.085838, 0.100870
us_000482008,0.085838, 0.100870
us_000490885,0.085838, 0.100870
us_000253021,0.085838, 0.100870
us_000470389,0.085838, 0.100870
us_000480904,0.085838, 0.100870
us_000468714,0.085838, 0.100870
us_000529059,0.085838, 0.100870
us_000560152,0.085838, 0.100870
us_000539974,0.085838, 0.101284
us_000468402,0.085838, 0.102167
us_000498807,0.085838, 0.102215
us_000480553,0.085838, 0.102611
us_000499646,0.085838, 0.103745
us_000598346,0.085838, 0.105427
us_000134167,0.085838, 0.106966
us_000470683,0.085838, 0.107276
us_000540263,0.085838, 0.107986
us_000566557,0.085838, 0.108110
us_000599656,0.085838, 0.108617
us_000466694,0.085838, 0.110090
us_000565519,0.085838, 0.110210
us_000383982,0.085838, 0.110234
us_000565225,0.085838, 0.111871
us_000384330,0.085838, 0.114220
us_000411681,0.085838, 0.116542
us_000501151,0.085838, 0.119699
us_000484662,0.085838, 0.121464
us_000512955,0.085838, 0.122130
us_000565079,0.085838, 0.123533
us_000251766,0.085838, 0.126586
us_000294765,0.085838, 0.129074
us_000512918,0.085838, 0.129330
us_000087063,0.085838, 0.139873
us_000249435,0.085838, 0.143053
us_000540285,0.085838, 0.154030
us_000558923,0.085838, 0.156486
us_000480641,0.085838, 0.164943
us_000499482,0.085838, 0.171223
us_000089754,0.085838, 0.174471
us_000054312,0.085838, 0.177839
us_000575002,0.085838, 0.182361
us_000487190,0.085838, 0.190116
us_000532402,0.085838, 0.199619
us_000501929,0.085838, 0.200671
us_000532440,0.085838, 0.203440
us_000247958,0.085838, 0.214856
us_000511691,0.085838, 0.226763
us_000527576,0.085838, 0.235268
us_000500151,0.085838, 0.241668
us_000491030,0.085838, 0.264978
us_000522828,0.085838, 0.298437
us_000581526,0.085838, 0.411411
us_000517497,0.085838, 0.445460
us_000464688,0.085838, 0.460981
us_000468737,0.085838, 0.590967
us_000472284,0.085838, 0.604989
us_000497865,0.085838, 0.807195
