Product ID : 2078 JPs covered : 359 : Antitrust Vertical, 
OID,Confidence at Map Node,Error at Map Node
us_000509943,0.736053, 0.295000
us_000528869,0.736053, 0.295000
us_000569695,0.736053, 0.295000
us_000526891,0.736053, 0.295000
us_000569314,0.736053, 0.295000
us_000511128,0.736053, 0.295000
us_000548949,0.736053, 0.295000
us_000527275,0.736053, 0.295000
us_000526963,0.736053, 0.295000
us_000526909,0.736053, 0.295000
us_000569365,0.736053, 0.295000
us_000527435,0.736053, 0.295000
us_000527040,0.736053, 0.295000
us_000526905,0.736053, 0.295000
us_000548954,0.736053, 0.295000
us_000569367,0.736053, 0.295000
us_000526907,0.736053, 0.295000
us_000527263,0.736053, 0.295000
us_000527261,0.736053, 0.295000
us_000524212,0.736053, 0.295000
us_000548950,0.736053, 0.295000
us_000510231,0.736053, 0.295000
us_000517494,0.736053, 0.297243
us_000541799,0.736053, 0.299154
us_000520165,0.736053, 0.299552
us_000533203,0.736053, 0.303543
us_000549920,0.736053, 0.305065
us_000500953,0.736053, 0.305633
us_000500472,0.736053, 0.306360
us_000511226,0.736053, 0.306794
us_000512054,0.736053, 0.307528
us_000539074,0.736053, 0.308206
us_000496599,0.736053, 0.312324
us_000318462,0.736053, 0.320355
us_000547873,0.736053, 0.337302
us_000528135,0.736053, 0.339860
us_000528471,0.736053, 0.339860
us_000591910,0.736053, 0.351641
us_000591907,0.736053, 0.351641
us_000591908,0.736053, 0.351641
us_000550950,0.736053, 0.381428
us_000552199,0.736053, 0.418464
us_000481023,0.736053, 0.427851
us_000537950,0.736053, 0.433350
us_000207527,0.736053, 0.566273
us_000479138,0.736053, 0.567691
us_000478080,0.736053, 0.613663
pr_000896113,0.256190, 0.000000
pr_000183775,0.256190, 0.000000
pr_000184791,0.256190, 0.000000
pr_001732424,0.256190, 0.000000
pr_001033402,0.256190, 0.000002
pr_000111314,0.256190, 0.000119
pr_001060575,0.256190, 0.000197
pr_001073738,0.256190, 0.000229
pr_000097098,0.256190, 0.000311
pr_000120483,0.256190, 0.000374
us_000461166,0.256190, 0.156745
us_000461033,0.256190, 0.179929
us_000245646,0.256190, 0.186694
us_000196512,0.256190, 0.230800
us_000544612,0.256190, 0.265967
us_000498137,0.256190, 0.319298
us_000515757,0.256190, 0.386562
us_000539244,0.256190, 0.417527
us_000583590,0.256190, 0.428436
us_000486616,0.256190, 0.429638
us_000531438,0.256190, 0.432004
us_000497898,0.256190, 0.436781
us_000497801,0.256190, 0.439249
us_000581989,0.256190, 0.443367
us_000339607,0.256190, 0.449767
us_000475312,0.256190, 0.454711
us_000487604,0.256190, 0.456780
us_000482006,0.256190, 0.456928
us_000581854,0.256190, 0.461473
us_000481019,0.256190, 0.461473
us_000590475,0.256190, 0.461473
us_000487953,0.256190, 0.461786
us_000580020,0.256190, 0.462621
us_000469278,0.256190, 0.471486
us_000480969,0.256190, 0.494610
us_000464406,0.256190, 0.525800
us_000548986,0.256190, 0.531707
us_000469281,0.256190, 0.533333
us_000046502,0.256190, 0.610954
us_000053087,0.256190, 0.618880
us_000470320,0.256190, 0.747753
us_000412853,0.256190, 1.015430
