Product ID : 958 # of JPs covered : 1 : 69 : Class Action, 
OID,Confidence at Map Node,Error at Map Node
us_000565264,0.771158, 0.008080
pr_000432748,0.771158, 0.008454
us_000568324,0.771158, 0.008940
us_000532362,0.771158, 0.009665
us_000597126,0.771158, 0.009705
us_000598746,0.771158, 0.011119
us_000486196,0.771158, 0.011535
us_000485285,0.771158, 0.012843
us_000565634,0.771158, 0.013480
us_000544068,0.771158, 0.013788
us_000579145,0.771158, 0.017499
us_000496835,0.771158, 0.021392
us_000528056,0.771158, 0.021627
us_000534969,0.771158, 0.048429
us_000129824,0.771158, 0.778690
us_000518869,0.771158, 0.901299
us_000461951,0.771158, 0.908615
us_000519052,0.771158, 1.017459
us_000493722,0.771158, 1.258859
us_000484329,0.771158, 1.286924
us_000562322,0.771158, 1.287114
us_000493132,0.771158, 1.336021
us_000561877,0.771158, 1.374107
us_000539924,0.771158, 1.377918
us_000562134,0.771158, 1.380634
us_000484071,0.771158, 1.408439
us_000475061,0.771158, 1.425955
us_000571585,0.771158, 1.433946
us_000135500,0.771158, 1.440180
us_000513275,0.771158, 1.448588
us_000488706,0.771158, 1.503869
us_000497940,0.771158, 1.505376
us_000491187,0.771158, 1.522211
us_000492648,0.771158, 1.536281
us_000550270,0.771158, 1.557714
us_000520890,0.771158, 1.574072
us_000491800,0.771158, 1.582178
us_000516004,0.771158, 1.598665
us_000533661,0.771158, 1.606265
us_000525732,0.771158, 1.617324
us_000566418,0.771158, 1.624864
us_000484525,0.771158, 1.625417
us_000543455,0.771158, 1.629223
us_000520477,0.771158, 1.636063
us_000557271,0.771158, 1.636320
us_000544156,0.771158, 1.639219
us_000540545,0.771158, 1.641943
us_000557220,0.771158, 1.652118
us_000523526,0.771158, 1.653387
us_000534147,0.771158, 1.654729
us_000534093,0.771158, 1.655909
us_000533773,0.771158, 1.667670
us_000513264,0.771158, 1.672540
us_000521637,0.771158, 1.685001
us_000513257,0.771158, 1.709833
us_000516788,0.771158, 1.742413
us_000488403,0.771158, 1.744674
us_000509455,0.771158, 1.761822
us_000521089,0.771158, 1.765147
us_000459953,0.771158, 1.766179
us_000491508,0.771158, 1.774064
us_000525419,0.771158, 1.776103
us_000509327,0.771158, 1.776420
us_000525330,0.771158, 1.776753
us_000511805,0.771158, 1.776753
us_000557069,0.771158, 1.776753
us_000506244,0.771158, 1.785383
us_000468869,0.771158, 1.795760
us_000493920,0.771158, 1.840483
us_000525739,0.771158, 1.849647
us_000498131,0.771158, 1.851550
us_000505815,0.771158, 1.852600
us_000484385,0.771158, 1.856449
us_000533310,0.771158, 1.908320
us_000491781,0.771158, 1.963691
us_000534304,0.771158, 1.965883
us_000493116,0.771158, 1.998757
us_000484874,0.771158, 2.080943
us_000484681,0.729587, 0.000000
us_000485257,0.729587, 0.000000
us_000486904,0.729587, 0.000000
us_000486278,0.729587, 0.000000
us_000463758,0.729587, 0.000004
us_000515857,0.729587, 0.000004
us_000488991,0.729587, 0.000004
us_000563507,0.729587, 0.000038
pr_001399208,0.729587, 0.000047
pr_001814991,0.729587, 0.000047
pr_000998969,0.729587, 0.000047
pr_001956785,0.729587, 0.000047
pr_001080089,0.729587, 0.000047
pr_000984013,0.729587, 0.000047
pr_000597437,0.729587, 0.000047
pr_001075496,0.729587, 0.000047
pr_000996237,0.729587, 0.000047
pr_000448535,0.729587, 0.000047
pr_001020962,0.729587, 0.000047
