Product ID : 911 # of JPs covered : 1 : 198 : Corporate Finance, 
OID,Confidence at Map Node,Error at Map Node
us_000606342,0.975040, 0.000194
us_000600360,0.975040, 0.000351
us_000571677,0.975040, 0.000408
us_000466616,0.975040, 0.012021
us_000518119,0.975040, 2.640129
us_000533917,0.975040, 2.854441
us_000260693,0.975040, 3.157577
us_000574580,0.975040, 3.366055
us_000534001,0.975040, 3.397267
us_000567566,0.975040, 3.476426
us_000524059,0.975040, 3.486218
us_000518065,0.975040, 3.494004
us_000524097,0.975040, 3.501140
us_000504096,0.975040, 3.572701
us_000496476,0.975040, 3.581113
us_000534125,0.975040, 3.585050
us_000546909,0.975040, 3.615952
us_000462223,0.975040, 3.623647
us_000534042,0.975040, 3.653504
us_000462225,0.975040, 3.668966
us_000141464,0.975040, 3.672641
us_000593911,0.975040, 3.775726
us_000506964,0.975040, 3.966600
us_000574935,0.975040, 4.106942
pr_001129814,0.958475, 0.000000
pr_001130253,0.958475, 0.000000
pr_001401058,0.958475, 0.000000
pr_001126350,0.958475, 0.000000
pr_001130343,0.958475, 0.000000
pr_001014452,0.958475, 0.000000
pr_001128564,0.958475, 0.000000
pr_000553631,0.958475, 0.000000
pr_000979388,0.958475, 0.000000
pr_001126527,0.958475, 0.000000
pr_001128467,0.958475, 0.000000
pr_000979316,0.958475, 0.000000
pr_001128274,0.958475, 0.000000
us_000558652,0.958475, 0.000000
us_000542920,0.958475, 0.000000
us_000553651,0.958475, 0.000000
pr_001612512,0.958475, 0.000000
pr_000689893,0.958475, 0.000000
pr_001661875,0.958475, 0.000003
pr_001056907,0.958475, 0.000003
pr_000733337,0.958475, 0.000003
pr_001682170,0.958475, 0.000003
pr_000626543,0.958475, 0.000003
pr_001008637,0.958475, 0.000004
pr_002095344,0.958475, 0.000004
us_000537309,0.958475, 0.000006
pr_000526777,0.958475, 0.000007
pr_001013248,0.958475, 0.000007
pr_001033568,0.958475, 0.000012
pr_000847702,0.958475, 0.000015
pr_002062722,0.958475, 0.000019
pr_001999429,0.958475, 0.000020
pr_000633068,0.958475, 0.000026
us_000597549,0.958475, 0.000044
us_000551173,0.958475, 0.000098
us_000542916,0.958475, 0.000543
us_000476765,0.958475, 0.000860
us_000546502,0.958475, 0.001415
us_000594803,0.958475, 0.002058
us_000483853,0.958475, 0.003330
us_000478803,0.958475, 0.016506
us_000545942,0.958475, 0.032574
us_000537082,0.958475, 0.038749
us_000497706,0.958475, 0.065039
us_000531618,0.958475, 4.458370
us_000491042,0.958475, 4.718196
us_000522179,0.950555, 0.000000
us_000305409,0.950555, 0.000000
us_000478414,0.950555, 0.000000
us_000540444,0.950555, 0.000000
us_000519974,0.950555, 0.000000
us_000519134,0.950555, 0.000000
us_000567582,0.950555, 0.000000
us_000523258,0.950555, 0.000001
us_000564050,0.950555, 0.000008
us_000530426,0.950555, 0.000011
us_000586402,0.950555, 0.000012
us_000491525,0.950555, 0.000348
us_000562178,0.950555, 0.001234
us_000528739,0.914082, 0.000000
us_000542750,0.914082, 0.000000
us_000565681,0.914082, 0.000000
pr_000420566,0.914082, 0.000000
us_000466009,0.914082, 0.000000
us_000501913,0.914082, 0.000000
us_000550260,0.914082, 0.000000
us_000489486,0.914082, 0.000000
pr_000938572,0.914082, 0.000000
us_000589529,0.914082, 0.000001
pr_000427914,0.914082, 0.000001
pr_000448576,0.914082, 0.000001
pr_000787365,0.914082, 0.000001
pr_000419005,0.914082, 0.000001
pr_000586759,0.914082, 0.000002
pr_000018436,0.914082, 0.000002
us_000474481,0.914082, 0.000003
pr_000588158,0.914082, 0.000003
us_000551971,0.914082, 0.000004
pr_000083349,0.914082, 0.000006
pr_001397434,0.914082, 0.000006
pr_000895474,0.914082, 0.000006
pr_002190567,0.914082, 0.000006
pr_000863533,0.914082, 0.000006
pr_000844399,0.914082, 0.000006
pr_000843091,0.914082, 0.000006
pr_000668727,0.914082, 0.000006
pr_000496433,0.914082, 0.000006
pr_000887621,0.914082, 0.000006
pr_000695599,0.914082, 0.000006
pr_000707098,0.914082, 0.000006
pr_000706852,0.914082, 0.000006
pr_000690558,0.914082, 0.000006
pr_000990121,0.914082, 0.000006
pr_000731922,0.914082, 0.000006
pr_001768136,0.914082, 0.000006
pr_002133050,0.914082, 0.000006
pr_000854761,0.914082, 0.000006
pr_000823576,0.914082, 0.000006
pr_000707549,0.914082, 0.000006
pr_000995488,0.914082, 0.000006
pr_001826522,0.914082, 0.000006
pr_000584981,0.914082, 0.000006
pr_000823640,0.914082, 0.000006
pr_000445991,0.914082, 0.000006
pr_001723258,0.914082, 0.000006
pr_001735668,0.914082, 0.000006
pr_001037123,0.914082, 0.000006
pr_000979111,0.914082, 0.000006
pr_000977622,0.914082, 0.000006
pr_000736763,0.914082, 0.000006
pr_000850003,0.914082, 0.000006
pr_000725633,0.914082, 0.000006
