Product ID : 1018 # of JPs covered : 1 : 91 : ERISA, 
OID,Confidence at Map Node,Error at Map Node
us_000458962,0.924378, 3.267311
us_000500141,0.924378, 3.306141
us_000546141,0.924378, 3.307061
us_000533240,0.924378, 3.330054
us_000545091,0.924378, 3.341587
us_000521420,0.924378, 3.371994
us_000561254,0.924378, 3.374985
us_000574712,0.924378, 3.377635
us_000566933,0.924378, 3.382079
us_000557650,0.924378, 3.385810
us_000495102,0.924378, 3.389935
us_000502462,0.924378, 3.403771
us_000546256,0.924378, 3.415225
us_000510688,0.924378, 3.415225
us_000545530,0.924378, 3.415225
us_000472338,0.914837, 0.000000
us_000471243,0.914837, 0.000000
us_000515758,0.914837, 0.000000
pr_000735974,0.914837, 0.000001
pr_002006777,0.914837, 0.000001
us_000525240,0.914837, 0.000001
us_000464409,0.914837, 0.000002
us_000539301,0.914837, 0.000002
us_000541449,0.914837, 0.000002
pr_000750203,0.914837, 0.000004
pr_001894874,0.914837, 0.000006
us_000537888,0.914837, 0.000009
pr_002066217,0.914837, 0.000014
us_000510426,0.914837, 0.000023
us_000518842,0.914837, 0.000030
pr_001963351,0.914837, 0.000036
pr_001930435,0.914837, 0.000036
us_000537897,0.914837, 0.000061
us_000537922,0.914837, 0.000061
pr_001884506,0.914837, 0.000087
us_000503686,0.914837, 0.000159
us_000519328,0.914837, 0.000248
us_000441576,0.914837, 0.000263
us_000508831,0.914837, 0.000349
us_000512067,0.914837, 0.000349
us_000508799,0.914837, 0.000349
pr_001021085,0.914837, 0.000371
us_000521577,0.914837, 0.000510
us_000550742,0.914837, 0.000547
pr_000791139,0.914837, 0.000562
pr_001089198,0.914837, 0.000562
pr_000822658,0.914837, 0.000562
pr_000744957,0.914837, 0.000610
us_000484930,0.914837, 0.000615
pr_000886452,0.914837, 0.000629
pr_000880013,0.914837, 0.000629
us_000463914,0.914837, 0.000642
pr_000274758,0.914837, 0.000660
us_000542656,0.914837, 0.000807
pr_000289167,0.914837, 0.000914
pr_001611410,0.914837, 0.000931
us_000466827,0.914837, 0.000948
us_000539375,0.914837, 0.000987
pr_000562899,0.914837, 0.001170
us_000467129,0.914837, 0.001461
us_000599052,0.914837, 0.002507
us_000509297,0.914837, 0.003076
us_000486085,0.914837, 0.003112
us_000520640,0.914837, 0.003294
us_000492918,0.914837, 0.003344
us_000543433,0.914837, 0.003416
pr_001018053,0.914837, 0.003455
us_000535835,0.914837, 0.003694
us_000537949,0.914837, 0.005143
us_000106058,0.914837, 0.005842
us_000580820,0.914837, 0.007428
us_000559191,0.914837, 0.007515
us_000515699,0.914837, 0.007522
us_000542328,0.914837, 0.007790
us_000598055,0.914837, 0.008061
us_000506858,0.914837, 0.008871
us_000568739,0.914837, 0.010266
us_000567553,0.914837, 0.010913
us_000568680,0.914837, 0.011957
us_000470418,0.914837, 0.012760
us_000533657,0.914837, 0.012852
us_000542961,0.914837, 0.014734
us_000487783,0.914837, 0.017237
us_000498982,0.914837, 0.017759
us_000557514,0.914837, 0.017989
us_000566715,0.914837, 0.019626
us_000575454,0.914837, 0.020177
us_000163426,0.914837, 0.023441
us_000480432,0.914837, 0.026936
us_000472790,0.914837, 0.035748
us_000589732,0.914837, 0.043366
us_000525393,0.914837, 0.044941
us_000568938,0.914837, 0.050226
us_000480335,0.914837, 0.050962
us_000495291,0.914837, 0.056536
us_000589275,0.914837, 0.073321
us_000579268,0.914837, 0.081077
us_000494628,0.914837, 0.103556
us_000495488,0.914837, 0.162111
us_000482659,0.914837, 0.169227
us_000553948,0.914837, 0.228592
pr_001674097,0.908725, 0.000000
pr_001153019,0.908725, 0.000000
us_000529431,0.908725, 0.000000
us_000558958,0.908725, 0.000000
us_000559162,0.908725, 0.000454
us_000610956,0.908725, 0.001725
us_000526796,0.908725, 0.020373
us_000526544,0.908725, 0.027967
us_000517571,0.908725, 0.037160
us_000545309,0.908725, 0.037391
us_000520052,0.908725, 0.057234
us_000484126,0.908725, 0.064434
us_000502798,0.908725, 0.065032
us_000567172,0.908725, 0.109136
us_000515762,0.908725, 0.153005
