Product ID : 7753 # of JPs covered : 2 : 97 : Healthcare, 303 : Health Business M&A, 
OID,Confidence at Map Node,Error at Map Node
us_000551071,0.786630,0.031351
us_000551041,0.786630,0.031355
us_000596097,0.786630,0.031369
us_000076354,0.786630,0.031374
us_000559698,0.786630,0.031400
us_000512567,0.786630,0.031441
us_000468413,0.786630,0.031528
us_000564477,0.786630,0.031570
us_000533392,0.786630,0.031574
us_000599019,0.786630,0.031713
us_000568512,0.786630,0.031744
us_000597939,0.786630,0.031812
us_000593403,0.786630,0.031975
us_000599011,0.786630,0.031993
us_000595280,0.786630,0.032021
us_000591041,0.786630,0.032024
us_000555970,0.786630,0.032073
us_000530112,0.786630,0.032111
us_000462740,0.786630,0.032189
us_000526619,0.786630,0.032193
us_000596564,0.786630,0.032209
us_000596563,0.786630,0.032209
us_000550778,0.786630,0.032242
us_000597024,0.786630,0.032294
us_000595047,0.786630,0.032308
us_000593069,0.786630,0.032383
us_000542720,0.786630,0.032403
us_000596044,0.786630,0.032474
us_000509805,0.786630,0.032521
us_000198547,0.786630,0.032563
us_000461467,0.786630,0.032576
us_000600883,0.786630,0.032628
us_000577617,0.786630,0.032639
us_000589913,0.786630,0.032705
us_000519806,0.786630,0.032706
us_000525654,0.786630,0.032772
us_000542513,0.786630,0.032802
us_000568174,0.786630,0.032834
us_000593906,0.786630,0.032835
us_000466999,0.786630,0.032851
us_000481391,0.786630,0.032882
us_000496176,0.786630,0.032891
us_000575804,0.786630,0.032893
us_000592899,0.786630,0.032909
us_000529121,0.786630,0.032919
us_000556749,0.786630,0.032928
us_000551200,0.786630,0.032974
us_000557963,0.786630,0.033054
us_000515993,0.786630,0.033092
us_000516079,0.786630,0.033118
us_000546716,0.786630,0.033190
us_000497630,0.786630,0.033216
us_000547807,0.786630,0.033271
us_000600999,0.786630,0.033273
us_000498326,0.786630,0.033335
us_000568489,0.786630,0.033533
us_000473679,0.786630,0.033533
us_000591995,0.786630,0.033561
us_000593901,0.786630,0.033602
us_000585817,0.786630,0.033603
us_000488611,0.786630,0.033661
us_000555950,0.786630,0.033743
us_000592082,0.786630,0.033931
us_000591101,0.786630,0.034102
us_000555778,0.786630,0.034145
us_000474257,0.786630,0.034152
us_000557798,0.786630,0.034361
us_000504768,0.786630,0.034361
us_000591993,0.786630,0.034402
us_000542585,0.786630,0.034422
us_000551038,0.786630,0.034428
us_000484465,0.786630,0.034490
us_000469503,0.786630,0.034524
us_000513091,0.786630,0.034571
us_000554293,0.786630,0.034592
us_000467123,0.786630,0.034721
us_000527186,0.786630,0.034739
us_000582490,0.786630,0.034878
us_000505540,0.786630,0.035017
us_000590256,0.786630,0.035074
us_000497694,0.786630,0.035142
us_000588858,0.786630,0.035289
us_000557336,0.786630,0.035507
us_000551141,0.786630,0.035720
us_000482969,0.786630,0.035796
us_000596058,0.786630,0.035834
us_000539825,0.786630,0.035893
us_000532319,0.786630,0.036047
us_000516466,0.786630,0.036229
us_000533859,0.786630,0.036310
us_000498031,0.786630,0.036525
us_000556057,0.786630,0.036546
us_000538339,0.786630,0.036568
us_000591400,0.786630,0.036682
us_000470026,0.786630,0.036950
us_000572714,0.786630,0.037014
us_000558688,0.786630,0.037059
us_000509117,0.786630,0.037082
us_000532114,0.786630,0.037508
us_000539823,0.786630,0.037690
us_000504737,0.786630,0.038163
us_000564478,0.786630,0.038256
us_000503998,0.786630,0.038310
us_000503942,0.786630,0.038312
us_000598801,0.786630,0.038374
us_000493455,0.786630,0.038532
us_000515950,0.786630,0.039202
us_000600868,0.786630,0.039387
us_000559692,0.786630,0.039936
us_000192120,0.786630,0.040065
us_000471427,0.786630,0.040249
us_000489532,0.786630,0.040386
us_000565466,0.786630,0.040405
us_000542609,0.786630,0.040570
us_000529023,0.786630,0.040581
us_000530017,0.786630,0.041154
us_000481679,0.786630,0.041167
us_000530018,0.786630,0.041289
us_000497428,0.786630,0.041424
us_000534780,0.786630,0.042130
us_000494443,0.786630,0.042968
us_000586006,0.786630,0.043343
us_000502507,0.786630,0.043538
us_000515923,0.786630,0.043583
us_000475398,0.786630,0.043729
us_000492667,0.786630,0.043882
us_000501492,0.786630,0.044027
us_000555335,0.786630,0.044991
us_000525365,0.786630,0.045619
us_000586005,0.786630,0.045909
us_000481646,0.786630,0.049069
us_000480896,0.786630,0.050285
us_000521790,0.786630,0.050540
us_000471698,0.786630,0.054609
us_000597093,0.786630,0.058654
us_000556293,0.786630,0.060733
us_000468054,0.786630,0.060797
us_000599850,0.786630,0.062385
us_000537080,0.786630,0.063516
us_000476104,0.786630,0.064184
us_000598307,0.786630,0.068928
us_000536975,0.786630,0.069692
us_000479782,0.786630,0.071509
us_000489443,0.786630,0.071872
us_000387889,0.786630,0.074924
us_000468305,0.786630,0.076047
us_000108254,0.786630,0.078641
us_000512516,0.786630,0.080732
us_000494115,0.786630,0.084416
us_000536440,0.786630,0.085733
us_000505961,0.786630,0.087645
us_000542261,0.786630,0.087722
us_000484007,0.786630,0.091345
us_000548935,0.786630,0.092135
us_000564252,0.786630,0.103309
us_000520039,0.786630,0.115069
us_000548637,0.786630,0.153281
us_000599956,0.786630,0.161023
us_000500968,0.786630,0.173785
us_000566354,0.786630,0.179300
us_000559205,0.786630,0.180301
us_000559153,0.786630,0.231283
us_000510698,0.786630,0.264619
us_000596390,0.786630,0.265679
us_000079333,0.786630,0.278451
us_000554976,0.786630,0.288465
us_000573203,0.786630,0.289942
us_000543008,0.786630,0.292943
us_000520812,0.786630,0.303573
us_000471733,0.786630,0.328250
us_000613256,0.786630,0.329665
us_000595551,0.786630,0.348575
us_000521936,0.786630,0.386852
us_000546010,0.786630,0.395471
us_000616403,0.786630,0.401117
us_000566544,0.786630,0.483623
us_000506618,0.786630,0.552708
us_000485319,0.786630,0.687342
us_000487113,0.786630,0.730926
us_000529783,0.786630,0.762327
us_000576386,0.786630,0.819908
us_000495197,0.786630,0.900988
us_000566066,0.786630,1.087661
us_000476191,0.786630,1.152069
us_000575174,0.786630,1.158013
us_000485925,0.786630,1.164146
us_000602883,0.786630,1.507829
us_000513760,0.767137,0.007702
us_000528276,0.767137,0.020685
us_000529721,0.767137,0.020867
us_000556384,0.767137,0.020904
us_000556115,0.767137,0.020942
us_000472839,0.767137,0.020943
us_000547923,0.767137,0.020962
us_000530981,0.767137,0.020972
us_000595537,0.767137,0.020984
us_000543109,0.767137,0.020987
us_000543107,0.767137,0.021022
us_000543106,0.767137,0.021022
us_000584034,0.767137,0.021047
us_000514058,0.767137,0.021048
us_000517021,0.767137,0.021065
us_000594171,0.767137,0.021189
us_000533509,0.767137,0.021230
us_000520123,0.767137,0.021287
us_000595850,0.767137,0.021330
us_000542670,0.767137,0.021330
us_000564258,0.767137,0.021339
us_000538329,0.767137,0.021398
us_000517907,0.767137,0.021544
us_000513585,0.767137,0.021587
us_000464876,0.767137,0.021675
us_000582288,0.767137,0.021695
us_000577527,0.767137,0.021706
us_000473930,0.767137,0.021723
us_000592723,0.767137,0.021776
us_000592901,0.767137,0.021777
us_000471330,0.767137,0.021778
us_000529125,0.767137,0.021778
us_000326824,0.767137,0.021875
us_000567975,0.767137,0.021887
us_000558417,0.767137,0.021909
us_000592909,0.767137,0.021975
us_000567651,0.767137,0.021976
us_000585274,0.767137,0.022027
us_000559694,0.767137,0.022068
