Product ID : 7818 # of JPs covered : 1 : 445 : Municipal Finance-Admin, 
us_000542153,0.871289,0.004854
us_000488166,0.871289,0.010519
us_000510710,0.871289,0.015015
us_000514395,0.871289,0.016266
us_000585792,0.871289,0.027209
us_000568275,0.871289,0.032085
us_000480771,0.871289,0.037798
us_000579485,0.871289,0.050068
us_000097887,0.871289,0.055109
us_000545568,0.871289,0.179087
us_000475597,0.871289,3.276980
us_000474913,0.871289,3.679645
us_000485572,0.871289,3.749323
us_000474853,0.871289,3.953918
us_000512954,0.762586,0.777701
us_000551706,0.762586,0.790734
us_000581673,0.762586,1.011988
us_000498422,0.762586,1.031712
us_000588235,0.762586,1.034507
us_000595709,0.762586,1.049358
us_000595076,0.762586,1.075871
us_000531128,0.762586,1.105130
us_000582593,0.762586,1.127668
us_000556996,0.762586,1.129010
us_000582608,0.762586,1.137366
us_000563883,0.762586,1.153041
us_000560136,0.762586,1.155263
us_000508163,0.762586,1.172120
us_000605757,0.762586,1.175896
us_000582654,0.762586,1.184816
us_000586927,0.762586,1.184985
us_000615074,0.762586,1.184985
us_000583780,0.762586,1.203668
us_000583782,0.762586,1.203668
us_000583783,0.762586,1.203668
us_000583779,0.762586,1.203668
us_000581266,0.762586,1.206856
us_000586015,0.762586,1.232435
us_000592949,0.762586,1.232435
us_000594597,0.762586,1.232435
us_000588194,0.762586,1.232435
us_000589687,0.762586,1.232435
us_000582553,0.762586,1.232435
us_000588516,0.762586,1.232435
us_000582576,0.762586,1.232435
us_000587595,0.762586,1.246682
us_000557026,0.762586,1.458802
us_000594451,0.762586,1.517931
us_000541320,0.762586,1.566242
us_000480608,0.762586,1.589805
us_000550116,0.762586,1.611852
us_000493261,0.762586,1.631048
us_000484914,0.762586,1.697229
us_000483898,0.762586,1.697229
us_000486365,0.762586,1.703843
us_000493358,0.762586,1.707868
us_000548946,0.762586,1.708186
us_000513203,0.762586,1.710556
us_000514026,0.762586,1.710556
us_000492305,0.762586,1.712411
us_000587694,0.762586,1.717875
us_000471325,0.762586,1.720641
us_000496238,0.762586,1.730238
us_000603040,0.762586,1.730571
us_000582747,0.762586,1.745340
us_000597143,0.762586,1.768119
us_000581019,0.762586,1.773733
us_000593775,0.762586,1.779618
us_000592313,0.762586,1.783228
us_000592332,0.762586,1.786999
us_000560929,0.762586,1.787004
us_000602077,0.762586,1.796588
us_000592316,0.762586,1.796588
us_000595140,0.762586,1.796588
us_000584590,0.762586,1.796588
us_000503296,0.762586,1.806277
us_000581911,0.762586,1.810092
us_000483140,0.762586,1.810092
us_000564695,0.762586,1.810092
us_000604679,0.762586,1.810119
us_000485035,0.762586,1.815012
us_000568923,0.762586,1.818788
us_000596281,0.762586,1.818788
us_000596730,0.762586,1.818788
us_000568876,0.762586,1.818788
us_000577890,0.762586,1.818788
us_000567493,0.762586,1.818788
us_000597108,0.762586,1.818788
us_000552758,0.762586,1.818788
us_000508930,0.762586,1.831706
us_000581701,0.762586,1.841697
us_000528131,0.762586,1.845183
us_000584499,0.762586,1.855327
us_000615120,0.762586,1.856372
us_000588333,0.762586,1.856372
us_000582815,0.762586,1.869274
us_000592331,0.762586,1.869274
us_000589482,0.762586,1.871609
us_000589296,0.762586,1.871609
us_000584921,0.762586,1.871609
us_000582674,0.762586,1.871609
us_000581452,0.762586,1.871609
us_000582672,0.762586,1.871609
us_000581255,0.762586,1.871609
us_000582706,0.762586,1.871609
us_000584851,0.762586,1.871609
us_000582704,0.762586,1.871609
us_000610846,0.762586,1.875054
us_000611039,0.762586,1.875054
us_000598434,0.762586,1.875054
us_000599024,0.762586,1.875054
us_000599032,0.762586,1.875054
us_000582669,0.762586,1.878665
us_000582114,0.762586,1.881099
us_000583565,0.762586,1.882441
us_000610597,0.762586,1.882441
us_000598474,0.762586,1.884544
us_000615010,0.762586,1.884544
us_000615995,0.762586,1.884544
us_000578062,0.762586,1.884544
us_000616426,0.762586,1.884544
us_000579285,0.762586,1.885856
us_000507798,0.762586,1.887655
us_000614829,0.762586,1.888155
us_000585341,0.762586,1.888155
us_000585342,0.762586,1.888155
us_000592326,0.762586,1.891931
us_000592327,0.762586,1.891931
us_000582255,0.762586,1.891931
us_000592330,0.762586,1.891931
us_000592333,0.762586,1.891931
us_000511033,0.762586,1.894133
us_000486312,0.762586,1.895204
us_000587325,0.762586,1.897096
us_000615208,0.762586,1.897744
us_000604385,0.762586,1.897744
us_000589480,0.762586,1.897744
us_000591589,0.762586,1.897744
us_000580992,0.762586,1.897744
us_000598575,0.762586,1.897744
us_000580981,0.762586,1.897744
us_000597146,0.762586,1.897744
us_000592315,0.762586,1.897744
us_000598574,0.762586,1.897744
us_000492048,0.762586,1.897744
us_000585327,0.762586,1.897744
us_000508205,0.762586,1.897744
us_000581528,0.762586,1.897744
us_000605219,0.762586,1.897744
us_000598578,0.762586,1.897744
us_000598577,0.762586,1.897744
us_000598576,0.762586,1.897744
us_000610027,0.762586,1.897744
us_000615309,0.762586,1.897744
us_000603080,0.762586,1.897744
us_000580919,0.762586,1.897744
us_000577316,0.762586,1.897744
us_000579320,0.762586,1.900376
us_000581722,0.762586,1.900911
us_000473047,0.762586,1.901520
us_000580435,0.762586,1.901520
us_000580436,0.762586,1.901520
us_000592317,0.762586,1.901520
us_000600425,0.762586,1.901520
us_000600599,0.762586,1.901520
us_000600183,0.762586,1.901520
us_000610080,0.762586,1.901520
us_000600606,0.762586,1.901520
us_000600184,0.762586,1.901520
us_000600607,0.762586,1.901520
us_000582061,0.762586,1.901520
us_000600185,0.762586,1.901520
us_000584560,0.762586,1.901520
us_000581950,0.762586,1.901520
us_000591961,0.762586,1.901520
us_000615865,0.762586,1.901520
us_000579841,0.762586,1.901520
us_000600602,0.762586,1.901520
us_000600603,0.762586,1.901520
us_000600597,0.762586,1.901520
us_000600604,0.762586,1.901520
us_000592587,0.762586,1.901520
us_000600598,0.762586,1.901520
us_000588955,0.762586,1.903821
us_000612076,0.762586,1.903821
us_000612150,0.762586,1.903821
us_000566641,0.762586,1.906734
us_000598039,0.762586,1.907432
us_000598026,0.762586,1.907432
us_000598200,0.762586,1.907432
us_000598194,0.762586,1.907432
us_000585338,0.762586,1.907432
us_000598193,0.762586,1.907432
us_000598192,0.762586,1.907432
us_000598199,0.762586,1.907432
us_000598198,0.762586,1.907432
us_000598197,0.762586,1.907432
us_000598196,0.762586,1.907432
us_000581589,0.762586,1.907432
us_000582468,0.762586,1.908297
us_000598195,0.762586,1.909237
us_000600904,0.762586,1.911208
us_000582622,0.762586,1.911208
us_000602358,0.762586,1.911208
us_000584324,0.762586,1.911208
us_000610008,0.762586,1.911208
us_000598450,0.762586,1.911208
us_000592324,0.762586,1.911208
us_000591235,0.762586,1.911208
us_000588992,0.762586,1.911208
us_000584325,0.762586,1.911208
us_000617073,0.762586,1.911208
us_000592606,0.762586,1.911208
us_000582559,0.762586,1.911208
us_000597141,0.762586,1.911208
us_000601073,0.762586,1.911208
us_000582620,0.762586,1.911208
us_000584326,0.762586,1.911208
us_000580084,0.762586,1.911208
us_000585307,0.762586,1.911208
us_000584370,0.762586,1.911208
us_000472801,0.762586,1.911208
us_000601072,0.762586,1.911208
us_000584327,0.762586,1.911208
us_000615513,0.762586,1.911208
us_000609457,0.762586,1.911208
us_000591117,0.762586,1.911208
us_000584291,0.762586,1.911208
us_000616885,0.762586,1.911208
us_000582613,0.762586,1.911208
us_000582710,0.762586,1.911208
us_000584320,0.762586,1.911208
us_000584224,0.762586,1.911208
us_000570068,0.762586,1.911208
us_000601081,0.762586,1.911208
us_000615719,0.762586,1.911208
us_000584321,0.762586,1.911208
us_000599683,0.762586,1.911208
us_000592318,0.762586,1.911208
us_000598210,0.762586,1.911208
us_000579786,0.762586,1.911208
us_000598711,0.762586,1.911208
us_000606963,0.762586,1.911208
us_000584323,0.762586,1.911208
us_000597864,0.762586,1.911208
us_000584782,0.762586,1.911208
us_000584347,0.762586,1.911208
us_000600982,0.762586,1.911208
us_000592789,0.762586,1.911208
us_000581071,0.762586,1.911208
us_000584375,0.762586,1.911208
us_000585343,0.762586,1.911208
us_000597780,0.762586,1.911208
us_000586783,0.762586,1.911208
us_000584377,0.762586,1.911208
us_000589225,0.762586,1.911208
us_000584191,0.762586,1.911208
us_000616751,0.762586,1.911208
us_000597125,0.762586,1.911208
us_000593932,0.762586,1.911208
us_000590894,0.762586,1.911208
us_000598202,0.762586,1.911208
us_000591500,0.762586,1.911208
us_000616924,0.762586,1.911208
us_000582736,0.762586,1.911208
us_000582627,0.762586,1.911208
us_000584330,0.762586,1.911208
us_000597517,0.762586,1.911208
us_000598201,0.762586,1.911208
us_000584328,0.762586,1.911208
us_000592320,0.762586,1.911208
us_000576993,0.762586,1.911208
us_000581195,0.762586,1.911208
us_000602078,0.762586,1.911208
us_000598316,0.762586,1.911208
us_000615027,0.762586,1.911208
us_000588993,0.762586,1.911208
us_000582619,0.762586,1.911208
us_000616823,0.762586,1.911208
us_000508527,0.762586,1.911208
us_000586781,0.762586,1.911208
us_000600846,0.762586,1.911208
us_000597431,0.762586,1.911208
us_000584658,0.762586,1.911208
us_000584319,0.762586,1.911208
us_000592321,0.762586,1.911208
us_000506369,0.762586,1.912926
us_000603474,0.762586,1.913131
us_000565942,0.762586,1.917608
us_000574126,0.762586,1.919575
us_000605805,0.762586,1.934085
pr_001814224,0.706423,0.000000
pr_001897446,0.706423,0.000000
pr_000126181,0.706423,0.000000
us_000517469,0.706423,0.000000
us_000492258,0.706423,0.000000
us_000540698,0.706423,0.000000
us_000534258,0.706423,0.000000
pr_001015782,0.706423,0.000007
pr_000586966,0.706423,0.000008
us_000502683,0.706423,0.000009
us_000535800,0.706423,0.000009
pr_000092802,0.706423,0.000015
pr_000940761,0.706423,0.000019
pr_002194887,0.706423,0.000084
us_000616796,0.706423,0.000123
pr_002000658,0.706423,0.000156
us_000500634,0.706423,0.000731
us_000522820,0.706423,0.001117
us_000570218,0.706423,0.003637
us_000474631,0.706423,0.005417
us_000488246,0.706423,0.006335
us_000478609,0.706423,0.008827
us_000518504,0.706423,0.010181
us_000585626,0.706423,0.042574
us_000481008,0.706423,0.059249
us_000503723,0.706423,3.209715
us_000503569,0.706423,3.334985
us_000513935,0.706423,3.351085
us_000475720,0.706423,3.354909
us_000514647,0.706423,3.386618
us_000510238,0.706423,3.396344
us_000483894,0.706423,3.413551
us_000478547,0.706423,3.419238
us_000503612,0.706423,3.420614
us_000503722,0.706423,3.463832
us_000460216,0.706423,3.485619
us_000491930,0.706423,3.486275
us_000169563,0.706423,3.486275
us_000492372,0.706423,3.486549
us_000510776,0.706423,3.486549
us_000483945,0.706423,3.490046
us_000491939,0.706423,3.494789
us_000497014,0.706423,3.497142
us_000496605,0.706423,3.497142
us_000511716,0.706423,3.497142
us_000503743,0.706423,3.504153
us_000510172,0.706423,3.515334
us_000141268,0.706423,4.588162
us_000460208,0.706423,5.905212
us_000538518,0.518028,0.000000
us_000566498,0.518028,0.000000
us_000602848,0.518028,0.000000
us_000556329,0.518028,0.000000
us_000525767,0.518028,0.000000
us_000568180,0.518028,0.000000
us_000568156,0.518028,0.000000
us_000617502,0.518028,0.000000
us_000597002,0.518028,0.000000
us_000601271,0.518028,0.000000
us_000616491,0.518028,0.000000
us_000616489,0.518028,0.000000
us_000616486,0.518028,0.000000
us_000575644,0.518028,0.000000
us_000581070,0.518028,0.000001
us_000610511,0.518028,0.000001
us_000567564,0.518028,0.000001
us_000583624,0.518028,0.000002
us_000617068,0.518028,0.000003
us_000573416,0.518028,0.000003
us_000573375,0.518028,0.000003
us_000608506,0.518028,0.000005
us_000612428,0.518028,0.000073
pr_001663565,0.518028,0.000137
pr_001667677,0.518028,0.000239
us_000488450,0.518028,0.307047
us_000485049,0.518028,0.333240
us_000541255,0.518028,0.349038
us_000595102,0.518028,0.361558
us_000595136,0.518028,0.361558
us_000572932,0.518028,0.363694
us_000572746,0.518028,0.363694
us_000593797,0.518028,0.370945
us_000536508,0.518028,0.375961
us_000594050,0.518028,0.375961
us_000588487,0.518028,0.375961
us_000594783,0.518028,0.375961
us_000573927,0.518028,0.383215
us_000512852,0.518028,0.413756
us_000532317,0.518028,0.420809
us_000594584,0.518028,0.427961
us_000585221,0.518028,0.435212
us_000585875,0.518028,0.435212
us_000487287,0.518028,0.436862
us_000473427,0.518028,0.442944
us_000484708,0.518028,0.442944
us_000473303,0.518028,0.442944
us_000576912,0.518028,0.442944
us_000496321,0.518028,0.442944
us_000554758,0.518028,0.449302
us_000487343,0.518028,0.452173
us_000503738,0.518028,0.453928
us_000514286,0.518028,0.454120
us_000584714,0.518028,0.488747
us_000512779,0.518028,0.489536
us_000585447,0.518028,0.489536
us_000481897,0.518028,0.489536
us_000485068,0.518028,0.489536
us_000512873,0.518028,0.489536
us_000481618,0.518028,0.489536
us_000499826,0.518028,0.496589
us_000481256,0.518028,0.496589
us_000472585,0.518028,0.496589
us_000578087,0.518028,0.496589
us_000532424,0.518028,0.496589
us_000499898,0.518028,0.496589
us_000514537,0.518028,0.496589
us_000486509,0.518028,0.496589
us_000595139,0.518028,0.496792
us_000593776,0.518028,0.498267
us_000573150,0.518028,0.498267
us_000573509,0.518028,0.498267
us_000594561,0.518028,0.498267
us_000573602,0.518028,0.498267
us_000604489,0.518028,0.498267
us_000573559,0.518028,0.498267
us_000571461,0.518028,0.500006
us_000571458,0.518028,0.500006
us_000483225,0.518028,0.503741
us_000495009,0.518028,0.503741
us_000482754,0.518028,0.503741
us_000472780,0.518028,0.503741
us_000483060,0.518028,0.503741
us_000595796,0.518028,0.503741
us_000483291,0.518028,0.503741
us_000500674,0.518028,0.503741
us_000585957,0.518028,0.503741
us_000495058,0.518028,0.503741
us_000513762,0.518028,0.503741
us_000496310,0.518028,0.503741
us_000470083,0.518028,0.503741
us_000482760,0.518028,0.503741
us_000500673,0.518028,0.503741
us_000484146,0.518028,0.503741
us_000572148,0.518028,0.504936
us_000571903,0.518028,0.504936
us_000505252,0.518028,0.504936
us_000595148,0.518028,0.504936
us_000487396,0.518028,0.504936
us_000596204,0.518028,0.510992
us_000489769,0.518028,0.510992
us_000555733,0.518028,0.510992
us_000555122,0.518028,0.510992
us_000596553,0.518028,0.510992
us_000483348,0.518028,0.510992
us_000483825,0.518028,0.510992
us_000493397,0.518028,0.510992
us_000481048,0.518028,0.510992
us_000486742,0.518028,0.510992
us_000499957,0.518028,0.510992
us_000555879,0.518028,0.510992
us_000554183,0.518028,0.510992
us_000481182,0.518028,0.510992
us_000493391,0.518028,0.510992
us_000484683,0.518028,0.510992
us_000484725,0.518028,0.510992
us_000576927,0.518028,0.510992
us_000488950,0.518028,0.510992
us_000492957,0.518028,0.510992
us_000554216,0.518028,0.510992
us_000488093,0.518028,0.510992
us_000500129,0.518028,0.510992
us_000489758,0.518028,0.510992
us_000532562,0.518028,0.510992
us_000465553,0.518028,0.511560
us_000486421,0.518028,0.511581
us_000584655,0.518028,0.512444
us_000503322,0.518028,0.512973
us_000475461,0.518028,0.513151
us_000593926,0.518028,0.513179
us_000535865,0.518028,0.513179
us_000594498,0.518028,0.513179
us_000609945,0.518028,0.513179
us_000593840,0.518028,0.513179
us_000586929,0.518028,0.513179
us_000572426,0.518028,0.513179
us_000593859,0.518028,0.513179
us_000573406,0.518028,0.513179
us_000593858,0.518028,0.513179
us_000594396,0.518028,0.513179
us_000611099,0.518028,0.513179
us_000572717,0.518028,0.513179
us_000594394,0.518028,0.513179
us_000572425,0.518028,0.513179
us_000610025,0.518028,0.513179
us_000594655,0.518028,0.513179
us_000488638,0.518028,0.513725
us_000561796,0.518028,0.517752
us_000609455,0.518028,0.524548
us_000577790,0.518028,0.534840
us_000484582,0.518028,0.540988
us_000486522,0.518028,0.548735
pr_000294436,0.518028,0.556581
us_000597145,0.518028,0.556582
us_000597144,0.518028,0.556582
us_000514713,0.518028,0.556582
us_000577740,0.518028,0.564527
us_000484786,0.518028,0.564527
us_000596263,0.518028,0.564527
us_000589895,0.518028,0.564527
us_000485066,0.518028,0.564527
us_000596261,0.518028,0.564527
us_000481587,0.518028,0.564527
us_000577702,0.518028,0.564527
us_000481922,0.518028,0.564527
us_000481649,0.518028,0.564527
us_000532794,0.518028,0.564527
us_000580539,0.518028,0.564527
us_000597403,0.518028,0.572572
us_000489658,0.518028,0.572572
us_000501098,0.518028,0.572572
us_000481260,0.518028,0.572572
us_000514552,0.518028,0.572572
us_000578170,0.518028,0.572572
us_000491066,0.518028,0.572572
us_000489424,0.518028,0.572572
us_000491057,0.518028,0.572572
us_000532524,0.518028,0.572572
us_000597386,0.518028,0.572572
us_000486492,0.518028,0.572572
us_000499571,0.518028,0.572572
us_000514488,0.518028,0.572572
us_000489727,0.518028,0.572572
us_000491279,0.518028,0.572572
us_000489123,0.518028,0.572572
us_000493853,0.518028,0.580715
us_000595342,0.518028,0.580715
us_000491173,0.518028,0.580715
us_000472784,0.518028,0.580715
us_000495822,0.518028,0.580715
us_000577340,0.518028,0.580715
us_000494698,0.518028,0.580715
us_000486308,0.518028,0.580715
us_000481231,0.518028,0.580715
us_000481537,0.518028,0.580715
us_000472639,0.518028,0.580715
us_000562200,0.518028,0.580715
us_000485321,0.518028,0.580715
us_000483253,0.518028,0.580715
pr_001985764,0.518028,0.580715
us_000597343,0.518028,0.580715
us_000495046,0.518028,0.580715
us_000500822,0.518028,0.580715
us_000513883,0.518028,0.580715
us_000597312,0.518028,0.580715
us_000484156,0.518028,0.580715
us_000596138,0.518028,0.580715
us_000487339,0.518028,0.580715
us_000499307,0.518028,0.580715
us_000533117,0.518028,0.580907
us_000597066,0.518028,0.582244
us_000484693,0.518028,0.582462
us_000513207,0.518028,0.587872
us_000513945,0.518028,0.588958
us_000586987,0.518028,0.588958
us_000485023,0.518028,0.588958
us_000557423,0.518028,0.588958
us_000559965,0.518028,0.588958
us_000578419,0.518028,0.588958
us_000472815,0.518028,0.588958
us_000532759,0.518028,0.588958
us_000577887,0.518028,0.588958
us_000492178,0.518028,0.588958
us_000586989,0.518028,0.588958
us_000473043,0.518028,0.588958
us_000482357,0.518028,0.588958
us_000586988,0.518028,0.588958
us_000596703,0.518028,0.588958
us_000484057,0.518028,0.588958
us_000578060,0.518028,0.588958
us_000586752,0.518028,0.588958
us_000473936,0.518028,0.588958
us_000586753,0.518028,0.588958
us_000609458,0.518028,0.588958
us_000513084,0.518028,0.588958
us_000513597,0.518028,0.588958
us_000567814,0.518028,0.588958
us_000554049,0.518028,0.588958
us_000578466,0.518028,0.588958
us_000578050,0.518028,0.588958
us_000596143,0.518028,0.588958
us_000473052,0.518028,0.588958
us_000490077,0.518028,0.588958
us_000488575,0.518028,0.588958
us_000478578,0.518028,0.588958
us_000500306,0.518028,0.588958
us_000487245,0.518028,0.588958
us_000495434,0.518028,0.588958
us_000577344,0.518028,0.588958
