Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 437 | Tax Prep-Pass-Through-S-Corp (jp:437,idx:188)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01286174,4.0,(16|23)
0.01282051,2.0,(18|19)
0.01282051,1.0,(23|36)
0.01273885,2.0,(49|10)
0.01265823,1.0,(8|24)
0.01265823,2.0,(10|35)
0.01265823,7.0,(19|23)
0.01257862,4.0,(28|43)
0.01257862,4.0,(48|16)
0.01242236,2.0,(20|31)
0.01219512,2.0,(41|16)
0.01212121,2.0,(4|8)
0.01194030,4.0,(46|15)
0.01190476,1.0,(37|16)
0.01186944,4.0,(46|20)
0.01176471,3.0,(46|13)
0.01169591,6.0,(24|46)
0.01162791,2.0,(1|19)
0.01152074,5.0,(43|16)
0.01136364,2.0,(27|30)
0.01129944,2.0,(1|10)
0.01127820,3.0,(38|20)
0.01111111,1.0,(16|29)
0.01111111,1.0,(24|36)
0.01098901,3.0,(5|11)
0.01092896,2.0,(48|9)
0.01079137,3.0,(3|16)
0.01075269,2.0,(18|27)
0.01063830,2.0,(22|32)
0.01038062,6.0,(19|25)
0.01015228,2.0,(47|12)
0.01005025,2.0,(0|26)
0.01000000,2.0,(39|17)
0.009900990,1.0,(23|41)
0.009732360,4.0,(20|22)
0.009708738,1.0,(22|29)
0.009708738,2.0,(39|19)
0.009677419,3.0,(2|15)
0.009569378,2.0,(18|21)
0.009554140,3.0,(48|8)
0.009363296,5.0,(19|27)
0.009345794,1.0,(23|37)
0.009302326,2.0,(46|8)
0.009259259,1.0,(25|39)
0.009259259,2.0,(29|28)
0.009259259,1.0,(49|23)
0.009174312,1.0,(22|31)
0.009107468,5.0,(19|26)
0.009049774,2.0,(0|24)
0.008928572,2.0,(19|31)
0.008928572,1.0,(23|30)
0.008810572,2.0,(41|19)
0.008547009,2.0,(9|34)
0.008547009,1.0,(47|25)
0.008474576,1.0,(2|8)
0.008368201,2.0,(1|16)
0.008368201,2.0,(40|13)
0.008368201,2.0,(45|10)
0.008333334,1.0,(26|43)
0.008196721,1.0,(22|26)
0.008163265,2.0,(1|13)
0.008000000,1.0,(48|12)
0.007978723,3.0,(17|25)
0.007874016,1.0,(19|36)
