Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 436 | Tax Prep-Pass-Through-Forms (jp:436,idx:187)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02181818,6.0,(20|27)
0.02158273,3.0,(17|26)
0.02127660,3.0,(23|25)
0.02127660,3.0,(23|28)
0.02116402,4.0,(39|13)
0.02116402,8.0,(46|12)
0.02105263,4.0,(5|21)
0.02068966,6.0,(0|13)
0.02047782,6.0,(44|14)
0.02040816,2.0,(7|9)
0.02000000,2.0,(25|33)
0.01960784,5.0,(4|13)
0.01960784,1.0,(25|45)
0.01960784,1.0,(25|47)
0.01941748,2.0,(22|29)
0.01860465,4.0,(49|8)
0.01851852,2.0,(19|39)
0.01851852,2.0,(26|33)
0.01851852,2.0,(28|33)
0.01851852,3.0,(41|14)
0.01851852,3.0,(44|11)
0.01840491,3.0,(1|18)
0.01834862,4.0,(27|36)
0.01829268,3.0,(4|14)
0.01775148,3.0,(30|32)
0.01769911,2.0,(38|15)
0.01744186,6.0,(48|17)
0.01742919,8.0,(16|24)
0.01739130,4.0,(42|26)
0.01724138,1.0,(26|30)
0.01724138,2.0,(44|31)
0.01724138,9.0,(46|16)
0.01704546,3.0,(27|30)
0.01694915,1.0,(5|39)
0.01694915,1.0,(46|9)
0.01690821,7.0,(17|27)
0.01683502,5.0,(45|14)
0.01680672,6.0,(20|30)
0.01673640,4.0,(2|43)
0.01618123,5.0,(45|15)
0.01600000,2.0,(26|28)
0.01538462,1.0,(21|35)
0.01538462,1.0,(26|38)
0.01538462,1.0,(28|28)
0.01538462,3.0,(37|15)
0.01522843,3.0,(17|30)
0.01515152,2.0,(4|16)
0.01515152,1.0,(4|19)
0.01507538,6.0,(20|23)
0.01500000,3.0,(13|24)
0.01476015,4.0,(40|29)
0.01474926,5.0,(44|30)
0.01470588,1.0,(24|40)
0.01449275,2.0,(3|20)
0.01449275,3.0,(29|42)
0.01442308,6.0,(27|25)
0.01428571,2.0,(24|31)
0.01428571,1.0,(41|23)
0.01418440,2.0,(4|18)
0.01418440,2.0,(36|34)
0.01411765,6.0,(16|25)
0.01408451,5.0,(42|31)
0.01408451,2.0,(43|31)
0.01388889,1.0,(25|36)
0.01360544,2.0,(29|32)
0.01351351,2.0,(1|14)
0.01298701,2.0,(2|18)
0.01298701,1.0,(47|42)
0.01293103,3.0,(21|31)
0.01282051,3.0,(9|34)
0.01282051,2.0,(43|26)
0.01273885,2.0,(24|37)
0.01257862,4.0,(28|43)
0.01242236,2.0,(20|31)
0.01242236,2.0,(45|28)
0.01234568,3.0,(47|16)
0.01204819,1.0,(15|25)
0.01196172,5.0,(24|23)
0.01190476,1.0,(4|7)
0.01190476,1.0,(37|16)
0.01176471,1.0,(8|15)
0.01149425,2.0,(40|12)
0.01149425,4.0,(41|27)
0.01136364,1.0,(24|30)
0.01136364,1.0,(38|27)
0.01123596,2.0,(3|19)
0.01111111,1.0,(16|29)
0.01111111,1.0,(24|36)
0.01111111,1.0,(26|41)
0.01098901,1.0,(27|43)
0.01098901,2.0,(37|19)
0.01092896,2.0,(6|21)
0.01079137,3.0,(3|16)
0.01063830,4.0,(17|25)
0.01063830,1.0,(35|39)
0.01052632,3.0,(18|28)
0.01005025,2.0,(19|19)
0.009900990,2.0,(20|32)
0.009900990,1.0,(21|38)
0.009900990,2.0,(37|13)
0.009852217,2.0,(19|29)
0.009852217,2.0,(47|15)
0.009646302,3.0,(16|23)
0.009615385,1.0,(21|36)
0.009615385,1.0,(31|43)
0.009541985,5.0,(46|14)
0.009463723,3.0,(21|28)
0.009345794,1.0,(29|34)
0.009259259,2.0,(29|28)
0.009202454,3.0,(39|12)
0.009174312,1.0,(11|36)
0.009090909,2.0,(4|12)
0.009090909,1.0,(29|37)
0.009009009,1.0,(20|33)
0.008928572,1.0,(23|30)
0.008849557,1.0,(0|8)
0.008849557,2.0,(46|7)
0.008695652,1.0,(7|12)
0.008547009,1.0,(45|32)
0.008474576,1.0,(24|19)
0.008438818,2.0,(21|27)
0.008403362,3.0,(7|39)
0.008196721,1.0,(12|31)
0.008032128,2.0,(7|45)
0.008000000,2.0,(3|18)
0.008000000,1.0,(14|26)
0.007968128,2.0,(21|30)
