Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 336 | Tax Prep-Indiv-Tax (jp:336,idx:119)
Class Probability,Ex Count at BMU,BMU Map Loc
0.03571429,1.0,(27|29)
0.03539823,4.0,(0|23)
0.03517588,7.0,(0|26)
0.03460838,19.0,(19|26)
0.03448276,2.0,(8|22)
0.03448276,22.0,(17|23)
0.03383459,9.0,(38|20)
0.03365385,7.0,(19|22)
0.03333334,2.0,(29|36)
0.03317536,7.0,(46|10)
0.03296703,6.0,(2|10)
0.03296703,6.0,(37|19)
0.03278688,4.0,(21|34)
0.03264095,11.0,(46|20)
0.03260870,3.0,(15|23)
0.03255814,7.0,(41|33)
0.03174603,2.0,(30|40)
0.03133903,11.0,(8|31)
0.03125000,3.0,(17|22)
0.03100775,4.0,(48|26)
0.03076923,2.0,(26|38)
0.03067485,10.0,(39|12)
0.03045685,6.0,(17|30)
0.02991453,7.0,(9|34)
0.02955665,6.0,(22|37)
0.02916667,7.0,(41|13)
0.02909091,8.0,(20|27)
0.02877698,4.0,(25|29)
0.02857143,7.0,(18|29)
0.02836879,4.0,(23|33)
0.02803738,3.0,(47|28)
0.02797203,4.0,(3|8)
0.02777778,3.0,(24|34)
0.02777778,5.0,(42|32)
0.02763819,11.0,(20|23)
0.02730375,8.0,(44|14)
0.02702703,4.0,(38|17)
0.02673797,5.0,(40|22)
0.02631579,4.0,(48|11)
0.02597403,4.0,(45|11)
0.02531646,2.0,(18|30)
0.02521008,3.0,(44|32)
0.02479339,3.0,(28|34)
0.02439024,2.0,(31|41)
0.02439024,1.0,(49|28)
0.02403846,5.0,(44|13)
0.02380952,3.0,(43|10)
0.02352941,2.0,(38|22)
0.02339181,12.0,(24|46)
0.02319588,9.0,(39|14)
0.02312139,4.0,(44|22)
0.02298851,4.0,(26|39)
0.02283105,5.0,(47|22)
0.02272727,2.0,(38|27)
0.02259887,4.0,(1|10)
0.02238806,3.0,(42|12)
0.02236422,7.0,(22|30)
0.02222222,2.0,(24|36)
0.02222222,3.0,(43|32)
0.02201258,7.0,(28|43)
0.02197802,2.0,(5|12)
0.02197802,2.0,(42|27)
0.02197802,4.0,(44|19)
0.02173913,2.0,(25|30)
0.02173913,1.0,(39|24)
0.02150538,4.0,(18|27)
0.02150538,2.0,(45|25)
0.02127660,3.0,(23|28)
0.02117647,9.0,(16|25)
0.02116402,8.0,(46|12)
0.02083333,4.0,(45|9)
0.02083333,2.0,(46|28)
0.02057613,5.0,(47|16)
0.02030457,4.0,(47|12)
0.02013423,6.0,(43|33)
0.02000000,2.0,(25|33)
0.01960784,6.0,(37|18)
0.01960784,5.0,(46|13)
0.01923077,2.0,(21|36)
0.01891892,7.0,(3|10)
0.01875000,3.0,(43|27)
0.01851852,3.0,(29|33)
0.01843318,8.0,(43|16)
0.01818182,3.0,(18|26)
0.01818182,2.0,(29|37)
0.01818182,2.0,(41|28)
0.01785714,2.0,(23|30)
0.01769911,4.0,(23|38)
0.01758794,7.0,(21|24)
0.01746725,4.0,(45|13)
0.01744186,6.0,(48|17)
0.01734104,3.0,(4|11)
0.01730104,10.0,(19|25)
0.01717557,9.0,(46|14)
0.01709402,2.0,(45|32)
0.01702128,4.0,(45|19)
0.01694915,1.0,(33|19)
0.01694915,1.0,(46|9)
0.01683502,5.0,(45|14)
0.01639344,2.0,(22|26)
0.01626016,2.0,(44|26)
0.01612903,3.0,(48|27)
0.01607717,5.0,(16|23)
0.01570681,3.0,(0|10)
0.01556420,4.0,(47|20)
0.01550388,2.0,(41|25)
0.01546392,3.0,(40|21)
0.01526718,2.0,(30|41)
0.01526718,2.0,(36|18)
0.01503759,2.0,(20|36)
0.01492537,2.0,(25|34)
0.01485149,3.0,(22|38)
0.01481481,2.0,(10|30)
0.01473684,7.0,(21|26)
0.01470588,1.0,(22|33)
0.01461988,5.0,(21|23)
0.01442308,3.0,(21|25)
0.01438849,2.0,(17|26)
0.01436782,5.0,(41|27)
0.01428571,9.0,(16|26)
0.01418440,2.0,(23|25)
0.01408451,2.0,(24|6)
0.01388889,1.0,(25|36)
0.01376147,3.0,(41|20)
0.01374570,4.0,(47|17)
0.01357466,3.0,(27|32)
0.01333333,1.0,(17|19)
0.01333333,2.0,(24|39)
0.01293103,3.0,(21|31)
0.01293103,3.0,(46|26)
0.01282051,2.0,(28|35)
0.01265823,3.0,(21|27)
0.01250000,3.0,(43|11)
0.01242236,2.0,(6|27)
0.01242236,2.0,(20|31)
0.01207729,5.0,(17|27)
0.01204819,1.0,(49|38)
0.01169591,4.0,(47|7)
0.01162791,3.0,(39|21)
0.01161103,8.0,(20|24)
0.01136364,1.0,(24|30)
0.01123596,1.0,(9|33)
0.01117318,2.0,(45|23)
0.01098901,3.0,(5|11)
0.01098901,2.0,(45|21)
0.01094092,5.0,(23|23)
0.01063830,1.0,(15|28)
0.01058201,2.0,(39|13)
0.01052632,3.0,(18|28)
0.01020408,1.0,(4|45)
0.009852217,2.0,(27|34)
0.009852217,2.0,(47|15)
0.009803922,1.0,(14|27)
0.009803922,1.0,(19|30)
0.009708738,2.0,(23|26)
0.009501188,4.0,(17|24)
0.009345794,2.0,(9|8)
0.009345794,1.0,(24|24)
0.009259259,2.0,(29|28)
0.009132420,2.0,(30|34)
0.009009009,3.0,(28|27)
0.008928572,2.0,(19|31)
0.008849557,1.0,(22|49)
0.008849557,1.0,(44|23)
0.008810572,2.0,(28|26)
0.008547009,3.0,(40|18)
0.008474576,1.0,(24|19)
0.008403362,4.0,(46|24)
0.008368201,2.0,(36|15)
0.008333334,1.0,(26|43)
0.008264462,1.0,(6|12)
0.007968128,2.0,(21|30)
0.007843138,2.0,(0|9)
0.007827789,4.0,(20|26)
0.007812500,1.0,(40|28)
0.007518797,2.0,(23|24)
0.007490637,4.0,(19|27)
0.007380074,2.0,(40|29)
