Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 50 | Federal (jp:50,idx:0)
Class Probability,Ex Count at BMU,BMU Map Loc
0.002824859,1.0,(22|23)
0.002816901,1.0,(42|31)
0.002506266,1.0,(39|27)
0.002506266,1.0,(42|18)
0.002403846,1.0,(0|14)
0.002298851,1.0,(44|15)
0.002188184,1.0,(23|23)
0.001960784,1.0,(22|25)
0.001949318,1.0,(24|46)
0.001872659,1.0,(19|27)
0.001838235,1.0,(25|22)
0.001730104,1.0,(19|25)
