Product ID : 100 # of JPs covered : 1 : 54 : Property / Excise, 
OID,Confidence at Map Node,Error at Map Node
us_000473994,0.354373, 0.056474
us_000528535,0.354373, 0.056474
us_000515767,0.354373, 0.056474
us_000528653,0.354373, 0.056474
us_000495857,0.354373, 0.056474
us_000465573,0.354373, 0.056474
us_000479669,0.354373, 0.058423
us_000478943,0.354373, 0.058452
us_000482633,0.354373, 0.058452
us_000482726,0.354373, 0.058452
us_000479549,0.354373, 0.058452
us_000573788,0.354373, 0.058452
us_000487836,0.354373, 0.058452
us_000528916,0.354373, 0.058452
us_000464843,0.354373, 0.058452
us_000480439,0.354373, 0.058452
us_000500305,0.354373, 0.058452
us_000534145,0.354373, 0.058452
us_000481459,0.354373, 0.058452
us_000484383,0.354373, 0.058452
us_000459790,0.354373, 0.058452
us_000472194,0.354373, 0.058452
us_000514741,0.354373, 0.058452
us_000480726,0.354373, 0.058452
us_000517055,0.354373, 0.058452
us_000466388,0.354373, 0.058452
pr_000762829,0.354373, 0.058894
us_000527891,0.354373, 0.059545
us_000536850,0.354373, 0.060501
us_000533647,0.354373, 0.060546
us_000482239,0.354373, 0.060546
us_000459999,0.354373, 0.060546
us_000361809,0.354373, 0.060546
us_000535066,0.354373, 0.060546
us_000533465,0.354373, 0.060546
us_000210375,0.354373, 0.060546
us_000480395,0.354373, 0.060546
us_000500208,0.354373, 0.060546
us_000500153,0.354373, 0.060546
us_000528394,0.354373, 0.060546
us_000494701,0.354373, 0.060546
us_000501288,0.354373, 0.060546
us_000527162,0.354373, 0.060546
us_000535111,0.354373, 0.060546
us_000497702,0.354373, 0.060546
us_000467882,0.354373, 0.060546
us_000507363,0.354373, 0.060546
us_000484215,0.354373, 0.060546
us_000482904,0.354373, 0.060546
us_000566159,0.354373, 0.060546
us_000535110,0.354373, 0.060546
us_000529494,0.354373, 0.060546
us_000504596,0.354373, 0.060546
us_000528536,0.354373, 0.060546
us_000469045,0.354373, 0.061607
us_000500816,0.354373, 0.062756
us_000466920,0.354373, 0.062756
us_000503144,0.354373, 0.065083
us_000500304,0.354373, 0.066896
us_000473212,0.354373, 0.067526
us_000575203,0.354373, 0.067526
us_000479175,0.354373, 0.070086
us_000528680,0.354373, 0.070086
us_000478967,0.354373, 0.070086
us_000453635,0.354373, 0.070179
us_000535251,0.354373, 0.071017
us_000482617,0.354373, 0.078995
us_000472418,0.354373, 0.107496
us_000459744,0.354373, 0.121534
us_000482490,0.354373, 0.127158
pr_001126502,0.242534, 0.000001
pr_001888658,0.242534, 0.000015
us_000504779,0.242534, 0.000027
pr_001883200,0.242534, 0.000030
pr_000706521,0.242534, 0.000047
pr_000661768,0.242534, 0.000094
us_000484673,0.242534, 0.000166
pr_001781030,0.242534, 0.000319
us_000471559,0.242534, 0.000764
us_000479235,0.242534, 0.002708
us_000501311,0.242534, 0.006683
us_000478400,0.242534, 0.006896
us_000480336,0.242534, 0.009333
us_000500753,0.242534, 0.010183
us_000517018,0.242534, 0.030329
us_000509528,0.242534, 0.052747
us_000522643,0.242534, 0.066246
pr_002109529,0.176639, 0.000000
us_000592667,0.176639, 0.000003
us_000472136,0.176639, 0.223824
us_000465340,0.176639, 0.263253
us_000480879,0.176639, 0.265173
us_000508723,0.176639, 0.272877
us_000485410,0.176639, 0.275044
us_000504538,0.176639, 0.275980
us_000478715,0.176639, 0.278865
us_000473122,0.176639, 0.278865
us_000482750,0.176639, 0.281700
us_000553400,0.176639, 0.282839
us_000473460,0.176639, 0.288917
us_000431142,0.176639, 0.290621
us_000501210,0.176639, 0.292032
us_000478261,0.176639, 0.294141
us_000546293,0.176639, 0.297122
us_000485440,0.176639, 0.297395
us_000331233,0.176639, 0.299248
us_000475847,0.176639, 0.302973
us_000478903,0.176639, 0.305631
us_000473570,0.176639, 0.306737
us_000479523,0.176639, 0.308654
us_000504748,0.176639, 0.309678
us_000508791,0.176639, 0.311330
us_000025016,0.176639, 0.311829
us_000519924,0.176639, 0.311935
us_000497364,0.176639, 0.314322
us_000466935,0.176639, 0.315433
us_000533638,0.176639, 0.318637
us_000481707,0.176639, 0.319045
us_000469128,0.176639, 0.320432
us_000474542,0.176639, 0.320843
us_000547833,0.176639, 0.322995
us_000473725,0.176639, 0.333805
us_000522753,0.176639, 0.337413
us_000546285,0.176639, 0.337525
us_000533686,0.176639, 0.338122
us_000519314,0.176639, 0.338287
us_000508976,0.176639, 0.338287
us_000580567,0.176639, 0.340105
us_000495582,0.176639, 0.342806
us_000523720,0.176639, 0.343165
us_000485847,0.176639, 0.344837
us_000483644,0.176639, 0.346253
us_000459257,0.176639, 0.347110
us_000472775,0.176639, 0.347110
us_000516856,0.176639, 0.347738
us_000466545,0.176639, 0.348735
us_000436245,0.176639, 0.349926
us_000528053,0.176639, 0.351122
us_000573689,0.176639, 0.351259
us_000503096,0.176639, 0.351683
us_000441584,0.176639, 0.354262
us_000553337,0.176639, 0.354262
us_000510060,0.176639, 0.358611
us_000479413,0.176639, 0.359877
us_000485640,0.176639, 0.363274
us_000532947,0.176639, 0.363305
us_000474696,0.176639, 0.364029
us_000516603,0.176639, 0.365513
us_000374924,0.176639, 0.365620
us_000529546,0.176639, 0.367974
us_000484290,0.176639, 0.368307
us_000483530,0.176639, 0.368308
us_000532427,0.176639, 0.370338
us_000483848,0.176639, 0.370338
us_000544708,0.176639, 0.381161
us_000520831,0.176639, 0.498567
pr_001157717,0.128841, 0.000002
pr_000374444,0.128841, 0.000002
pr_001146750,0.128841, 0.000002
pr_000432074,0.128841, 0.000002
pr_001674948,0.128841, 0.000010
pr_000570867,0.128841, 0.000010
pr_001034734,0.128841, 0.000010
pr_000514412,0.128841, 0.000010
pr_000386832,0.128841, 0.000031
pr_001033640,0.128841, 0.000035
pr_000769868,0.128841, 0.000061
pr_001609114,0.128841, 0.000061
us_000504423,0.128841, 0.000566
us_000530948,0.128841, 0.002740
pr_001051018,0.128841, 0.002871
us_000531951,0.128841, 0.003031
us_000515735,0.128841, 0.003194
us_000535112,0.128841, 0.005979
pr_001034397,0.128841, 0.008101
pr_001035273,0.128841, 0.008101
us_000533689,0.128841, 0.008101
us_000535060,0.128841, 0.008101
us_000505524,0.128841, 0.008101
us_000523681,0.128841, 0.008101
us_000484387,0.128841, 0.008101
us_000529118,0.128841, 0.008101
us_000480873,0.128841, 0.008101
us_000535059,0.128841, 0.008101
us_000474110,0.128841, 0.009359
us_000501558,0.128841, 0.009359
us_000474082,0.128841, 0.009359
us_000522940,0.128841, 0.009359
us_000500983,0.128841, 0.009359
us_000474080,0.128841, 0.009359
us_000517051,0.128841, 0.009359
us_000522789,0.128841, 0.009359
us_000517053,0.128841, 0.009359
us_000499295,0.128841, 0.009640
us_000527858,0.128841, 0.010733
pr_000372280,0.128841, 0.010733
us_000523683,0.128841, 0.010733
us_000527786,0.128841, 0.010733
us_000499754,0.128841, 0.010733
us_000486978,0.128841, 0.010733
us_000479387,0.128841, 0.010733
us_000500292,0.128841, 0.010733
us_000534667,0.128841, 0.010733
us_000504474,0.128841, 0.010733
us_000479514,0.128841, 0.010733
pr_000764183,0.128841, 0.010733
pr_000628486,0.128841, 0.012224
us_000465665,0.128841, 0.012224
us_000505129,0.128841, 0.012224
us_000466946,0.128841, 0.012224
us_000465120,0.128841, 0.012224
us_000466940,0.128841, 0.012224
us_000487355,0.128841, 0.012224
us_000514721,0.128841, 0.012224
us_000533690,0.128841, 0.012224
us_000472915,0.128841, 0.012224
us_000511473,0.128841, 0.012648
us_000057972,0.128841, 0.013727
pr_000383646,0.128841, 0.013831
us_000500351,0.128841, 0.013831
us_000604951,0.128841, 0.013831
us_000505007,0.128841, 0.013831
pr_001006302,0.128841, 0.013831
us_000485345,0.128841, 0.013831
us_000478921,0.128841, 0.013831
us_000514760,0.128841, 0.013831
us_000548674,0.128841, 0.013831
