Product ID : 2104 # of JPs covered : 1 : 397 : RP Transactions-Proj-Dev, 
OID,Confidence at Map Node,Error at Map Node
us_000597698,0.784474, 0.385916
us_000595713,0.784474, 0.386830
us_000613963,0.784474, 0.388132
us_000542727,0.784474, 0.391910
us_000366831,0.784474, 0.392176
us_000545303,0.784474, 0.392847
us_000547591,0.784474, 0.393251
us_000517426,0.784474, 0.395761
us_000561346,0.784474, 0.396431
us_000546858,0.784474, 0.396864
us_000547010,0.784474, 0.397256
us_000601607,0.784474, 0.399065
us_000614058,0.784474, 0.400450
us_000589614,0.784474, 0.400515
us_000471341,0.784474, 0.400890
us_000601570,0.784474, 0.401106
us_000543473,0.784474, 0.401960
us_000614356,0.784474, 0.402138
us_000564483,0.784474, 0.402455
us_000593814,0.784474, 0.403797
us_000534725,0.784474, 0.404431
us_000616889,0.784474, 0.404773
us_000503956,0.784474, 0.405046
us_000558967,0.784474, 0.405486
us_000571486,0.784474, 0.405844
us_000579150,0.784474, 0.406522
us_000564391,0.784474, 0.406795
us_000573137,0.784474, 0.408332
us_000543485,0.784474, 0.408675
us_000614025,0.784474, 0.408806
us_000592282,0.784474, 0.410301
us_000614411,0.784474, 0.410480
us_000560750,0.784474, 0.410848
us_000562706,0.784474, 0.411237
us_000581979,0.784474, 0.411484
us_000583890,0.784474, 0.412096
us_000612914,0.784474, 0.412259
us_000598998,0.784474, 0.412259
us_000583330,0.784474, 0.412893
us_000592841,0.784474, 0.412893
us_000605009,0.784474, 0.413384
us_000560946,0.784474, 0.413481
us_000588009,0.784474, 0.413706
us_000542538,0.784474, 0.413793
us_000550515,0.784474, 0.414067
us_000604959,0.784474, 0.414139
us_000581794,0.784474, 0.414211
us_000592879,0.784474, 0.415891
us_000573272,0.784474, 0.416358
us_000561301,0.784474, 0.416415
us_000561435,0.784474, 0.417001
us_000474732,0.784474, 0.417118
us_000617378,0.784474, 0.417232
us_000560419,0.784474, 0.417469
us_000568537,0.784474, 0.417481
