Product ID : 7753 # of JPs covered : 1 : 303 : Health Business M&A, 
OID,Confidence at Map Node,Error at Map Node
us_000567950,0.018096,0.698947
us_000557110,0.018096,0.719661
us_000575771,0.018096,0.758566
us_000599231,0.018096,0.789548
us_000571495,0.018096,0.827392
us_000576103,0.018096,0.884912
pr_001415794,0.010181,0.000000
pr_000906292,0.010181,0.000000
pr_001411756,0.010181,0.000000
pr_001168370,0.010181,0.000000
pr_000184184,0.010181,0.000000
pr_000637018,0.010181,0.000000
pr_000631119,0.010181,0.000000
pr_001086048,0.010181,0.000000
pr_000182751,0.010181,0.000000
pr_000104312,0.010181,0.000000
us_000539039,0.010181,0.000000
pr_000104828,0.010181,0.000000
pr_000813477,0.010181,0.000000
pr_000590800,0.010181,0.000001
pr_001847483,0.010181,0.000002
pr_001765989,0.010181,0.000002
pr_000361534,0.010181,0.000002
pr_001954277,0.010181,0.000002
pr_000706557,0.010181,0.000002
pr_001712446,0.010181,0.000002
pr_000204742,0.010181,0.000002
pr_000593496,0.010181,0.000002
pr_001919982,0.010181,0.000002
pr_001713711,0.010181,0.000002
pr_001715244,0.010181,0.000002
pr_000715359,0.010181,0.000002
pr_002146338,0.010181,0.000002
pr_000976588,0.010181,0.000002
pr_001669894,0.010181,0.000002
pr_002060816,0.010181,0.000002
pr_001767842,0.010181,0.000002
pr_000603673,0.010181,0.000002
pr_001710751,0.010181,0.000002
pr_000657273,0.010181,0.000002
pr_002060815,0.010181,0.000002
pr_001737265,0.010181,0.000002
pr_001898625,0.010181,0.000002
pr_001021960,0.010181,0.000003
us_000525575,0.010181,0.000004
us_000586675,0.010181,0.000015
us_000546255,0.010181,0.000015
pr_000158703,0.010181,0.000021
pr_000859905,0.010181,0.000031
us_000517514,0.010181,0.000041
pr_000578157,0.010181,0.000045
pr_000741854,0.010181,0.000063
pr_000865015,0.010181,0.000063
us_000556605,0.010181,0.000070
pr_000783093,0.010181,0.000077
us_000532364,0.010181,0.000083
pr_000625190,0.010181,0.000131
pr_000589969,0.010181,0.000181
pr_000842856,0.010181,0.000199
pr_001642115,0.010181,0.000204
pr_000858648,0.010181,0.000298
pr_000998741,0.010181,0.000329
pr_000290582,0.010181,0.000330
us_000558590,0.010181,0.000333
pr_000937257,0.010181,0.000345
us_000557840,0.010181,0.000354
us_000559359,0.010181,0.000617
us_000544624,0.010181,0.000691
us_000467616,0.010181,0.000748
us_000495140,0.010181,0.000822
us_000591547,0.010181,0.001108
us_000599292,0.010181,0.001881
us_000581623,0.010181,0.002094
pr_000025654,0.010181,0.002621
us_000472733,0.010181,0.002723
us_000499464,0.010181,0.003443
us_000596488,0.010181,0.003576
us_000467475,0.010181,0.004354
us_000598696,0.010181,0.004444
pr_000636871,0.010181,0.004457
us_000589584,0.010181,0.004557
us_000543304,0.010181,0.004676
us_000607647,0.010181,0.004857
us_000602827,0.010181,0.005081
us_000472692,0.010181,0.005615
us_000577152,0.010181,0.006871
us_000578785,0.010181,0.007286
pr_001721604,0.010181,0.007320
us_000537313,0.010181,0.007589
pr_001851822,0.010181,0.007685
us_000557948,0.010181,0.009644
pr_000001513,0.010181,0.011378
us_000585732,0.010181,0.011923
us_000586249,0.010181,0.011923
us_000575514,0.010181,0.011991
us_000494187,0.010181,0.012896
us_000558160,0.010181,0.012980
us_000564254,0.010181,0.014827
us_000564280,0.010181,0.016964
us_000574500,0.010181,0.021223
us_000559773,0.010181,0.024200
us_000589383,0.010181,0.029581
us_000522097,0.010181,0.029943
us_000545999,0.010181,0.033610
us_000541216,0.010181,0.036068
us_000493692,0.010181,0.036167
us_000600954,0.010181,0.039235
us_000531808,0.010181,0.041445
us_000502559,0.010181,0.041457
us_000589582,0.010181,0.043995
us_000569273,0.010181,0.049808
us_000563376,0.010181,0.050587
us_000542842,0.010181,0.051476
us_000471268,0.010181,0.055643
us_000534970,0.010181,0.058020
us_000615594,0.010181,0.063148
us_000542214,0.010181,0.067265
us_000537460,0.010181,0.083594
us_000541095,0.010181,0.110605
us_000493359,0.010181,0.116097
us_000597115,0.010181,0.283326
us_000529014,0.010181,0.294550
us_000509349,0.010181,0.334513
us_000468608,0.010181,0.629853
us_000494302,0.010181,0.812151
