Product ID : 1009 # of JPs covered : 1 : 67 : Banking, 
OID,Confidence at Map Node,Error at Map Node
us_000475543,1.000000, 1.009996
us_000594968,1.000000, 1.010853
us_000459668,1.000000, 1.013195
us_000469126,1.000000, 1.015088
us_000235875,1.000000, 1.015088
us_000471116,1.000000, 1.015088
us_000495086,1.000000, 1.015088
us_000198659,1.000000, 1.015088
us_000471245,1.000000, 1.015088
us_000470923,1.000000, 1.015088
us_000461186,1.000000, 1.015088
us_000154887,1.000000, 1.015088
us_000265755,1.000000, 1.015088
us_000476268,1.000000, 1.015088
us_000267447,1.000000, 1.015088
us_000469293,1.000000, 1.015088
us_000469136,1.000000, 1.015088
us_000488157,1.000000, 1.015088
us_000470349,1.000000, 1.015088
us_000460131,1.000000, 1.015645
us_000569568,1.000000, 1.015655
us_000468199,1.000000, 1.015676
us_000577930,1.000000, 1.015689
us_000459303,1.000000, 1.015864
us_000440253,1.000000, 1.016190
us_000546950,1.000000, 1.017162
us_000469029,1.000000, 1.017966
us_000469042,1.000000, 1.017966
us_000475965,1.000000, 1.018106
us_000124537,1.000000, 1.018163
us_000469214,1.000000, 1.018234
us_000468107,1.000000, 1.018314
us_000460629,1.000000, 1.018404
us_000467888,1.000000, 1.018503
us_000470903,1.000000, 1.018737
us_000577395,1.000000, 1.018772
us_000459544,1.000000, 1.018960
us_000538999,1.000000, 1.019631
us_000590023,1.000000, 1.020435
us_000577598,1.000000, 1.020990
us_000296753,1.000000, 1.021352
us_000473705,1.000000, 1.021376
us_000090505,1.000000, 1.021543
us_000469260,1.000000, 1.022158
us_000188816,1.000000, 1.022314
us_000136986,1.000000, 1.022361
us_000486300,1.000000, 1.022830
us_000458528,1.000000, 1.023284
us_000460876,1.000000, 1.023284
us_000476450,1.000000, 1.023284
us_000470978,1.000000, 1.023284
us_000476390,1.000000, 1.023284
us_000476424,1.000000, 1.023284
us_000468990,1.000000, 1.023284
us_000460881,1.000000, 1.023284
us_000470692,1.000000, 1.023284
us_000459178,1.000000, 1.023284
us_000196482,1.000000, 1.023284
us_000067006,1.000000, 1.023284
us_000589084,1.000000, 1.023284
us_000475984,1.000000, 1.023284
us_000468326,1.000000, 1.023284
us_000468334,1.000000, 1.023284
us_000473145,1.000000, 1.023284
us_000079892,1.000000, 1.023284
us_000476391,1.000000, 1.023284
us_000488305,1.000000, 1.023284
us_000469262,1.000000, 1.023284
us_000474884,1.000000, 1.023284
us_000468954,1.000000, 1.023284
us_000471034,1.000000, 1.023284
us_000474655,1.000000, 1.023284
us_000395723,1.000000, 1.023284
us_000385550,1.000000, 1.023284
us_000471305,1.000000, 1.023284
us_000461742,1.000000, 1.023284
us_000466565,1.000000, 1.023284
us_000577417,1.000000, 1.023284
us_000459299,1.000000, 1.023284
us_000541955,1.000000, 1.023284
us_000459438,1.000000, 1.023284
us_000467900,1.000000, 1.023284
us_000476113,1.000000, 1.023284
us_000459944,1.000000, 1.023284
us_000202762,1.000000, 1.023284
us_000277728,1.000000, 1.023284
us_000290980,1.000000, 1.023284
us_000115350,1.000000, 1.023284
us_000469283,1.000000, 1.023284
us_000470789,1.000000, 1.023284
us_000469005,1.000000, 1.023284
us_000474996,1.000000, 1.023284
us_000126033,1.000000, 1.023284
us_000459942,1.000000, 1.023284
us_000470649,1.000000, 1.023284
us_000447167,1.000000, 1.023284
us_000470671,1.000000, 1.023284
us_000476414,1.000000, 1.023284
us_000459326,1.000000, 1.023284
us_000471453,1.000000, 1.023284
us_000460512,1.000000, 1.023284
us_000459576,1.000000, 1.023284
us_000488294,1.000000, 1.023284
us_000590174,1.000000, 1.023284
us_000476458,1.000000, 1.023284
us_000467617,1.000000, 1.023284
us_000466653,1.000000, 1.023868
us_000523931,1.000000, 1.024052
