Product ID : 935 # of JPs covered : 1 : 110 : International Law, 
OID,Confidence at Map Node,Error at Map Node
us_000462027,0.308467, 0.040957
us_000462018,0.308467, 0.040957
us_000518907,0.308467, 0.040957
us_000476123,0.308467, 0.040957
us_000347971,0.308467, 0.040957
us_000459573,0.308467, 0.040957
us_000346451,0.308467, 0.040957
us_000480806,0.308467, 0.040957
us_000469967,0.308467, 0.040957
us_000468871,0.308467, 0.040957
us_000460852,0.308467, 0.040957
us_000559451,0.308467, 0.040957
us_000468294,0.308467, 0.040957
us_000460930,0.308467, 0.040957
us_000461587,0.308467, 0.040957
us_000350896,0.308467, 0.040957
us_000468936,0.308467, 0.040957
us_000472766,0.308467, 0.040957
us_000474024,0.308467, 0.040957
us_000486079,0.308467, 0.040957
us_000485471,0.308467, 0.040957
us_000471756,0.308467, 0.040957
us_000471692,0.308467, 0.040957
us_000533678,0.308467, 0.040957
us_000470454,0.308467, 0.040957
us_000465442,0.308467, 0.040957
us_000545335,0.308467, 0.040957
us_000462001,0.308467, 0.040957
us_000535065,0.308467, 0.040957
us_000480834,0.308467, 0.040957
us_000459474,0.308467, 0.040957
us_000462969,0.308467, 0.041593
us_000473394,0.308467, 0.048764
us_000472873,0.308467, 0.050038
us_000461977,0.308467, 0.050038
us_000533422,0.308467, 0.052017
us_000518400,0.308467, 0.052017
us_000473551,0.308467, 0.052017
us_000468253,0.308467, 0.053722
us_000515986,0.308467, 0.054413
us_000462781,0.308467, 0.054524
us_000555660,0.308467, 0.066782
us_000469736,0.308467, 0.070139
us_000463487,0.308467, 0.071990
us_000474883,0.308467, 0.072318
us_000465268,0.308467, 0.117817
us_000473086,0.308467, 0.124929
us_000481325,0.308467, 0.127927
pr_000776006,0.229845, 0.000005
us_000488913,0.229845, 0.037316
us_000472547,0.229845, 0.039461
us_000475514,0.229845, 0.044809
us_000487170,0.229845, 0.050011
us_000315884,0.229845, 0.050074
us_000464848,0.229845, 0.052989
us_000468945,0.229845, 0.053377
us_000511483,0.229845, 0.067894
us_000503961,0.229845, 0.098515
us_000473398,0.229845, 0.142859
us_000480449,0.229845, 0.145754
us_000473767,0.217479, 0.027475
us_000473720,0.217479, 0.027475
us_000473668,0.217479, 0.027475
us_000002357,0.217479, 0.027475
us_000483621,0.217479, 0.027475
us_000471258,0.217479, 0.027475
us_000482771,0.217479, 0.027475
us_000556229,0.217479, 0.027475
us_000465838,0.217479, 0.027475
us_000469836,0.217479, 0.027475
us_000461492,0.217479, 0.027475
us_000480446,0.217479, 0.027475
us_000474912,0.217479, 0.027475
us_000483340,0.217479, 0.027475
us_000480670,0.217479, 0.027475
us_000463042,0.217479, 0.027475
us_000589075,0.217479, 0.027475
us_000220914,0.217479, 0.027475
us_000470538,0.217479, 0.027475
us_000476258,0.217479, 0.027475
us_000459925,0.217479, 0.027475
us_000475240,0.217479, 0.027475
us_000463556,0.217479, 0.027475
us_000468035,0.217479, 0.027475
us_000468056,0.217479, 0.027475
us_000467563,0.217479, 0.027475
us_000466688,0.217479, 0.027475
us_000465820,0.217479, 0.027475
us_000217194,0.217479, 0.027475
us_000536641,0.217479, 0.027475
us_000069470,0.217479, 0.027475
us_000464520,0.217479, 0.027475
us_000480275,0.217479, 0.027475
us_000487503,0.217479, 0.027475
us_000278135,0.217479, 0.027475
us_000539239,0.217479, 0.027475
us_000480527,0.217479, 0.027475
us_000474879,0.217479, 0.027475
us_000474814,0.217479, 0.027475
us_000483051,0.217479, 0.027475
us_000463563,0.217479, 0.027475
us_000538876,0.217479, 0.027475
us_000483390,0.217479, 0.027475
us_000469198,0.217479, 0.027475
us_000475180,0.217479, 0.027475
us_000539329,0.217479, 0.027475
us_000485294,0.217479, 0.027475
us_000539211,0.217479, 0.027475
us_000238984,0.217479, 0.027475
us_000471230,0.217479, 0.027475
us_000517885,0.217479, 0.027475
us_000502869,0.217479, 0.027475
us_000468983,0.217479, 0.027475
us_000480414,0.217479, 0.027475
us_000484555,0.217479, 0.027475
us_000480596,0.217479, 0.027475
us_000461443,0.217479, 0.027475
us_000487799,0.217479, 0.027475
us_000463468,0.217479, 0.027475
