Product ID : 7792 # of JPs covered : 1 : 216 : Accounting-Non-Profit, 
OID,Confidence at Map Node,Error at Map Node
us_000573791,0.999585,0.000006
pr_000703531,0.999585,0.000016
pr_000564643,0.999585,0.000088
pr_000491200,0.999585,0.000153
pr_000447089,0.999585,0.000168
us_000567811,0.999585,0.000230
us_000517710,0.999585,0.000291
us_000604027,0.999585,0.000308
us_000598521,0.999585,0.000855
us_000567916,0.999585,0.001279
us_000608540,0.999585,0.003053
us_000548747,0.999585,0.003813
us_000598743,0.999585,0.004508
pr_001128696,0.999585,0.262505
pr_001128996,0.999585,0.284266
pr_001126162,0.999585,0.296449
us_000573308,0.999585,0.379247
pr_001093155,0.981206,0.814689
us_000555182,0.981206,0.835131
us_000512242,0.981206,0.876812
us_000593532,0.981206,0.880510
us_000619301,0.981206,0.908267
us_000540044,0.981206,0.951432
us_000512178,0.981206,0.965320
pr_001089004,0.981206,0.972799
pr_001087700,0.981206,0.976821
pr_000556361,0.981206,0.986006
us_000580177,0.981206,0.992453
us_000521878,0.981206,0.994259
us_000575900,0.981206,0.999380
us_000535744,0.981206,1.003228
pr_001089068,0.981206,1.016395
us_000518313,0.981206,1.017618
us_000574387,0.981206,1.021165
us_000533393,0.981206,1.025033
us_000517868,0.981206,1.028299
pr_001087743,0.981206,1.030032
us_000534036,0.981206,1.032427
us_000539430,0.981206,1.035347
pr_001124485,0.981206,1.046965
pr_001093344,0.981206,1.046965
pr_001089687,0.981206,1.046965
pr_000654737,0.981206,1.049882
us_000583869,0.981206,1.052525
us_000588357,0.981206,1.066005
pr_001088962,0.981206,1.066996
us_000520391,0.981206,1.075201
us_000550848,0.981206,1.081972
us_000565656,0.981206,1.083134
us_000586130,0.981206,1.217187
us_000565160,0.981206,1.286212
us_000473619,0.981206,1.290221
us_000472622,0.981206,1.294403
us_000472736,0.981206,1.320656
us_000469646,0.981206,1.352207
us_000513854,0.981206,1.414385
us_000215448,0.979706,0.488176
pr_000865846,0.979706,0.613189
us_000464434,0.969607,0.316729
pr_001401058,0.969607,0.317313
pr_001128467,0.969607,0.317313
pr_000964432,0.969607,0.317313
pr_001128685,0.969607,0.317313
pr_001128564,0.969607,0.317313
pr_001041924,0.969607,0.317313
pr_001130829,0.969607,0.317313
pr_001126678,0.969607,0.317313
pr_001994390,0.969607,0.317313
pr_000934649,0.969607,0.317313
pr_001127155,0.969607,0.317313
pr_001680029,0.969607,0.317313
pr_001088187,0.969607,0.317313
pr_001129359,0.969607,0.317313
pr_000552662,0.969607,0.317313
pr_001130053,0.969607,0.317313
pr_001130292,0.969607,0.317313
pr_001126350,0.969607,0.317313
pr_001129814,0.969607,0.317313
pr_001128943,0.969607,0.317313
pr_001131119,0.969607,0.317313
pr_001126264,0.969607,0.317313
pr_000553631,0.969607,0.317313
pr_001129269,0.969607,0.317313
pr_001124546,0.969607,0.317313
pr_001127272,0.969607,0.317313
pr_001855063,0.969607,0.317313
pr_001130343,0.969607,0.317313
pr_001130477,0.969607,0.317313
pr_001128610,0.969607,0.317313
pr_001129378,0.969607,0.317313
pr_001128279,0.969607,0.317313
pr_001126584,0.969607,0.317313
pr_001131200,0.969607,0.317313
pr_001096878,0.969607,0.317313
pr_001587686,0.969607,0.317313
pr_001014159,0.969607,0.317313
pr_001128218,0.969607,0.317313
pr_001128533,0.969607,0.317313
pr_001854974,0.969607,0.317313
pr_001003844,0.969607,0.317313
pr_001127837,0.969607,0.317313
pr_001128274,0.969607,0.317313
pr_000979388,0.969607,0.317313
pr_001014452,0.969607,0.317313
pr_001130253,0.969607,0.317313
us_000613769,0.969607,0.320135
us_000612629,0.969607,0.321559
us_000603648,0.969607,0.322359
us_000603733,0.969607,0.322359
us_000618377,0.969607,0.322443
us_000617172,0.969607,0.323589
us_000617037,0.969607,0.323789
pr_000555845,0.969607,0.323824
us_000616671,0.969607,0.324559
us_000616124,0.969607,0.325641
us_000614555,0.969607,0.327030
us_000579935,0.969607,0.327110
us_000534733,0.969607,0.328430
us_000593520,0.969607,0.328854
us_000591937,0.969607,0.329445
us_000561218,0.969607,0.330099
us_000581731,0.969607,0.331994
us_000511593,0.969607,0.332246
