Product ID : 90 # of JPs covered : 1 : 215 : Accounting-Compilation & Review, 
OID,Confidence at Map Node,Error at Map Node
pr_000760449,0.391115, 0.085769
pr_000747989,0.391115, 0.086179
pr_000873890,0.391115, 0.086326
pr_000629768,0.391115, 0.086605
pr_000627487,0.391115, 0.087914
pr_000951786,0.391115, 0.088432
pr_000879745,0.391115, 0.089927
pr_000754123,0.391115, 0.090280
pr_000651385,0.391115, 0.090286
pr_001154497,0.391115, 0.090473
pr_001637865,0.391115, 0.090473
pr_000525990,0.391115, 0.090473
pr_001042438,0.391115, 0.091118
pr_001685491,0.391115, 0.091118
pr_000628045,0.391115, 0.091351
pr_000723737,0.391115, 0.091716
pr_000748505,0.391115, 0.091747
pr_001148237,0.391115, 0.091770
pr_000724197,0.391115, 0.091781
pr_001130379,0.391115, 0.092243
pr_000979375,0.391115, 0.092243
pr_000695291,0.391115, 0.092577
pr_000724345,0.391115, 0.092887
pr_000752721,0.391115, 0.092887
pr_000655620,0.391115, 0.093076
pr_000631028,0.391115, 0.093273
pr_000655454,0.391115, 0.094127
pr_001397872,0.391115, 0.094130
pr_000516997,0.391115, 0.094478
pr_000655299,0.391115, 0.095130
pr_001611946,0.391115, 0.095219
pr_001041241,0.391115, 0.095935
pr_000753479,0.391115, 0.095935
pr_000749409,0.391115, 0.095935
pr_000723680,0.391115, 0.095935
pr_000842244,0.391115, 0.095935
pr_000751676,0.391115, 0.095935
pr_000926172,0.391115, 0.096989
pr_001402748,0.391115, 0.096989
pr_000752540,0.391115, 0.096989
pr_000754101,0.391115, 0.096989
pr_001749728,0.391115, 0.096989
pr_000722632,0.391115, 0.096989
pr_001043145,0.391115, 0.096989
pr_000749884,0.391115, 0.096989
pr_000748955,0.391115, 0.096989
pr_001673733,0.391115, 0.096989
pr_000961880,0.391115, 0.096989
pr_000852421,0.391115, 0.096989
pr_000982339,0.391115, 0.096989
pr_001010359,0.391115, 0.096989
pr_000750626,0.391115, 0.097018
pr_000750756,0.391115, 0.097385
pr_000516613,0.391115, 0.098211
pr_000629280,0.391115, 0.098844
pr_000712747,0.391115, 0.099677
pr_000558022,0.391115, 0.101001
pr_000715574,0.391115, 0.101116
pr_000561694,0.391115, 0.101123
pr_000521615,0.391115, 0.101137
pr_000655197,0.391115, 0.101627
pr_000631767,0.391115, 0.104176
pr_000651147,0.391115, 0.104493
pr_000988486,0.391115, 0.104496
pr_000697254,0.391115, 0.104714
pr_000557834,0.391115, 0.105004
pr_000560635,0.391115, 0.105052
pr_001034711,0.391115, 0.105194
pr_000626824,0.391115, 0.105464
pr_001043055,0.391115, 0.106040
pr_001688514,0.391115, 0.106056
pr_000516531,0.391115, 0.106236
pr_000654842,0.391115, 0.107576
pr_000652387,0.391115, 0.108946
pr_000620864,0.391115, 0.109188
pr_000525906,0.391115, 0.109432
pr_000561473,0.391115, 0.109432
pr_000695289,0.391115, 0.109479
pr_000656080,0.391115, 0.109479
pr_000713020,0.391115, 0.109980
pr_000546444,0.391115, 0.110025
pr_001401847,0.391115, 0.110962
pr_000555055,0.391115, 0.110991
pr_000753234,0.391115, 0.111065
pr_000714532,0.391115, 0.111201
pr_000518345,0.391115, 0.111201
pr_000694802,0.391115, 0.111201
pr_000655948,0.391115, 0.111201
pr_000717402,0.391115, 0.111609
pr_001014239,0.391115, 0.111711
pr_001047432,0.391115, 0.112351
pr_000653206,0.391115, 0.114092
pr_000627045,0.391115, 0.114462
pr_000719243,0.391115, 0.116043
pr_000751646,0.391115, 0.117136
pr_000713951,0.391115, 0.117188
pr_000635911,0.391115, 0.117646
pr_000517797,0.391115, 0.117830
pr_000636338,0.391115, 0.118031
pr_000516631,0.391115, 0.118031
pr_000754740,0.391115, 0.118587
pr_001392647,0.391115, 0.118948
pr_001093115,0.391115, 0.120106
pr_000553102,0.391115, 0.121364
pr_000634749,0.391115, 0.122378
pr_000723574,0.391115, 0.122533
pr_000631038,0.391115, 0.123070
pr_000920177,0.391115, 0.123070
pr_000712929,0.391115, 0.123133
pr_000521491,0.391115, 0.123201
pr_001409385,0.391115, 0.123228
pr_000555659,0.391115, 0.123334
pr_000954797,0.391115, 0.123334
pr_000570717,0.391115, 0.123334
pr_001042207,0.391115, 0.123334
pr_000720859,0.391115, 0.123364
pr_000556854,0.391115, 0.124356
