Product ID : 896 # of JPs covered : 1 : 121 : Mergers Acquisitions & Divestitures, 
us_000542089,0.287410, 0.003305
us_000501803,0.287410, 0.003769
us_000614369,0.287410, 0.004512
us_000505246,0.287410, 0.006259
us_000499614,0.287410, 0.007320
us_000542579,0.287410, 0.009862
us_000483650,0.287410, 0.010035
us_000477095,0.287410, 0.010301
us_000566346,0.287410, 0.010845
us_000562589,0.287410, 0.015323
us_000475890,0.287410, 0.015475
us_000565017,0.287410, 0.017221
us_000582549,0.287410, 0.018585
us_000546377,0.287410, 0.021337
us_000575308,0.287410, 0.026354
us_000469801,0.287410, 0.030733
us_000538390,0.287410, 0.031518
us_000463636,0.287410, 0.034271
us_000587536,0.287410, 0.065471
us_000314503,0.287410, 0.127623
us_000529455,0.287410, 6.773587
us_000587547,0.287410, 8.514680
us_000534572,0.239495, 0.000000
us_000516149,0.239495, 0.000000
us_000539508,0.239495, 0.000000
us_000508884,0.239495, 0.000000
us_000492450,0.239495, 0.000000
us_000493872,0.239495, 0.000000
pr_002080674,0.239495, 0.000000
pr_001662580,0.239495, 0.000000
pr_001924575,0.239495, 0.000000
pr_001027650,0.239495, 0.000000
us_000478923,0.239495, 0.000000
us_000560731,0.239495, 0.000000
us_000528723,0.239495, 0.000000
us_000495469,0.239495, 0.000000
us_000535804,0.239495, 0.000000
us_000546890,0.239495, 0.000001
pr_001076612,0.239495, 0.000001
pr_000162877,0.239495, 0.000001
pr_000946800,0.239495, 0.000001
pr_000584044,0.239495, 0.000001
pr_000701602,0.239495, 0.000016
pr_001752271,0.239495, 0.000026
pr_000850946,0.239495, 0.000033
pr_001775012,0.239495, 0.000052
pr_000880109,0.239495, 0.000064
pr_001047926,0.239495, 0.000081
pr_000835333,0.239495, 0.000088
us_000498495,0.239495, 0.000262
pr_000975720,0.239495, 0.000269
us_000544112,0.239495, 0.000309
us_000453116,0.239495, 0.000842
us_000475064,0.239495, 0.000968
us_000487678,0.239495, 0.001397
us_000514940,0.239495, 0.001467
pr_000401350,0.239495, 0.001512
us_000460252,0.239495, 0.003781
us_000482306,0.239495, 0.004822
pr_001399156,0.239495, 0.005275
us_000494655,0.239495, 0.007612
us_000521885,0.239495, 0.009760
us_000335496,0.239495, 0.010994
us_000509438,0.239495, 0.018867
us_000386049,0.239495, 0.021989
us_000183256,0.239495, 0.062180
pr_000815375,0.122918, 0.000000
us_000222681,0.122918, 0.000001
us_000464555,0.122918, 0.000001
us_000459719,0.122918, 0.000001
us_000476950,0.122918, 0.000001
us_000550551,0.122918, 0.000001
us_000503609,0.122918, 0.000001
us_000118389,0.122918, 0.000001
us_000458996,0.122918, 0.000001
us_000483211,0.122918, 0.000001
us_000458557,0.122918, 0.000001
us_000564950,0.122918, 0.000001
us_000127683,0.122918, 0.000001
us_000485510,0.122918, 0.000001
us_000477716,0.122918, 0.000001
us_000498262,0.122918, 0.000001
us_000459865,0.122918, 0.000001
us_000472371,0.122918, 0.000001
us_000458766,0.122918, 0.000001
us_000478674,0.122918, 0.000001
us_000474761,0.122918, 0.000001
us_000488997,0.122918, 0.000001
us_000458685,0.122918, 0.000001
us_000474263,0.122918, 0.000001
us_000051293,0.122918, 0.000001
us_000493164,0.122918, 0.000001
us_000500533,0.122918, 0.000001
us_000259105,0.122918, 0.000001
us_000563890,0.122918, 0.000001
us_000506662,0.122918, 0.000001
us_000506035,0.122918, 0.000002
pr_000762444,0.122918, 0.000003
pr_000765291,0.122918, 0.000006
us_000555788,0.122918, 0.000014
us_000481970,0.122918, 0.000014
us_000492365,0.122918, 0.000014
us_000564083,0.122918, 0.000014
us_000533126,0.122918, 0.000015
us_000613819,0.122918, 0.000027
us_000452165,0.122918, 0.000030
pr_001875570,0.122918, 0.000037
us_000550195,0.122918, 0.000038
us_000591898,0.122918, 0.000060
pr_000290742,0.122918, 0.000121
us_000480138,0.122918, 0.000397
pr_002081041,0.122918, 0.000433
us_000562944,0.122918, 0.001115
us_000471675,0.122918, 0.001117
us_000493938,0.122918, 0.001642
us_000230803,0.122918, 0.002455
us_000481214,0.122918, 0.002467
us_000589824,0.122918, 0.003105
us_000590075,0.122918, 0.006217
us_000591738,0.122918, 0.008062
us_000528381,0.122918, 0.008178
us_000564004,0.122918, 0.011864
us_000581121,0.122918, 0.016336
us_000518874,0.122918, 0.017066
us_000529065,0.122918, 0.017811
us_000529401,0.122918, 0.019960
us_000563683,0.122918, 0.022533
us_000530869,0.122918, 0.031560
us_000512515,0.122918, 0.076988
us_000504308,0.122918, 0.096200
us_000458943,0.122918, 8.278928
