Product ID : 2111 # of JPs covered : 1 : 190 : Accounting-Valuation Services, 
OID,Confidence at Map Node,Error at Map Node
us_000514258,0.354199, 0.035011
us_000471532,0.354199, 0.039410
us_000458782,0.354199, 0.041154
us_000477343,0.354199, 0.041700
us_000531084,0.354199, 0.043434
us_000518525,0.354199, 0.044827
us_000591774,0.354199, 0.052131
us_000546081,0.354199, 0.061783
us_000522533,0.354199, 0.079595
us_000505551,0.354199, 0.081869
us_000558029,0.354199, 0.082999
us_000518510,0.354199, 0.095605
us_000504374,0.354199, 0.096783
us_000523871,0.354199, 0.126191
us_000575517,0.354199, 0.146070
us_000513223,0.354199, 0.171927
us_000507766,0.354199, 0.208763
us_000383825,0.354199, 0.231701
us_000510777,0.354199, 0.515994
pr_001684887,0.351804, 0.000000
pr_000434681,0.351804, 0.000000
pr_001684628,0.351804, 0.000000
pr_001679872,0.351804, 0.000000
pr_001061905,0.351804, 0.000000
pr_000922745,0.351804, 0.059032
pr_000636306,0.351804, 0.065061
pr_000520168,0.351804, 0.069382
pr_001143135,0.351804, 0.071343
pr_000775834,0.351804, 0.071343
pr_000864572,0.351804, 0.071343
pr_000922178,0.351804, 0.071343
pr_000633623,0.351804, 0.071343
pr_001153872,0.351804, 0.071343
pr_001013067,0.351804, 0.071998
pr_000526128,0.351804, 0.073565
pr_000526140,0.351804, 0.073565
pr_001042447,0.351804, 0.073678
pr_000526129,0.351804, 0.073678
pr_000526145,0.351804, 0.073678
pr_000526132,0.351804, 0.073678
pr_000526127,0.351804, 0.073678
pr_000526139,0.351804, 0.073678
pr_000568809,0.351804, 0.075286
pr_001041414,0.351804, 0.075719
pr_000724389,0.351804, 0.075719
pr_000555823,0.351804, 0.075719
pr_000713269,0.351804, 0.075719
pr_000559010,0.351804, 0.075719
pr_001008628,0.351804, 0.075719
pr_000630505,0.351804, 0.075719
pr_001060658,0.351804, 0.075719
pr_000657161,0.351804, 0.075719
pr_000890604,0.351804, 0.075719
pr_000634715,0.351804, 0.075719
pr_000634646,0.351804, 0.075719
pr_001042683,0.351804, 0.076557
pr_000640186,0.351804, 0.077803
pr_000393459,0.351804, 0.077835
pr_000926104,0.351804, 0.078191
pr_000879763,0.351804, 0.078196
pr_000656333,0.351804, 0.078272
pr_000901513,0.351804, 0.078272
pr_000632508,0.351804, 0.078272
