Product ID : 2127 JPs covered : 361 : LoanDoc-Syndicated Loans, 
OID,Confidence at Map Node,Error at Map Node
us_000598769,0.722489, 0.003353
us_000584434,0.722489, 0.004975
us_000501268,0.722489, 0.007158
us_000523697,0.722489, 0.016723
us_000580430,0.722489, 0.030038
us_000496334,0.722489, 0.048682
us_000468274,0.722489, 4.406743
us_000553362,0.722489, 4.538523
us_000523992,0.722489, 5.194504
us_000547588,0.722489, 5.391441
us_000539626,0.722489, 6.676672
us_000535163,0.722489, 6.939778
us_000460249,0.722489, 7.183022
us_000524201,0.722489, 7.585209
us_000553375,0.722489, 8.848219
pr_000416917,0.468754, 0.000000
pr_000021577,0.468754, 0.000000
pr_001399190,0.468754, 0.000000
us_000496920,0.468754, 0.000000
pr_000925767,0.468754, 0.000000
us_000519151,0.468754, 0.000000
us_000587231,0.468754, 0.000001
us_000539657,0.468754, 0.000001
us_000518123,0.468754, 0.000003
us_000533157,0.468754, 0.000003
us_000459542,0.468754, 0.000003
us_000463092,0.468754, 0.000003
us_000523737,0.468754, 0.000003
us_000518750,0.468754, 0.000003
us_000464976,0.468754, 0.000003
pr_000584329,0.468754, 0.000004
us_000466300,0.468754, 0.000029
us_000468411,0.468754, 0.000029
us_000458465,0.468754, 0.000029
us_000541963,0.468754, 0.000029
us_000466508,0.468754, 0.000029
us_000467681,0.468754, 0.000029
us_000458466,0.468754, 0.000029
us_000467675,0.468754, 0.000029
us_000466386,0.468754, 0.000029
us_000589005,0.468754, 0.000029
us_000471448,0.468754, 0.000029
us_000459232,0.468754, 0.000029
us_000462019,0.468754, 0.000029
us_000474048,0.468754, 0.000029
us_000461596,0.468754, 0.000029
us_000474939,0.468754, 0.000029
us_000466873,0.468754, 0.000029
us_000471024,0.468754, 0.000029
us_000469164,0.468754, 0.000029
us_000474850,0.468754, 0.000029
us_000467863,0.468754, 0.000029
us_000616636,0.468754, 0.000029
us_000584604,0.468754, 0.000029
us_000592397,0.468754, 0.000029
us_000592257,0.468754, 0.000029
us_000592544,0.468754, 0.000029
pr_001138256,0.468754, 0.000031
pr_001777089,0.468754, 0.000047
