Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
us_000574253,0.193026,No Mappings With Chosen Products
us_000514199,1.320874,No Mappings With Chosen Products
pr_001207740,0.000467,No Mappings With Chosen Products
pr_000817651,0.009204,No Mappings With Chosen Products
pr_000846614,0.006580,No Mappings With Chosen Products
pr_000221512,0.006646,No Mappings With Chosen Products
pr_000329908,0.005793,No Mappings With Chosen Products
us_000520785,0.024874,No Mappings With Chosen Products
pr_001740499,0.006580,No Mappings With Chosen Products
us_000479515,0.185824,No Mappings With Chosen Products
pr_001147800,0.078428,No Mappings With Chosen Products
pr_001395739,0.006580,No Mappings With Chosen Products
pr_001844944,0.006580,No Mappings With Chosen Products
pr_001618901,0.000216,No Mappings With Chosen Products
us_000579821,0.007171,No Mappings With Chosen Products
pr_001031080,0.008039,No Mappings With Chosen Products
pr_000995694,0.005793,No Mappings With Chosen Products
pr_000437294,0.007002,No Mappings With Chosen Products
pr_000322534,0.005651,No Mappings With Chosen Products
pr_001198842,0.002504,No Mappings With Chosen Products
pr_001222894,0.000467,No Mappings With Chosen Products
pr_001657944,0.007318,No Mappings With Chosen Products
pr_001039592,0.006625,No Mappings With Chosen Products
pr_000742456,0.006688,No Mappings With Chosen Products
pr_001236845,0.028603,No Mappings With Chosen Products
pr_001143934,0.006580,No Mappings With Chosen Products
pr_000805174,0.024177,No Mappings With Chosen Products
pr_001270628,0.002504,No Mappings With Chosen Products
pr_000201241,0.006580,No Mappings With Chosen Products
pr_001260035,0.000467,No Mappings With Chosen Products
pr_000887273,0.006580,No Mappings With Chosen Products
pr_001796159,0.006842,No Mappings With Chosen Products
pr_000455854,0.047700,No Mappings With Chosen Products
pr_000741495,0.006678,No Mappings With Chosen Products
us_000593800,1.041956,No Mappings With Chosen Products
pr_002219527,0.006646,No Mappings With Chosen Products
pr_001814518,0.010244,No Mappings With Chosen Products
pr_001106898,0.017679,No Mappings With Chosen Products
pr_001224042,0.000467,No Mappings With Chosen Products
pr_000783513,0.006675,No Mappings With Chosen Products
pr_000967791,0.008594,No Mappings With Chosen Products
pr_000196782,0.006735,No Mappings With Chosen Products
pr_001039544,0.006580,No Mappings With Chosen Products
pr_001796614,0.010138,No Mappings With Chosen Products
pr_001285569,0.000467,No Mappings With Chosen Products
us_000599981,0.208143,No Mappings With Chosen Products
pr_000537538,0.021154,No Mappings With Chosen Products
pr_000581081,0.006580,No Mappings With Chosen Products
us_000468959,0.009303,No Mappings With Chosen Products
pr_001052749,0.006462,No Mappings With Chosen Products
pr_001323462,0.000467,No Mappings With Chosen Products
us_000547687,0.007817,No Mappings With Chosen Products
us_000565951,0.007585,No Mappings With Chosen Products
pr_001264655,1.005413,No Mappings With Chosen Products
us_000608839,0.007359,No Mappings With Chosen Products
pr_000858197,0.008039,No Mappings With Chosen Products
pr_001012471,0.005793,No Mappings With Chosen Products
pr_001173527,0.005498,No Mappings With Chosen Products
pr_001773515,0.006580,No Mappings With Chosen Products
pr_001627295,0.005793,No Mappings With Chosen Products
pr_000608653,0.021554,No Mappings With Chosen Products
pr_001959411,0.007528,No Mappings With Chosen Products
pr_001483283,0.000467,No Mappings With Chosen Products
pr_000446124,0.006580,No Mappings With Chosen Products
pr_000357319,0.006580,No Mappings With Chosen Products
pr_001232558,0.000467,No Mappings With Chosen Products
pr_001243296,1.062636,No Mappings With Chosen Products
pr_000953651,0.006731,No Mappings With Chosen Products
pr_001769182,0.006581,No Mappings With Chosen Products
pr_001215378,0.000467,No Mappings With Chosen Products
pr_001774685,0.006669,No Mappings With Chosen Products
pr_001290071,0.000467,No Mappings With Chosen Products
pr_000842947,0.018801,No Mappings With Chosen Products
pr_001226477,0.000467,No Mappings With Chosen Products
pr_001985721,0.001026,No Mappings With Chosen Products
pr_000081356,0.030367,No Mappings With Chosen Products
pr_001589252,0.017679,No Mappings With Chosen Products
pr_001218153,0.000103,No Mappings With Chosen Products
us_000505331,0.349433,No Mappings With Chosen Products
pr_000735409,0.007198,No Mappings With Chosen Products
us_000543623,0.008416,No Mappings With Chosen Products
pr_001190468,0.000467,No Mappings With Chosen Products
pr_000177623,0.005651,No Mappings With Chosen Products
pr_001250502,0.000467,No Mappings With Chosen Products
pr_001264285,1.009913,No Mappings With Chosen Products
pr_001078375,0.006673,No Mappings With Chosen Products
us_000564150,0.317915,No Mappings With Chosen Products
us_000551211,0.022769,No Mappings With Chosen Products
pr_000640011,0.039583,No Mappings With Chosen Products
pr_000946784,0.024623,No Mappings With Chosen Products
pr_001301772,0.000467,No Mappings With Chosen Products
pr_000543257,0.006580,No Mappings With Chosen Products
pr_001493348,0.002535,No Mappings With Chosen Products
pr_000886765,0.000467,No Mappings With Chosen Products
pr_001564285,0.000078,No Mappings With Chosen Products
pr_000249615,0.006731,No Mappings With Chosen Products
us_000571211,0.006977,No Mappings With Chosen Products
pr_001383834,0.000529,No Mappings With Chosen Products
us_000553050,0.642427,No Mappings With Chosen Products
us_000549096,0.041975,No Mappings With Chosen Products
pr_001095615,0.006580,No Mappings With Chosen Products
pr_001249103,1.006519,No Mappings With Chosen Products
pr_000991885,1.015341,No Mappings With Chosen Products
pr_000920894,0.006506,No Mappings With Chosen Products
pr_001009540,0.006580,No Mappings With Chosen Products
pr_000787267,0.006580,No Mappings With Chosen Products
us_000576988,0.006621,No Mappings With Chosen Products
us_000608544,0.156055,No Mappings With Chosen Products
pr_001813967,0.006580,No Mappings With Chosen Products
us_000542872,0.001673,No Mappings With Chosen Products
pr_002028441,0.006655,No Mappings With Chosen Products
us_000541755,0.046407,No Mappings With Chosen Products
pr_001641367,0.006580,No Mappings With Chosen Products
pr_001884575,0.113166,No Mappings With Chosen Products
pr_000894047,0.021301,No Mappings With Chosen Products
pr_000724137,0.019395,No Mappings With Chosen Products
pr_001040988,0.000595,No Mappings With Chosen Products
pr_001401336,0.006651,No Mappings With Chosen Products
us_000583198,0.147569,No Mappings With Chosen Products
pr_001448741,0.000467,No Mappings With Chosen Products
pr_000631400,0.021554,No Mappings With Chosen Products
pr_001402435,0.008373,No Mappings With Chosen Products
pr_001339186,0.000467,No Mappings With Chosen Products
pr_001384507,0.000467,No Mappings With Chosen Products
pr_001808919,0.006580,No Mappings With Chosen Products
pr_000729531,0.006580,No Mappings With Chosen Products
pr_000822094,0.008276,No Mappings With Chosen Products
pr_000936622,0.006462,No Mappings With Chosen Products
pr_001736478,0.021641,No Mappings With Chosen Products
pr_000005941,0.006580,No Mappings With Chosen Products
pr_001212793,1.005236,No Mappings With Chosen Products
pr_001407292,0.006581,No Mappings With Chosen Products
pr_000435892,0.010079,No Mappings With Chosen Products
pr_001566856,0.000267,No Mappings With Chosen Products
us_000601628,0.713104,No Mappings With Chosen Products
us_000516327,0.050932,No Mappings With Chosen Products
us_000267075,0.008859,No Mappings With Chosen Products
pr_001216320,0.000467,No Mappings With Chosen Products
us_000494943,0.358432,No Mappings With Chosen Products
pr_000550005,0.013242,No Mappings With Chosen Products
pr_000746980,0.006580,No Mappings With Chosen Products
pr_001659389,0.006580,No Mappings With Chosen Products
pr_000214700,0.005793,No Mappings With Chosen Products
pr_000125738,0.008996,No Mappings With Chosen Products
pr_001190682,0.000467,No Mappings With Chosen Products
pr_001231031,1.006726,No Mappings With Chosen Products
us_000519164,0.009971,No Mappings With Chosen Products
us_000510990,0.009993,No Mappings With Chosen Products
us_000598016,0.009339,No Mappings With Chosen Products
pr_001794112,0.032365,No Mappings With Chosen Products
pr_001570984,1.007469,No Mappings With Chosen Products
us_000601241,0.029917,No Mappings With Chosen Products
pr_000920462,0.006580,No Mappings With Chosen Products
pr_002115154,0.007242,No Mappings With Chosen Products
us_000519105,0.058872,No Mappings With Chosen Products
pr_000980749,0.005803,No Mappings With Chosen Products
pr_001052544,0.006580,No Mappings With Chosen Products
pr_001140329,0.006357,No Mappings With Chosen Products
pr_001537603,0.001518,No Mappings With Chosen Products
pr_001839662,0.006580,No Mappings With Chosen Products
pr_000559680,0.006990,No Mappings With Chosen Products
pr_001668476,0.057015,No Mappings With Chosen Products
pr_000825070,0.006720,No Mappings With Chosen Products
us_000531793,0.273167,No Mappings With Chosen Products
pr_001637912,0.005793,No Mappings With Chosen Products
pr_001049478,0.006804,No Mappings With Chosen Products
pr_001135253,0.006588,No Mappings With Chosen Products
pr_002203521,0.005793,No Mappings With Chosen Products
pr_001859607,0.007135,No Mappings With Chosen Products
us_000482102,0.152468,No Mappings With Chosen Products
pr_000337291,0.002484,No Mappings With Chosen Products
pr_000949268,0.005950,No Mappings With Chosen Products
pr_001938905,0.006800,No Mappings With Chosen Products
pr_001301826,1.009825,No Mappings With Chosen Products
us_000555029,1.364719,No Mappings With Chosen Products
us_000573254,0.007229,No Mappings With Chosen Products
us_000564231,0.007140,No Mappings With Chosen Products
pr_001019463,0.025653,No Mappings With Chosen Products
pr_001168891,1.005236,No Mappings With Chosen Products
pr_000917955,0.006580,No Mappings With Chosen Products
pr_001230097,1.004961,No Mappings With Chosen Products
pr_001221546,0.000467,No Mappings With Chosen Products
pr_001144947,0.012411,No Mappings With Chosen Products
us_000553954,0.007351,No Mappings With Chosen Products
pr_001021167,0.048896,No Mappings With Chosen Products
pr_000751210,0.006679,No Mappings With Chosen Products
pr_000372419,0.082410,No Mappings With Chosen Products
us_000567004,0.065972,No Mappings With Chosen Products
pr_001352776,0.000467,No Mappings With Chosen Products
pr_001204220,0.025845,No Mappings With Chosen Products
us_000560884,0.005388,No Mappings With Chosen Products
pr_000316595,0.006580,No Mappings With Chosen Products
us_000553828,0.033437,No Mappings With Chosen Products
us_000542271,0.093301,No Mappings With Chosen Products
pr_000765711,0.006580,No Mappings With Chosen Products
pr_000425441,0.006655,No Mappings With Chosen Products
pr_001392855,0.005793,No Mappings With Chosen Products
pr_002052917,0.006585,No Mappings With Chosen Products
pr_001326627,0.000960,No Mappings With Chosen Products
us_000561208,0.008981,No Mappings With Chosen Products
us_000481497,1.321232,No Mappings With Chosen Products
pr_001187883,1.005236,No Mappings With Chosen Products
pr_000886088,0.005803,No Mappings With Chosen Products
us_000573998,0.045817,No Mappings With Chosen Products
pr_001225153,0.000467,No Mappings With Chosen Products
us_000258210,0.103733,No Mappings With Chosen Products
pr_001248943,0.001484,No Mappings With Chosen Products
pr_001276322,0.000467,No Mappings With Chosen Products
us_000575685,0.006580,No Mappings With Chosen Products
pr_000077703,0.008447,No Mappings With Chosen Products
us_000460021,0.067348,No Mappings With Chosen Products
pr_001389572,0.006580,No Mappings With Chosen Products
pr_000980414,0.007654,No Mappings With Chosen Products
pr_000946099,0.006462,No Mappings With Chosen Products
pr_001332623,0.000467,No Mappings With Chosen Products
pr_000102898,0.006801,No Mappings With Chosen Products
pr_001233781,0.000467,No Mappings With Chosen Products
pr_001338006,1.008734,No Mappings With Chosen Products
pr_001124278,0.011702,No Mappings With Chosen Products
us_000539253,0.583564,No Mappings With Chosen Products
pr_001364134,0.000467,No Mappings With Chosen Products
us_000542985,0.016190,No Mappings With Chosen Products
pr_001939988,0.111236,No Mappings With Chosen Products
pr_000254852,0.007151,No Mappings With Chosen Products
pr_001276143,0.029573,No Mappings With Chosen Products
pr_000024417,0.005793,No Mappings With Chosen Products
pr_001322504,1.010755,No Mappings With Chosen Products
us_000541550,0.035298,No Mappings With Chosen Products
pr_000325786,0.006580,No Mappings With Chosen Products
pr_000560593,0.007538,No Mappings With Chosen Products
pr_000704371,0.006580,No Mappings With Chosen Products
us_000485659,0.019294,No Mappings With Chosen Products
pr_000082056,0.007017,No Mappings With Chosen Products
pr_000873796,0.057015,No Mappings With Chosen Products
us_000522383,0.007194,No Mappings With Chosen Products
pr_001074154,0.036234,No Mappings With Chosen Products
pr_001571330,0.000078,No Mappings With Chosen Products
us_000465777,0.012408,No Mappings With Chosen Products
us_000537250,0.008342,No Mappings With Chosen Products
pr_001353568,0.000467,No Mappings With Chosen Products
pr_001051054,0.000539,No Mappings With Chosen Products
pr_000629621,0.007224,No Mappings With Chosen Products
pr_000231902,0.007250,No Mappings With Chosen Products
pr_000326929,0.006580,No Mappings With Chosen Products
us_000520500,0.018339,No Mappings With Chosen Products
pr_001371308,0.000467,No Mappings With Chosen Products
pr_002164262,0.015758,No Mappings With Chosen Products
pr_001300573,0.000470,No Mappings With Chosen Products
pr_001224121,0.000467,No Mappings With Chosen Products
us_000567900,0.020421,No Mappings With Chosen Products
pr_001488019,0.001450,No Mappings With Chosen Products
pr_001216484,0.000467,No Mappings With Chosen Products
pr_001321459,0.002504,No Mappings With Chosen Products
pr_001035169,0.010081,No Mappings With Chosen Products
pr_001385683,0.000467,No Mappings With Chosen Products
pr_000691673,0.006407,No Mappings With Chosen Products
pr_000025777,0.035856,No Mappings With Chosen Products
pr_001631473,0.005793,No Mappings With Chosen Products
pr_001808363,0.006854,No Mappings With Chosen Products
pr_001551093,0.000467,No Mappings With Chosen Products
pr_001089497,0.008267,No Mappings With Chosen Products
us_000572364,0.008917,No Mappings With Chosen Products
pr_001253975,0.000467,No Mappings With Chosen Products
us_000566243,0.519141,No Mappings With Chosen Products
us_000595645,0.007249,No Mappings With Chosen Products
us_000528511,0.289858,No Mappings With Chosen Products
us_000615756,0.033980,No Mappings With Chosen Products
pr_001385761,0.025845,No Mappings With Chosen Products
us_000554732,0.151029,No Mappings With Chosen Products
us_000535147,0.006981,No Mappings With Chosen Products
pr_001871747,0.006966,No Mappings With Chosen Products
pr_000543943,0.006580,No Mappings With Chosen Products
us_000604171,0.018240,No Mappings With Chosen Products
pr_001597172,0.006580,No Mappings With Chosen Products
pr_000921572,0.019494,No Mappings With Chosen Products
pr_001250560,0.000467,No Mappings With Chosen Products
us_000557139,0.377904,No Mappings With Chosen Products
pr_002097733,0.007547,No Mappings With Chosen Products
us_000543928,0.194776,No Mappings With Chosen Products
