Prospect OID,Prospect BMU Dist,Product OID, Product Confidence,...
pr_001151115,0.051401,2091:0.058780,
pr_002143367,0.136046,932:0.522655,
pr_000564495,0.066935,895:0.144696,
us_000595102,0.361558,2093:0.884422,
us_000555866,0.724847,2064:0.985936,
us_000489682,0.535483,949:0.750042,2148:0.267306,
us_000480836,0.602049,2091:0.159179,972:0.124320,
us_000418484,0.693460,951:1.000000,966:0.280084,
pr_000722025,0.134553,90:0.391115,
us_000219480,0.323242,982:0.967693,
pr_001131064,0.243510,2064:0.581005,
us_000503834,0.204667,2142:0.587825,
us_000465734,0.072914,983:0.234137,
us_000554061,0.467893,215:0.202196,
us_000493266,0.174324,897:0.705032,
us_000561691,0.724847,2064:0.985936,
pr_001061062,0.054125,2093:0.193038,
us_000508525,0.682069,2064:0.985936,
us_000481540,0.263961,2129:0.458946,2107:0.352606,215:0.105130,
us_000564519,0.063874,2067:0.046550,
us_000481177,0.154870,997:0.380150,
us_000511573,1.627875,2085:0.501091,
pr_000405115,0.249780,1005:0.642199,
us_000543962,0.110729,890:0.062506,
us_000584479,0.170344,993:0.437233,2064:0.063365,
us_000477480,0.131438,890:0.062506,
us_000541140,0.608665,2067:0.798660,
us_000494802,0.035175,2126:0.238516,
us_000489529,0.393216,2096:0.148030,
us_000474632,0.968684,2088:1.000000,918:0.638325,966:0.432625,
us_000522717,0.164051,997:0.080627,
pr_000710135,0.536659,2102:1.000000,
us_000525349,0.090965,2067:0.025359,
pr_001130335,0.245379,2064:0.581005,
us_000460390,0.072914,983:0.234137,
us_000544362,0.460160,983:0.099726,
us_000589503,0.200127,983:1.000000,
pr_000560681,0.071019,972:0.173006,
us_000600522,0.190949,215:0.193482,
pr_000567386,0.051401,2091:0.058780,
us_000524355,0.171137,918:0.188585,966:0.115193,
us_000562017,0.271497,918:0.188585,966:0.115193,
us_000608468,2.065517,915:0.160288,
pr_002106822,0.136046,932:0.522655,
us_000504013,0.203945,2146:0.366215,972:0.147058,
us_000523772,2.355349,966:0.453802,2149:0.289999,
us_000479465,2.484411,2096:0.991259,2082:0.976902,893:0.235698,968:0.188976,
pr_001130461,0.247257,2064:0.581005,
us_000481366,0.751359,2067:0.555578,
us_000529723,0.371863,2064:0.611467,993:0.547280,
pr_000626558,0.068040,972:0.173006,
us_000481226,0.700564,2067:0.047202,
us_000580436,1.901520,2093:0.956947,
