Product ID : 990 JPs covered : 50 : Federal, 
OID,Confidence at Map Node,Error at Map Node
pr_000398869,0.267899, 0.000009
pr_000401248,0.267899, 0.000010
pr_000400938,0.267899, 0.000010
pr_000788178,0.267899, 0.000012
pr_001843350,0.267899, 0.000012
pr_000774816,0.267899, 0.000012
pr_000820288,0.267899, 0.000012
pr_001114228,0.267899, 0.000012
pr_001767994,0.267899, 0.000012
pr_000850666,0.267899, 0.000022
pr_000885433,0.267899, 0.000022
pr_000779861,0.267899, 0.000025
us_000469081,0.267899, 0.000038
pr_000268369,0.267899, 0.000089
pr_000397943,0.267899, 0.000089
pr_000268758,0.267899, 0.000089
pr_001766721,0.267899, 0.000115
pr_000399329,0.267899, 0.000202
us_000560387,0.267899, 0.000274
pr_000377555,0.267899, 0.000413
us_000503281,0.267899, 0.000519
pr_000244902,0.267899, 0.000703
pr_001835565,0.267899, 0.000736
us_000548622,0.267899, 0.001049
pr_000161918,0.267899, 0.001079
pr_000590346,0.267899, 0.001485
pr_000767638,0.267899, 0.001485
us_000470377,0.267899, 0.001688
pr_000969843,0.267899, 0.002138
us_000533204,0.267899, 0.002189
us_000559878,0.267899, 0.002240
pr_001082201,0.267899, 0.005282
pr_001143112,0.267899, 0.006874
pr_002097464,0.267899, 0.007420
us_000594820,0.267899, 0.015908
us_000506999,0.267899, 0.182204
