Product ID : 2102 # of JPs covered : 1 : 63 : Law Firm Management, 
OID,Confidence at Map Node,Error at Map Node
pr_000785880,1.000000, 0.573534
pr_000757984,1.000000, 0.573534
pr_000954304,1.000000, 0.573534
pr_000952131,1.000000, 0.573534
pr_000947137,1.000000, 0.573534
pr_000951074,1.000000, 0.573534
pr_000935799,1.000000, 0.573534
pr_001119635,1.000000, 0.573534
pr_000950498,1.000000, 0.573534
pr_000902802,1.000000, 0.573534
pr_001059123,1.000000, 0.573534
pr_000945962,1.000000, 0.573534
pr_000659843,1.000000, 0.573534
pr_000957532,1.000000, 0.573534
pr_000757642,1.000000, 0.573534
pr_001013411,1.000000, 0.573534
pr_000871664,1.000000, 0.573534
pr_000827058,1.000000, 0.573534
pr_000958710,1.000000, 0.573534
pr_001101372,1.000000, 0.583854
pr_000814096,1.000000, 0.584948
pr_000825115,1.000000, 0.584948
us_000494381,0.427167, 0.000000
pr_001706196,0.427167, 0.000000
pr_001927460,0.427167, 0.000000
pr_002132274,0.427167, 0.000000
pr_002131458,0.427167, 0.000000
pr_001709752,0.427167, 0.000000
pr_001899285,0.427167, 0.000000
pr_001936643,0.427167, 0.000000
pr_002191686,0.427167, 0.000000
pr_002132215,0.427167, 0.000000
pr_001588193,0.427167, 0.000000
pr_002150272,0.427167, 0.000000
pr_001946208,0.427167, 0.000000
pr_001699249,0.427167, 0.000000
pr_001167280,0.427167, 0.000000
pr_001667177,0.427167, 0.000000
pr_001392368,0.427167, 0.000000
pr_001645442,0.427167, 0.000000
pr_002099914,0.427167, 0.000000
pr_001655065,0.427167, 0.000000
pr_001609000,0.427167, 0.000000
pr_001960116,0.427167, 0.000000
pr_001118111,0.427167, 0.000000
pr_002118944,0.427167, 0.000000
pr_002191489,0.427167, 0.000000
pr_002176864,0.427167, 0.000000
pr_001964104,0.427167, 0.000000
pr_001140697,0.427167, 0.000000
pr_001672393,0.427167, 0.000000
pr_001975796,0.427167, 0.000000
pr_001900476,0.427167, 0.000000
pr_000000210,0.427167, 0.000000
pr_001057949,0.427167, 0.000001
pr_000989938,0.427167, 0.000001
pr_000933920,0.427167, 0.000003
