Product ID : 2084 JPs covered : 292 : Healthcare Compliance, 
OID,Confidence at Map Node,Error at Map Node
us_000484540,0.455295, 0.231448
us_000573510,0.455295, 0.231839
us_000515657,0.455295, 0.231840
pr_000187296,0.455295, 0.232222
us_000499174,0.455295, 0.232728
us_000497660,0.455295, 0.232728
us_000524589,0.455295, 0.233791
us_000472253,0.455295, 0.234667
us_000512299,0.455295, 0.236296
us_000053234,0.455295, 0.238561
us_000496176,0.455295, 0.238645
us_000482969,0.455295, 0.239504
us_000493128,0.455295, 0.240413
us_000528088,0.455295, 0.240966
us_000582210,0.455295, 0.241963
us_000537021,0.455295, 0.242208
us_000568064,0.455295, 0.242320
us_000511324,0.455295, 0.242504
us_000492667,0.455295, 0.243114
us_000052276,0.455295, 0.243766
us_000340357,0.455295, 0.244071
us_000468413,0.455295, 0.244707
us_000469500,0.455295, 0.245929
us_000550532,0.455295, 0.246394
us_000461428,0.455295, 0.246881
us_000531851,0.455295, 0.247550
us_000492897,0.455295, 0.247921
us_000573623,0.455295, 0.247997
us_000517215,0.455295, 0.248121
us_000485527,0.455295, 0.248220
us_000496876,0.455295, 0.248797
us_000555023,0.455295, 0.249168
us_000471330,0.455295, 0.249588
us_000510633,0.455295, 0.249911
us_000487113,0.455295, 0.250552
us_000484031,0.455295, 0.250919
us_000516079,0.455295, 0.251793
us_000535938,0.455295, 0.252372
us_000511690,0.455295, 0.252400
us_000509805,0.455295, 0.252508
us_000512069,0.455295, 0.252670
us_000503231,0.455295, 0.253125
us_000471454,0.455295, 0.253475
us_000551610,0.455295, 0.253679
us_000508828,0.455295, 0.255731
us_000488620,0.455295, 0.256052
us_000540693,0.455295, 0.256124
us_000508753,0.455295, 0.256709
us_000532999,0.455295, 0.256709
us_000533036,0.455295, 0.257035
us_000524725,0.455295, 0.257357
us_000550614,0.455295, 0.259321
us_000542024,0.455295, 0.259321
us_000501625,0.455295, 0.260288
us_000482282,0.455295, 0.260288
us_000513231,0.455295, 0.260290
us_000503222,0.455295, 0.260840
us_000515889,0.455295, 0.261399
us_000487696,0.455295, 0.261440
us_000508781,0.455295, 0.261967
us_000573520,0.455295, 0.262532
us_000515880,0.455295, 0.262899
us_000508659,0.455295, 0.265528
us_000557006,0.455295, 0.265528
us_000464855,0.455295, 0.267821
us_000387889,0.455295, 0.268626
us_000051292,0.455295, 0.272405
us_000514182,0.455295, 0.273531
us_000459742,0.455295, 0.274448
us_000481927,0.455295, 0.277285
us_000533034,0.455295, 0.277542
us_000573534,0.455295, 0.278935
us_000515896,0.455295, 0.289431
us_000535927,0.455295, 0.290329
us_000502507,0.455295, 0.346445
us_000492581,0.455295, 0.349800
us_000275796,0.455295, 0.353792
us_000556401,0.455295, 0.397290
us_000232242,0.455295, 0.441727
us_000469503,0.455295, 0.445219
us_000051593,0.455295, 0.603455
us_000541809,0.455295, 0.627269
us_000489443,0.455295, 0.652376
us_000464259,0.455295, 0.870478
