Product ID : 2091 JPs covered : 58 : State Income, 
OID,Confidence at Map Node,Error at Map Node
us_000466077,0.936414, 0.610133
us_000505217,0.936414, 0.610371
us_000194238,0.936414, 0.611139
us_000241352,0.936414, 0.611139
us_000520388,0.936414, 0.611864
us_000480696,0.936414, 0.612039
us_000462254,0.936414, 0.612039
us_000005046,0.936414, 0.612538
us_000467451,0.936414, 0.613514
us_000476052,0.936414, 0.613514
us_000484636,0.936414, 0.614282
us_000532145,0.936414, 0.614500
us_000500911,0.936414, 0.615661
us_000526765,0.936414, 0.615661
us_000517335,0.936414, 0.615661
us_000487774,0.936414, 0.615661
us_000526813,0.936414, 0.617721
us_000501604,0.936414, 0.618797
us_000481170,0.936414, 0.618797
us_000485710,0.936414, 0.618797
us_000470539,0.936414, 0.621270
us_000289654,0.936414, 0.621270
us_000561275,0.936414, 0.621344
us_000502278,0.936414, 0.621940
us_000465776,0.936414, 0.621940
us_000461763,0.936414, 0.621940
us_000476011,0.936414, 0.621940
us_000467363,0.936414, 0.621940
us_000480673,0.936414, 0.621940
us_000600997,0.936414, 0.621940
us_000286796,0.936414, 0.621940
us_000484618,0.936414, 0.621940
us_000485588,0.936414, 0.621940
us_000469723,0.936414, 0.621940
us_000458764,0.936414, 0.621940
us_000468739,0.936414, 0.621940
us_000532463,0.936414, 0.622158
us_000504508,0.936414, 0.623445
us_000556192,0.936414, 0.623814
us_000462639,0.936414, 0.624585
us_000462625,0.936414, 0.624695
us_000458745,0.936414, 0.626250
us_000532597,0.936414, 0.630126
us_000517510,0.936414, 0.631420
us_000517580,0.936414, 0.631420
us_000470947,0.936414, 0.631420
us_000511711,0.936414, 0.631420
us_000586294,0.936414, 0.631866
us_000609022,0.936414, 0.632081
us_000517553,0.936414, 0.633294
us_000499700,0.936414, 0.634596
us_000499707,0.936414, 0.634596
us_000458622,0.936414, 0.634596
us_000499679,0.936414, 0.634596
us_000499676,0.936414, 0.634814
us_000473958,0.936414, 0.635061
us_000493068,0.936414, 0.635510
us_000598415,0.936414, 0.635748
us_000500936,0.936414, 0.635995
us_000467734,0.936414, 0.637781
us_000580626,0.936414, 0.637781
us_000500932,0.936414, 0.639725
us_000543552,0.936414, 0.639725
us_000213677,0.936414, 0.640293
us_000562694,0.936414, 0.640973
us_000571448,0.936414, 0.640973
us_000501335,0.936414, 0.640973
us_000467709,0.936414, 0.640973
us_000573570,0.936414, 0.640973
us_000499425,0.936414, 0.640973
us_000460570,0.936414, 0.640973
us_000130749,0.936414, 0.641191
us_000052256,0.936414, 0.642421
us_000586857,0.936414, 0.642421
us_000604629,0.936414, 0.642942
us_000337270,0.936414, 0.642942
us_000586636,0.936414, 0.645399
us_000498662,0.936414, 0.645646
us_000468774,0.936414, 0.645646
us_000473887,0.936414, 0.645646
us_000500062,0.936414, 0.645902
us_000517229,0.936414, 0.645902
us_000473337,0.936414, 0.645902
us_000463291,0.936414, 0.645902
us_000549944,0.936414, 0.646167
us_000535276,0.936414, 0.646167
us_000497718,0.936414, 0.646167
us_000611843,0.936414, 0.646167
us_000533541,0.936414, 0.646167
us_000468693,0.936414, 0.647601
us_000535988,0.885927, 0.000000
us_000547417,0.885927, 0.000000
us_000463701,0.885927, 1.120264
us_000519844,0.885927, 1.313205
us_000466027,0.885927, 1.364391
us_000554089,0.885927, 1.421492
us_000467262,0.885927, 1.485193
us_000469854,0.885927, 1.511663
us_000471554,0.885927, 1.512004
us_000480565,0.885927, 1.512677
us_000462817,0.885927, 1.535746
us_000468968,0.885927, 1.552098
us_000469248,0.885927, 1.591394
us_000471534,0.885927, 1.612614
us_000469491,0.885927, 1.629602
us_000539503,0.810337, 0.000000
us_000546728,0.810337, 0.000000
pr_001787374,0.810337, 0.000000
pr_001773619,0.810337, 0.000000
pr_001892018,0.810337, 0.000000
pr_001891432,0.810337, 0.000000
us_000280299,0.810337, 0.916396
us_000012856,0.810337, 0.957611
us_000013507,0.810337, 1.131725
us_000554195,0.810337, 1.156728
us_000529911,0.810337, 1.196600
us_000519794,0.810337, 1.322831
