Product ID : 215 # of JPs covered : 1 : 97 : Healthcare, 
OID,Confidence at Map Node,Error at Map Node
us_000583776,0.516729, 0.941202
us_000613835,0.516729, 0.941600
us_000573001,0.516729, 0.943927
us_000555966,0.516729, 0.945248
us_000549643,0.516729, 0.945936
us_000587014,0.516729, 0.946526
us_000500293,0.516729, 0.946894
us_000599458,0.516729, 0.947630
us_000485452,0.516729, 0.948426
us_000480483,0.516729, 0.950700
us_000375427,0.516729, 0.951486
us_000592164,0.516729, 0.951619
us_000592163,0.516729, 0.952116
us_000539725,0.516729, 0.954319
us_000589079,0.516729, 0.954433
us_000502664,0.516729, 0.955192
us_000529044,0.516729, 0.955432
us_000578990,0.516729, 0.956603
us_000528467,0.516729, 0.959955
us_000574278,0.516729, 0.960396
us_000501005,0.516729, 0.960934
us_000583633,0.516729, 0.963174
us_000574754,0.516729, 0.963379
us_000501930,0.516729, 0.963750
us_000584495,0.516729, 0.964244
us_000514310,0.516729, 0.965151
us_000568664,0.516729, 0.965304
us_000571443,0.516729, 0.965405
us_000582971,0.516729, 0.966187
us_000592509,0.516729, 0.967647
us_000608283,0.516729, 0.969180
us_000585979,0.516729, 0.969325
us_000592906,0.516729, 0.969700
us_000573804,0.516729, 0.970284
us_000598444,0.516729, 0.970284
us_000591298,0.516729, 0.970284
us_000598037,0.516729, 0.971828
us_000593178,0.516729, 0.972925
us_000574755,0.516729, 0.972925
us_000593180,0.516729, 0.972925
us_000585862,0.516729, 0.974026
us_000617465,0.516729, 0.974026
us_000617406,0.516729, 0.974026
us_000588604,0.516729, 0.974026
us_000593182,0.516729, 0.974026
us_000593185,0.516729, 0.974026
us_000590107,0.516729, 0.975130
us_000610873,0.516729, 0.975130
us_000610557,0.516729, 0.975130
us_000585675,0.516729, 0.975130
us_000586664,0.516729, 0.975130
us_000586727,0.516729, 0.975130
us_000557039,0.516729, 0.978159
us_000572925,0.516729, 0.986571
us_000608191,0.516729, 0.998729
us_000611256,0.516729, 0.999123
us_000552272,0.516729, 1.002330
us_000512758,0.516729, 1.008961
us_000605632,0.516729, 1.011071
pr_001016778,0.491206, 0.000000
pr_000648961,0.491206, 0.000000
pr_000120293,0.491206, 0.000000
us_000595321,0.491206, 0.507850
us_000567364,0.491206, 0.551133
us_000594566,0.491206, 0.611756
us_000584910,0.491206, 0.652081
us_000491809,0.491206, 0.666747
us_000518059,0.468938, 0.000000
us_000529973,0.468938, 0.000000
us_000546982,0.468938, 0.000000
pr_000405473,0.468938, 0.000000
pr_000295567,0.468938, 0.000000
pr_000151552,0.468938, 0.000000
pr_000189114,0.468938, 0.000000
pr_000356766,0.468938, 0.000000
pr_000166532,0.468938, 0.000000
pr_000404676,0.468938, 0.000000
pr_000356639,0.468938, 0.000000
pr_000397902,0.468938, 0.000000
pr_000380028,0.468938, 0.000000
us_000511925,0.468938, 0.000067
us_000497872,0.468938, 0.000128
us_000556202,0.468938, 0.000128
us_000545319,0.468938, 0.000128
us_000515255,0.468938, 0.000128
us_000535366,0.468938, 0.000173
us_000533545,0.468938, 0.000228
us_000118373,0.468938, 0.000716
us_000467538,0.468938, 0.000716
us_000600099,0.468938, 0.256605
us_000599756,0.468938, 0.260353
us_000600096,0.468938, 0.270852
us_000574732,0.468938, 0.274457
us_000541511,0.468938, 0.274601
us_000573450,0.468938, 0.277974
us_000466416,0.468938, 0.278484
us_000579615,0.468938, 0.279803
us_000459701,0.468938, 0.282489
us_000581470,0.468938, 0.282702
us_000464168,0.468938, 0.283300
us_000575085,0.468938, 0.283930
us_000504571,0.468938, 0.283930
us_000317160,0.468938, 0.284330
us_000465157,0.468938, 0.286580
us_000460616,0.468938, 0.286580
us_000460025,0.468938, 0.287409
us_000600634,0.468938, 0.288461
us_000600069,0.468938, 0.288993
us_000604310,0.468938, 0.289569
us_000599797,0.468938, 0.290011
us_000458600,0.468938, 0.290202
us_000467051,0.468938, 0.290758
us_000461859,0.468938, 0.290952
us_000576806,0.468938, 0.291033
us_000576885,0.468938, 0.291685
us_000580579,0.468938, 0.291869
us_000616585,0.468938, 0.292015
us_000288970,0.468938, 0.293306
us_000463604,0.468938, 0.293306
us_000464683,0.468938, 0.293306
us_000464653,0.468938, 0.293306
us_000508512,0.468938, 0.293908
us_000577988,0.468938, 0.294120
us_000577985,0.468938, 0.294120
us_000587188,0.468938, 0.294120
us_000577990,0.468938, 0.294120
us_000459955,0.468938, 0.294162
us_000470196,0.468938, 0.294162
us_000397518,0.468938, 0.294162
us_000474103,0.468938, 0.295022
us_000461031,0.468938, 0.295022
us_000599590,0.468938, 0.295156
us_000577057,0.468938, 0.295156
us_000464550,0.468938, 0.295227
us_000459469,0.468938, 0.295414
us_000582925,0.468938, 0.297499
us_000217197,0.468938, 0.297621
us_000461669,0.468938, 0.298886
us_000466767,0.468938, 0.299230
us_000458656,0.468938, 0.301136
us_000461578,0.468938, 0.302023
us_000464658,0.468938, 0.302023
us_000267462,0.468938, 0.302914
us_000458768,0.468938, 0.302914
us_000461624,0.468938, 0.303808
us_000059383,0.468938, 0.303808
us_000469548,0.468938, 0.303808
us_000463812,0.468938, 0.303808
us_000462338,0.468938, 0.304706
us_000466052,0.468938, 0.304706
us_000460428,0.468938, 0.304706
us_000460851,0.468938, 0.308331
us_000469011,0.468938, 0.308331
us_000249940,0.468938, 0.308836
us_000474232,0.468938, 0.310165
us_000116619,0.468938, 0.310165
us_000524462,0.468938, 0.310358
us_000326261,0.468938, 0.310899
us_000461450,0.468938, 0.311086
us_000308634,0.468938, 0.311086
us_000460296,0.468938, 0.311086
us_000463553,0.468938, 0.311086
us_000460340,0.468938, 0.311086
us_000459136,0.468938, 0.311086
us_000461590,0.468938, 0.311086
us_000079333,0.468938, 0.311494
us_000464644,0.468938, 0.311622
us_000261966,0.468938, 0.311949
us_000228401,0.468938, 0.312012
us_000472052,0.468938, 0.312012
us_000459849,0.468938, 0.312012
us_000471193,0.468938, 0.312012
us_000472042,0.468938, 0.312012
us_000460536,0.468938, 0.312012
us_000503697,0.468938, 0.312505
us_000470339,0.468938, 0.312850
us_000485592,0.468938, 0.312850
us_000465755,0.468938, 0.312940
us_000460712,0.468938, 0.312940
us_000461103,0.468938, 0.312940
us_000462857,0.468938, 0.312940
us_000475175,0.468938, 0.312940
us_000186056,0.468938, 0.312940
us_000482420,0.468938, 0.312940
us_000469057,0.468938, 0.313873
us_000460421,0.468938, 0.313873
us_000471337,0.468938, 0.313873
us_000462341,0.468938, 0.313873
us_000463106,0.468938, 0.313873
us_000472658,0.468938, 0.313873
us_000461420,0.468938, 0.313873
