Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
us_000573591,0.875995,0.390504
us_000594300,0.875995,0.391310
us_000618580,0.875995,0.404896
us_000558201,0.875995,0.409891
us_000562922,0.875995,0.412294
us_000543277,0.875995,0.419321
us_000519293,0.875995,0.440218
us_000558402,0.856087,0.000000
us_000558569,0.856087,0.000000
us_000556893,0.856087,0.000000
pr_001634312,0.856087,0.000000
pr_001826909,0.856087,0.000000
us_000533739,0.856087,0.000001
us_000613581,0.856087,0.000004
us_000589971,0.856087,0.000017
us_000580293,0.856087,0.000025
pr_002056516,0.856087,0.000141
pr_000112123,0.856087,0.000174
pr_001667111,0.856087,0.000836
pr_000864603,0.856087,0.001264
pr_000394849,0.856087,0.001374
pr_001702912,0.856087,0.001401
us_000612276,0.856087,0.362587
us_000585662,0.856087,0.692817
us_000511244,0.819221,0.000000
us_000549192,0.819221,0.000000
us_000514020,0.819221,0.282495
us_000619086,0.819221,0.353882
us_000563288,0.819221,0.365585
us_000560376,0.819221,0.366421
us_000597295,0.819221,0.369989
us_000622191,0.819221,0.385932
us_000603897,0.819221,0.395485
us_000617967,0.819221,0.396145
us_000618985,0.819221,0.414347
us_000555896,0.819221,0.416453
us_000514162,0.819221,0.420654
us_000619362,0.819221,0.430646
us_000614749,0.819221,0.432744
us_000557745,0.819221,0.448947
us_000615482,0.819221,0.481358
us_000612785,0.819221,0.484420
us_000617686,0.819221,0.495142
us_000572197,0.819221,0.510398
us_000600867,0.819221,0.518578
us_000607516,0.819221,0.527000
us_000546846,0.819221,0.527214
us_000593029,0.819221,0.533431
us_000573542,0.819221,0.541856
us_000579069,0.819221,0.542814
us_000612991,0.819221,0.551378
us_000585840,0.819221,0.555873
us_000605889,0.819221,0.688604
us_000546328,0.819221,1.233341
us_000562757,0.819221,1.845442
us_000481546,0.809073,0.000535
us_000565043,0.809073,0.002511
us_000585429,0.809073,0.291580
us_000511472,0.809073,0.332433
us_000585434,0.809073,0.618377
us_000611456,0.809073,0.640048
us_000592667,0.809073,0.640487
us_000614599,0.809073,0.651666
us_000611752,0.809073,0.653993
us_000566005,0.809073,0.657184
us_000580201,0.809073,0.673935
us_000611047,0.809073,0.682970
us_000525916,0.809073,0.691704
us_000592581,0.809073,0.706219
us_000607851,0.809073,0.707348
us_000608591,0.809073,0.714076
us_000607639,0.809073,0.717560
us_000600805,0.809073,0.731237
us_000611767,0.809073,0.732779
us_000610332,0.809073,0.737018
us_000592653,0.809073,0.750252
us_000592404,0.809073,0.752894
us_000610316,0.809073,0.778670
us_000610317,0.809073,0.784253
us_000611183,0.809073,0.790896
us_000609216,0.809073,0.794411
us_000607804,0.809073,0.820700
us_000532090,0.809073,0.838163
us_000608019,0.809073,0.840511
us_000609291,0.809073,0.847262
us_000610086,0.809073,0.886187
us_000608358,0.809073,0.886644
us_000608868,0.809073,0.892076
us_000607650,0.809073,0.896048
us_000608820,0.809073,0.896048
us_000610809,0.809073,0.897362
us_000611910,0.809073,0.898306
us_000577812,0.809073,0.901732
us_000610829,0.809073,0.920082
us_000608609,0.809073,0.933372
us_000607627,0.809073,0.959333
us_000610218,0.809073,0.969473
us_000608384,0.809073,0.994663
us_000608816,0.809073,0.998978
us_000609167,0.809073,1.276290
us_000553589,0.809073,1.400810
us_000570418,0.809073,1.554529
us_000609327,0.809073,1.574950
us_000610440,0.809073,1.582830
us_000609753,0.809073,1.594932
us_000608116,0.809073,1.606893
us_000592482,0.809073,1.615306
us_000608837,0.809073,1.637916
us_000608171,0.809073,1.639280
us_000532048,0.809073,1.641415
us_000592852,0.809073,1.658317
us_000536776,0.809073,1.658845
us_000610652,0.809073,1.679370
us_000608871,0.809073,1.700819
us_000609758,0.809073,1.726900
us_000610642,0.809073,1.741183
us_000611556,0.809073,1.786660
us_000611298,0.809073,1.854494
us_000592877,0.809073,1.855745
us_000561306,0.809073,1.869345
us_000608773,0.809073,1.880990
us_000618852,0.809073,2.064389
us_000618845,0.809073,3.936046
pr_001781657,0.803814,0.000000
pr_002003955,0.803814,0.000000
us_000585353,0.803814,0.000000
us_000603304,0.803814,0.000004
us_000578385,0.803814,0.213427
us_000561510,0.803814,0.234154
us_000514284,0.803814,0.264196
us_000580193,0.803814,0.264957
us_000538286,0.803814,0.278611
us_000614556,0.803814,0.285049
us_000508806,0.803814,0.286765
us_000603422,0.803814,0.287537
us_000569190,0.803814,0.293723
us_000556861,0.803814,0.296003
us_000507735,0.803814,0.297245
us_000600366,0.803814,0.299684
us_000566692,0.803814,0.305733
us_000561719,0.803814,0.309013
us_000615436,0.803814,0.316913
us_000614347,0.803814,0.318339
us_000543515,0.803814,0.332820
us_000525814,0.803814,0.333768
us_000579299,0.803814,0.343122
us_000562137,0.803814,0.347484
pr_000606668,0.802666,0.000000
pr_001009331,0.802666,0.000000
pr_000892058,0.802666,0.000000
us_000576145,0.802666,0.000000
us_000564687,0.802666,0.000000
pr_000724464,0.802666,0.000246
us_000601998,0.802666,0.226219
us_000602117,0.802666,0.236909
us_000584474,0.802666,0.240364
us_000522525,0.802666,0.326765
us_000568465,0.802666,1.215542
us_000522446,0.798136,0.000000
us_000604817,0.798136,0.000000
us_000554668,0.798136,0.000000
us_000556812,0.798136,0.000002
pr_001344327,0.798136,0.000005
us_000591870,0.798136,0.000013
us_000511121,0.798136,0.024552
pr_001187902,0.798136,0.026389
us_000615403,0.798136,0.049214
us_000589855,0.798136,0.211345
us_000591377,0.798136,0.215928
us_000601233,0.798136,0.216435
us_000575309,0.798136,0.221625
us_000575442,0.798136,0.225864
us_000539168,0.798136,0.229475
us_000543538,0.798136,0.230239
us_000569258,0.798136,0.231204
us_000525553,0.798136,0.480345
pr_001049276,0.778388,0.000000
us_000589008,0.778388,0.000001
us_000600770,0.778388,0.211119
us_000605077,0.778388,0.214948
us_000604375,0.778388,0.215151
us_000597352,0.778388,0.217955
us_000611487,0.778388,0.221994
us_000556001,0.778388,0.224556
us_000519698,0.778388,0.227623
us_000604010,0.778388,0.230898
us_000604692,0.778388,0.230898
us_000603840,0.778388,0.230898
us_000604446,0.778388,0.230898
us_000605078,0.778388,0.230898
us_000604130,0.778388,0.230898
us_000604063,0.778388,0.230898
us_000604671,0.778388,0.230898
us_000604689,0.778388,0.230898
us_000604952,0.778388,0.230898
us_000605231,0.778388,0.230898
us_000570544,0.778388,0.231039
us_000543232,0.778388,0.243550
us_000603848,0.778388,0.246408
us_000602466,0.778388,0.249681
