Product ID : 2093 JPs covered : 122 : Municipal Law/Eminent Domain, 
OID,Confidence at Map Node,Error at Map Node
us_000598574,0.913895, 1.897744
us_000508205,0.913895, 1.897744
us_000598576,0.913895, 1.897744
us_000597146,0.913895, 1.897744
us_000577316,0.913895, 1.897744
us_000603080,0.913895, 1.897744
us_000598575,0.913895, 1.897744
us_000615208,0.913895, 1.897744
us_000592315,0.913895, 1.897744
us_000605219,0.913895, 1.897744
us_000581528,0.913895, 1.897744
us_000589480,0.913895, 1.897744
us_000585327,0.913895, 1.897744
us_000580919,0.913895, 1.897744
us_000579320,0.913895, 1.900376
us_000581722,0.913895, 1.900911
us_000473047,0.913895, 1.901520
us_000580435,0.913895, 1.901520
us_000600184,0.913895, 1.901520
us_000584560,0.913895, 1.901520
us_000615865,0.913895, 1.901520
us_000600183,0.913895, 1.901520
us_000600602,0.913895, 1.901520
us_000610080,0.913895, 1.901520
us_000582061,0.913895, 1.901520
us_000600606,0.913895, 1.901520
us_000600598,0.913895, 1.901520
us_000591961,0.913895, 1.901520
us_000580436,0.913895, 1.901520
us_000600603,0.913895, 1.901520
us_000600607,0.913895, 1.901520
us_000600599,0.913895, 1.901520
us_000600597,0.913895, 1.901520
us_000581950,0.913895, 1.901520
us_000600604,0.913895, 1.901520
us_000600185,0.913895, 1.901520
us_000592317,0.913895, 1.901520
us_000592587,0.913895, 1.901520
us_000600425,0.913895, 1.901520
us_000579841,0.913895, 1.901520
us_000612076,0.913895, 1.903821
us_000612150,0.913895, 1.903821
us_000588955,0.913895, 1.903821
us_000566641,0.913895, 1.906734
us_000581589,0.913895, 1.907432
us_000598196,0.913895, 1.907432
us_000598193,0.913895, 1.907432
us_000598192,0.913895, 1.907432
us_000598194,0.913895, 1.907432
us_000598198,0.913895, 1.907432
us_000598199,0.913895, 1.907432
us_000598197,0.913895, 1.907432
us_000598200,0.913895, 1.907432
us_000585338,0.913895, 1.907432
us_000598026,0.913895, 1.907432
us_000598039,0.913895, 1.907432
us_000582468,0.913895, 1.908297
us_000598195,0.913895, 1.909237
us_000593932,0.913895, 1.911208
us_000602358,0.913895, 1.911208
us_000592321,0.913895, 1.911208
us_000588992,0.913895, 1.911208
us_000591235,0.913895, 1.911208
us_000584291,0.913895, 1.911208
us_000570068,0.913895, 1.911208
us_000597517,0.913895, 1.911208
us_000588993,0.913895, 1.911208
us_000584327,0.913895, 1.911208
us_000582620,0.913895, 1.911208
us_000609457,0.913895, 1.911208
us_000597864,0.913895, 1.911208
us_000592324,0.913895, 1.911208
us_000600904,0.913895, 1.911208
us_000606963,0.913895, 1.911208
us_000582736,0.913895, 1.911208
us_000579786,0.913895, 1.911208
us_000584319,0.913895, 1.911208
us_000584321,0.913895, 1.911208
us_000616885,0.913895, 1.911208
us_000584323,0.913895, 1.911208
us_000589225,0.913895, 1.911208
us_000580084,0.913895, 1.911208
us_000582627,0.913895, 1.911208
us_000586783,0.913895, 1.911208
us_000599683,0.913895, 1.911208
us_000584658,0.913895, 1.911208
us_000586781,0.913895, 1.911208
us_000592606,0.913895, 1.911208
us_000616823,0.913895, 1.911208
us_000585307,0.913895, 1.911208
us_000584224,0.913895, 1.911208
us_000581195,0.913895, 1.911208
us_000598711,0.913895, 1.911208
us_000584328,0.913895, 1.911208
us_000585343,0.913895, 1.911208
us_000601081,0.913895, 1.911208
us_000508527,0.913895, 1.911208
us_000584377,0.913895, 1.911208
us_000592320,0.913895, 1.911208
us_000617073,0.913895, 1.911208
us_000598201,0.913895, 1.911208
us_000581071,0.913895, 1.911208
us_000598202,0.913895, 1.911208
us_000598450,0.913895, 1.911208
us_000598210,0.913895, 1.911208
us_000590894,0.913895, 1.911208
us_000584330,0.913895, 1.911208
us_000616751,0.913895, 1.911208
us_000600846,0.913895, 1.911208
us_000584782,0.913895, 1.911208
us_000582619,0.913895, 1.911208
us_000576993,0.913895, 1.911208
us_000597780,0.913895, 1.911208
us_000584320,0.913895, 1.911208
us_000598316,0.913895, 1.911208
us_000584375,0.913895, 1.911208
us_000472801,0.913895, 1.911208
us_000584370,0.913895, 1.911208
us_000584324,0.913895, 1.911208
us_000592318,0.913895, 1.911208
us_000610008,0.913895, 1.911208
us_000600982,0.913895, 1.911208
us_000584326,0.913895, 1.911208
us_000591117,0.913895, 1.911208
us_000597431,0.913895, 1.911208
us_000582622,0.913895, 1.911208
us_000582710,0.913895, 1.911208
us_000602078,0.913895, 1.911208
us_000597141,0.913895, 1.911208
us_000616924,0.913895, 1.911208
us_000582559,0.913895, 1.911208
us_000615027,0.913895, 1.911208
us_000597125,0.913895, 1.911208
us_000601073,0.913895, 1.911208
us_000592789,0.913895, 1.911208
us_000615513,0.913895, 1.911208
us_000615719,0.913895, 1.911208
us_000584347,0.913895, 1.911208
us_000584325,0.913895, 1.911208
us_000582613,0.913895, 1.911208
us_000601072,0.913895, 1.911208
us_000584191,0.913895, 1.911208
us_000591500,0.913895, 1.911208
us_000506369,0.913895, 1.912926
us_000603474,0.913895, 1.913131
us_000565942,0.913895, 1.917608
us_000574126,0.913895, 1.919575
us_000605805,0.913895, 1.934085
us_000602848,0.768844, 0.000000
us_000568156,0.768844, 0.000000
us_000556329,0.768844, 0.000000
us_000538518,0.768844, 0.000000
us_000525767,0.768844, 0.000000
us_000566498,0.768844, 0.000000
us_000568180,0.768844, 0.000000
us_000617502,0.768844, 0.000000
us_000616491,0.768844, 0.000000
us_000575644,0.768844, 0.000000
us_000616489,0.768844, 0.000000
us_000601271,0.768844, 0.000000
us_000616486,0.768844, 0.000000
us_000597002,0.768844, 0.000000
us_000581070,0.768844, 0.000001
us_000610511,0.768844, 0.000001
us_000567564,0.768844, 0.000001
us_000583624,0.768844, 0.000002
us_000617068,0.768844, 0.000003
us_000573375,0.768844, 0.000003
us_000573416,0.768844, 0.000003
us_000608506,0.768844, 0.000005
us_000612428,0.768844, 0.000073
pr_001663565,0.768844, 0.000137
pr_001667677,0.768844, 0.000239
us_000488450,0.768844, 0.307047
us_000485049,0.768844, 0.333240
us_000541255,0.768844, 0.349038
us_000595136,0.768844, 0.361558
us_000595102,0.768844, 0.361558
us_000572746,0.768844, 0.363694
us_000572932,0.768844, 0.363694
us_000593797,0.768844, 0.370945
us_000594783,0.768844, 0.375961
us_000588487,0.768844, 0.375961
us_000536508,0.768844, 0.375961
us_000594050,0.768844, 0.375961
us_000573927,0.768844, 0.383215
us_000512852,0.768844, 0.413756
us_000532317,0.768844, 0.420809
us_000594584,0.768844, 0.427961
us_000585221,0.768844, 0.435212
us_000585875,0.768844, 0.435212
us_000487287,0.768844, 0.436862
us_000473303,0.768844, 0.442944
us_000576912,0.768844, 0.442944
us_000496321,0.768844, 0.442944
us_000473427,0.768844, 0.442944
us_000484708,0.768844, 0.442944
us_000554758,0.768844, 0.449302
us_000487343,0.768844, 0.452173
us_000503738,0.768844, 0.453928
us_000514286,0.768844, 0.454120
us_000584714,0.768844, 0.488747
us_000512779,0.768844, 0.489536
us_000512873,0.768844, 0.489536
us_000585447,0.768844, 0.489536
us_000485068,0.768844, 0.489536
us_000481618,0.768844, 0.489536
us_000481897,0.768844, 0.489536
us_000499898,0.768844, 0.496589
us_000481256,0.768844, 0.496589
us_000578087,0.768844, 0.496589
us_000532424,0.768844, 0.496589
us_000499826,0.768844, 0.496589
us_000514537,0.768844, 0.496589
us_000486509,0.768844, 0.496589
us_000472585,0.768844, 0.496589
us_000595139,0.768844, 0.496792
us_000604489,0.768844, 0.498267
us_000573602,0.768844, 0.498267
us_000593776,0.768844, 0.498267
us_000573509,0.768844, 0.498267
us_000573150,0.768844, 0.498267
us_000573559,0.768844, 0.498267
us_000594561,0.768844, 0.498267
us_000571458,0.768844, 0.500006
us_000571461,0.768844, 0.500006
us_000483291,0.768844, 0.503741
us_000470083,0.768844, 0.503741
us_000483225,0.768844, 0.503741
us_000585957,0.768844, 0.503741
us_000495058,0.768844, 0.503741
us_000496310,0.768844, 0.503741
us_000472780,0.768844, 0.503741
us_000513762,0.768844, 0.503741
us_000595796,0.768844, 0.503741
us_000500674,0.768844, 0.503741
us_000482760,0.768844, 0.503741
us_000484146,0.768844, 0.503741
us_000495009,0.768844, 0.503741
us_000482754,0.768844, 0.503741
us_000483060,0.768844, 0.503741
us_000500673,0.768844, 0.503741
us_000487396,0.768844, 0.504936
us_000572148,0.768844, 0.504936
us_000571903,0.768844, 0.504936
us_000595148,0.768844, 0.504936
us_000505252,0.768844, 0.504936
us_000555879,0.768844, 0.510992
us_000492957,0.768844, 0.510992
us_000576927,0.768844, 0.510992
us_000596204,0.768844, 0.510992
us_000555733,0.768844, 0.510992
us_000483348,0.768844, 0.510992
us_000488093,0.768844, 0.510992
us_000481048,0.768844, 0.510992
us_000484683,0.768844, 0.510992
us_000499957,0.768844, 0.510992
us_000481182,0.768844, 0.510992
us_000493391,0.768844, 0.510992
us_000484725,0.768844, 0.510992
us_000488950,0.768844, 0.510992
us_000486742,0.768844, 0.510992
us_000489758,0.768844, 0.510992
us_000483825,0.768844, 0.510992
us_000500129,0.768844, 0.510992
us_000489769,0.768844, 0.510992
us_000555122,0.768844, 0.510992
us_000554216,0.768844, 0.510992
us_000554183,0.768844, 0.510992
us_000596553,0.768844, 0.510992
us_000493397,0.768844, 0.510992
us_000532562,0.768844, 0.510992
us_000465553,0.768844, 0.511560
us_000486421,0.768844, 0.511581
us_000584655,0.768844, 0.512444
us_000503322,0.768844, 0.512973
us_000475461,0.768844, 0.513151
us_000610025,0.768844, 0.513179
us_000593858,0.768844, 0.513179
us_000586929,0.768844, 0.513179
us_000594498,0.768844, 0.513179
us_000594394,0.768844, 0.513179
us_000572425,0.768844, 0.513179
us_000593840,0.768844, 0.513179
us_000593859,0.768844, 0.513179
us_000594396,0.768844, 0.513179
us_000572717,0.768844, 0.513179
us_000572426,0.768844, 0.513179
us_000609945,0.768844, 0.513179
us_000593926,0.768844, 0.513179
us_000611099,0.768844, 0.513179
us_000573406,0.768844, 0.513179
us_000535865,0.768844, 0.513179
us_000594655,0.768844, 0.513179
us_000488638,0.768844, 0.513725
us_000561796,0.768844, 0.517752
us_000609455,0.768844, 0.524548
us_000577790,0.768844, 0.534840
us_000484582,0.768844, 0.540988
us_000486522,0.768844, 0.548735
pr_000294436,0.768844, 0.556581
us_000514713,0.768844, 0.556582
us_000597145,0.768844, 0.556582
us_000597144,0.768844, 0.556582
us_000484786,0.768844, 0.564527
us_000485066,0.768844, 0.564527
us_000481649,0.768844, 0.564527
us_000589895,0.768844, 0.564527
us_000580539,0.768844, 0.564527
us_000577740,0.768844, 0.564527
us_000596263,0.768844, 0.564527
us_000577702,0.768844, 0.564527
us_000596261,0.768844, 0.564527
us_000481922,0.768844, 0.564527
us_000532794,0.768844, 0.564527
us_000481587,0.768844, 0.564527
us_000489727,0.768844, 0.572572
us_000491279,0.768844, 0.572572
us_000501098,0.768844, 0.572572
us_000499571,0.768844, 0.572572
us_000597386,0.768844, 0.572572
us_000491057,0.768844, 0.572572
us_000532524,0.768844, 0.572572
us_000597403,0.768844, 0.572572
us_000514552,0.768844, 0.572572
us_000514488,0.768844, 0.572572
us_000489123,0.768844, 0.572572
us_000489658,0.768844, 0.572572
us_000489424,0.768844, 0.572572
us_000491066,0.768844, 0.572572
