Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 123 | Patents (jp:123,idx:39)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01063830,1.0,(4|40)
0.01030928,3.0,(14|34)
0.01005025,4.0,(10|29)
0.01000000,2.0,(30|47)
0.009852217,4.0,(14|47)
0.009803922,2.0,(16|31)
0.009716599,12.0,(25|45)
0.009615385,1.0,(23|14)
0.009615385,2.0,(47|34)
0.009216590,2.0,(22|16)
0.009174312,1.0,(6|32)
0.009049774,2.0,(2|21)
0.008928572,2.0,(21|45)
0.008771930,2.0,(1|26)
0.008665511,5.0,(12|4)
0.008620690,2.0,(30|44)
0.008620690,1.0,(41|41)
0.008547009,2.0,(21|13)
0.008264462,1.0,(10|2)
0.008219178,3.0,(17|12)
0.008042895,3.0,(21|46)
0.007751938,1.0,(6|8)
0.007722008,2.0,(5|4)
0.007518797,1.0,(9|39)
0.007481297,3.0,(32|3)
0.007462686,3.0,(15|37)
0.007389163,3.0,(19|12)
0.007389163,3.0,(20|12)
0.007380074,2.0,(11|32)
0.007299270,1.0,(13|29)
0.007255139,6.0,(24|35)
0.007246377,1.0,(1|46)
0.007246377,2.0,(16|20)
0.007042253,1.0,(8|5)
0.007025761,3.0,(20|8)
0.007025761,3.0,(28|2)
0.006993007,1.0,(0|43)
0.006896552,2.0,(25|36)
0.006849315,2.0,(28|47)
0.006849315,1.0,(29|48)
0.006802721,1.0,(15|21)
0.006651885,3.0,(9|33)
0.006622517,1.0,(18|45)
0.006568145,4.0,(26|0)
0.006493506,1.0,(12|21)
0.006451613,1.0,(40|43)
0.006369427,2.0,(27|30)
0.006250000,1.0,(24|23)
0.006211180,2.0,(25|0)
0.006211180,1.0,(47|41)
0.006211180,1.0,(48|41)
0.005952381,1.0,(0|27)
0.005882353,1.0,(8|2)
0.005870841,3.0,(32|44)
0.005847953,1.0,(8|29)
0.005714286,1.0,(7|34)
0.005692600,3.0,(28|33)
0.005681818,1.0,(7|5)
0.005681818,1.0,(9|30)
0.005633803,2.0,(0|30)
0.005617978,1.0,(15|30)
0.005540166,4.0,(30|41)
0.005376344,2.0,(18|34)
0.005244755,3.0,(4|10)
0.005235602,1.0,(3|35)
0.005144033,5.0,(27|45)
0.005102041,1.0,(18|35)
0.005093378,3.0,(17|40)
0.005016722,3.0,(20|44)
0.004926108,1.0,(48|7)
0.004784689,1.0,(6|10)
0.004716981,1.0,(24|10)
0.004651163,2.0,(18|29)
0.004651163,1.0,(25|2)
0.004594181,3.0,(18|27)
0.004566210,2.0,(19|16)
0.004509583,4.0,(20|41)
0.004338395,2.0,(17|3)
0.004333694,4.0,(31|47)
0.004310345,1.0,(49|36)
0.004184100,1.0,(44|45)
0.004048583,2.0,(15|33)
0.003816794,1.0,(16|44)
0.003802281,1.0,(5|10)
0.003802281,1.0,(5|11)
0.003710575,2.0,(16|28)
0.003703704,2.0,(17|32)
0.003696858,4.0,(15|40)
0.003676471,3.0,(28|24)
0.003636364,1.0,(13|41)
0.003603604,2.0,(46|5)
0.003603604,2.0,(47|4)
0.003603604,2.0,(47|5)
0.003496503,1.0,(15|6)
0.003496503,1.0,(24|25)
0.003496503,1.0,(48|5)
0.003448276,1.0,(9|4)
0.003424658,1.0,(15|26)
0.003322259,1.0,(23|43)
0.003030303,1.0,(17|27)
0.002958580,1.0,(13|3)
0.002919708,2.0,(23|36)
0.002919708,2.0,(23|38)
0.002832861,1.0,(31|44)
0.002754821,1.0,(21|28)
0.002754821,1.0,(25|46)
0.002732240,1.0,(32|42)
0.002680965,1.0,(14|40)
0.002577320,1.0,(9|5)
0.002570694,1.0,(21|6)
0.002564103,1.0,(17|33)
0.002551020,1.0,(23|10)
0.002538071,1.0,(16|35)
0.002481390,1.0,(25|26)
0.002358491,1.0,(16|38)
0.002320186,1.0,(20|19)
0.002298851,1.0,(17|38)
0.002272727,1.0,(29|24)
0.002222222,1.0,(20|0)
0.002178649,1.0,(26|43)
0.002159827,1.0,(46|46)
0.002141328,1.0,(15|44)
0.002132196,1.0,(14|2)
0.002132196,1.0,(22|13)
0.002087683,1.0,(5|43)
0.002087683,2.0,(17|28)
0.002020202,1.0,(5|45)
0.001988071,1.0,(21|34)
0.001910220,2.0,(19|34)
0.001831502,1.0,(25|43)
0.001805054,1.0,(29|34)
0.001779359,1.0,(19|42)
0.001589825,1.0,(22|41)
0.001537279,2.0,(29|36)
0.001265823,1.0,(19|37)
0.001207729,1.0,(30|35)
0.001078749,1.0,(28|31)
0.0009372071,1.0,(28|36)
0.0007369197,1.0,(19|36)
0.0007127584,1.0,(20|39)
0.0004361099,1.0,(34|32)
