Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 216 | Accounting-Non-Profit (jp:216,idx:65)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02049180,5.0,(37|12)
0.02040816,5.0,(45|24)
0.02030457,8.0,(39|30)
0.01990050,4.0,(47|1)
0.01980198,2.0,(36|1)
0.01960784,3.0,(36|4)
0.01923077,3.0,(41|21)
0.01875000,3.0,(35|10)
0.01851852,2.0,(37|47)
0.01851852,2.0,(45|12)
0.01827676,7.0,(37|13)
0.01808318,10.0,(34|21)
0.01808067,13.0,(43|1)
0.01754386,1.0,(33|34)
0.01739130,8.0,(47|23)
0.01731602,4.0,(36|0)
0.01724138,6.0,(32|18)
0.01724138,4.0,(42|19)
0.01709402,4.0,(37|49)
0.01704546,3.0,(46|24)
0.01702128,4.0,(44|17)
0.01694915,6.0,(32|19)
0.01639344,4.0,(40|15)
0.01612903,4.0,(42|21)
0.01587302,2.0,(45|25)
0.01587302,1.0,(46|8)
0.01587302,2.0,(46|21)
0.01587302,2.0,(49|23)
0.01568628,4.0,(40|24)
0.01562500,2.0,(38|7)
0.01562500,2.0,(39|20)
0.01544402,4.0,(38|30)
0.01538462,3.0,(43|7)
0.01532567,4.0,(36|7)
0.01532567,4.0,(37|9)
0.01524390,5.0,(39|37)
0.01510574,5.0,(45|10)
0.01503759,2.0,(37|31)
0.01503759,4.0,(43|22)
0.01498127,4.0,(45|16)
0.01497006,15.0,(35|20)
0.01481481,2.0,(2|43)
0.01481481,2.0,(2|44)
0.01466993,6.0,(48|15)
0.01454545,4.0,(48|23)
0.01449275,1.0,(43|40)
0.01438849,2.0,(42|43)
0.01435407,6.0,(43|42)
0.01433692,4.0,(41|11)
0.01428571,1.0,(34|25)
0.01428571,5.0,(39|41)
0.01428571,2.0,(45|29)
0.01418440,6.0,(37|15)
0.01418440,2.0,(45|48)
0.01412429,5.0,(39|28)
0.01408451,1.0,(3|44)
0.01403509,4.0,(36|11)
0.01398601,2.0,(46|9)
0.01398601,2.0,(48|9)
0.01379310,2.0,(46|18)
0.01376147,3.0,(40|17)
0.01369863,1.0,(46|44)
0.01364522,7.0,(41|48)
0.01351351,1.0,(32|49)
0.01351351,2.0,(46|47)
0.01345291,3.0,(48|43)
0.01333333,2.0,(33|18)
0.01333333,4.0,(42|7)
0.01321586,3.0,(15|34)
0.01298701,2.0,(0|19)
0.01290323,2.0,(40|43)
