Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 401 | RP Finance-Tax (jp:401,idx:236)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02985075,2.0,(39|5)
0.02954545,13.0,(29|24)
0.02941176,1.0,(39|46)
0.02923977,5.0,(8|29)
0.02898551,2.0,(47|40)
0.02898551,4.0,(49|40)
0.02857143,1.0,(14|13)
0.02857143,1.0,(15|12)
0.02848101,9.0,(42|16)
0.02836879,8.0,(17|25)
0.02826855,8.0,(44|34)
0.02807775,13.0,(46|46)
0.02803738,3.0,(3|49)
0.02803738,6.0,(14|18)
0.02790698,6.0,(42|17)
0.02777778,3.0,(8|13)
0.02777778,10.0,(8|23)
0.02777778,1.0,(14|14)
0.02777778,2.0,(33|20)
0.02777778,6.0,(44|10)
0.02762431,5.0,(41|14)
0.02755906,7.0,(42|22)
0.02754821,10.0,(7|20)
0.02752294,3.0,(21|27)
0.02739726,2.0,(45|45)
0.02714932,6.0,(2|21)
0.02702703,2.0,(12|31)
0.02702703,8.0,(49|18)
0.02702703,2.0,(49|25)
0.02690583,6.0,(1|20)
0.02682927,11.0,(0|10)
0.02661597,7.0,(46|15)
0.02631579,3.0,(2|22)
0.02631579,1.0,(36|31)
0.02631579,1.0,(42|47)
0.02631579,2.0,(46|30)
0.02627512,17.0,(8|28)
0.02623907,9.0,(49|19)
0.02604167,5.0,(20|25)
0.02575107,6.0,(6|24)
0.02564103,1.0,(42|44)
0.02564103,2.0,(45|46)
0.02521008,3.0,(8|16)
0.02493075,9.0,(1|11)
0.02487562,5.0,(5|14)
0.02469136,2.0,(39|48)
0.02463054,5.0,(2|20)
0.02439024,3.0,(7|14)
0.02439024,8.0,(40|40)
0.02409638,6.0,(17|31)
0.02409638,4.0,(26|47)
0.02409638,2.0,(47|30)
0.02392345,5.0,(46|17)
0.02380952,3.0,(32|20)
0.02369668,5.0,(38|21)
0.02366864,4.0,(4|19)
0.02352941,2.0,(49|14)
0.02348993,7.0,(49|15)
0.02341137,7.0,(48|19)
0.02339181,4.0,(30|19)
0.02325581,2.0,(7|22)
0.02325581,1.0,(42|0)
0.02312139,4.0,(44|37)
