Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 262 | Estate Planning-Trusts & Estates (jp:262,idx:111)
Class Probability,Ex Count at BMU,BMU Map Loc
0.005479452,2.0,(9|42)
0.005464481,7.0,(47|49)
0.005376344,1.0,(35|36)
0.005376344,1.0,(36|9)
0.005319149,1.0,(10|45)
0.005319149,1.0,(28|23)
0.005305040,2.0,(22|3)
0.005300353,3.0,(38|0)
0.005277045,2.0,(28|22)
0.005263158,1.0,(48|48)
0.005221932,2.0,(37|13)
0.005208333,1.0,(4|14)
0.005208333,1.0,(4|15)
0.005128205,1.0,(47|11)
0.005128205,1.0,(48|17)
0.005025126,1.0,(46|3)
0.005000000,1.0,(30|47)
0.004987531,2.0,(38|28)
0.004926108,1.0,(3|26)
0.004926108,1.0,(6|4)
0.004926108,1.0,(40|46)
0.004901961,1.0,(16|31)
0.004889976,2.0,(48|15)
0.004878049,1.0,(9|9)
0.004854369,1.0,(47|18)
0.004819277,2.0,(35|23)
0.004784689,1.0,(42|20)
0.004739337,1.0,(31|19)
0.004728132,2.0,(9|38)
0.004694836,1.0,(15|29)
0.004694836,1.0,(19|24)
0.004672897,1.0,(14|18)
0.004640371,2.0,(0|1)
0.004640371,2.0,(0|2)
0.004640371,2.0,(20|19)
0.004636785,3.0,(8|28)
0.004608295,1.0,(36|3)
0.004587156,1.0,(0|38)
0.004587156,1.0,(0|39)
0.004566210,1.0,(36|39)
0.004545454,1.0,(6|18)
0.004545454,2.0,(29|24)
0.004524887,1.0,(0|4)
0.004524887,1.0,(45|7)
0.004444445,1.0,(41|44)
0.004434590,2.0,(9|33)
0.004415011,2.0,(0|35)
0.004385965,1.0,(1|26)
0.004329004,1.0,(38|2)
0.004273504,1.0,(30|14)
0.004255319,1.0,(3|11)
0.004237288,1.0,(28|30)
0.004237288,2.0,(36|15)
0.004219409,1.0,(35|12)
0.004175365,2.0,(5|43)
0.004158004,2.0,(32|25)
0.004032258,1.0,(15|23)
0.003984064,3.0,(4|24)
0.003952569,3.0,(36|36)
0.003913894,2.0,(32|44)
0.003891051,1.0,(33|30)
0.003875969,1.0,(36|30)
0.003831418,1.0,(37|9)
0.003802281,1.0,(5|10)
0.003802281,1.0,(5|11)
0.003773585,1.0,(40|23)
0.003759399,1.0,(39|8)
0.003759399,1.0,(43|22)
0.003745318,1.0,(27|4)
0.003690037,1.0,(39|32)
0.003623188,1.0,(33|4)
0.003623188,1.0,(34|5)
0.003610108,2.0,(29|34)
0.003584229,1.0,(43|11)
0.003558719,1.0,(41|18)
0.003484321,1.0,(40|28)
0.003476246,3.0,(6|3)
0.003448276,2.0,(18|22)
0.003436426,1.0,(5|27)
0.003436426,1.0,(14|34)
0.003424658,1.0,(33|42)
0.003350084,2.0,(34|31)
0.003311258,1.0,(1|23)
0.003294893,2.0,(27|17)
0.003278689,1.0,(33|22)
0.003250271,3.0,(31|47)
0.003246753,2.0,(49|11)
0.003194888,1.0,(48|6)
0.003164557,2.0,(28|5)
0.003091190,2.0,(15|19)
0.003025718,2.0,(29|28)
0.003007519,2.0,(35|44)
0.002890173,1.0,(27|32)
0.002840909,1.0,(49|16)
0.002832861,1.0,(24|34)
0.002832861,1.0,(25|33)
0.002824859,1.0,(32|19)
0.002816901,1.0,(0|30)
0.002808989,1.0,(25|10)
0.002754821,1.0,(21|28)
0.002739726,2.0,(18|48)
0.002730748,5.0,(34|35)
0.002710027,1.0,(25|28)
0.002688172,1.0,(18|34)
0.002680965,1.0,(21|46)
0.002645503,2.0,(0|23)
0.002638523,1.0,(38|40)
0.002610966,1.0,(24|6)
0.002583979,1.0,(26|4)
0.002577320,1.0,(29|27)
0.002564103,1.0,(17|33)
0.002557545,1.0,(46|19)
0.002493766,1.0,(6|47)
0.002493766,1.0,(32|3)
0.002450980,2.0,(28|24)
0.002398082,1.0,(21|16)
0.002383790,2.0,(41|38)
0.002358491,1.0,(16|38)
0.002304147,1.0,(22|27)
0.002284844,3.0,(32|35)
0.002283105,1.0,(19|16)
0.002277904,1.0,(43|23)
0.002159827,1.0,(46|46)
0.002132196,1.0,(22|13)
0.002074689,1.0,(21|33)
0.001988071,1.0,(37|28)
0.001976285,1.0,(25|30)
0.001964637,1.0,(10|21)
0.001913876,2.0,(31|33)
0.001897533,1.0,(38|44)
0.001890359,1.0,(12|43)
0.001855288,1.0,(16|28)
0.001851852,1.0,(17|32)
0.001831502,1.0,(25|43)
0.001703577,1.0,(29|29)
0.001697793,1.0,(17|40)
0.001642036,1.0,(26|0)
0.001594896,1.0,(42|25)
0.001572327,1.0,(23|16)
0.001540832,1.0,(20|36)
0.001481481,1.0,(12|5)
0.001459854,1.0,(23|36)
0.001459854,1.0,(23|38)
0.001455604,1.0,(9|27)
0.001406470,1.0,(14|25)
0.001369863,1.0,(33|36)
0.001358696,1.0,(14|24)
0.001308901,1.0,(45|47)
0.001282051,1.0,(24|33)
0.001278772,1.0,(47|31)
0.001265823,1.0,(3|25)
0.001190476,1.0,(35|15)
0.001186240,1.0,(26|40)
0.001131222,1.0,(16|49)
0.001113586,1.0,(33|35)
0.001043841,1.0,(17|28)
0.001028807,1.0,(27|45)
0.0009990010,1.0,(31|31)
0.0009842520,1.0,(17|19)
0.0009551098,1.0,(19|34)
0.0009242144,1.0,(15|40)
