Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 295 | Tax Law-Partnership (jp:295,idx:144)
Class Probability,Ex Count at BMU,BMU Map Loc
0.08487085,23.0,(49|12)
0.08474576,5.0,(34|36)
0.08429119,22.0,(36|7)
0.08365759,43.0,(0|42)
0.08333334,1.0,(12|39)
0.08333334,2.0,(18|28)
0.08333334,11.0,(44|35)
0.08333334,11.0,(49|9)
0.08219178,6.0,(46|44)
0.08108108,6.0,(12|31)
0.08064516,15.0,(35|36)
0.08064516,20.0,(42|21)
0.08045977,28.0,(32|18)
0.07920792,8.0,(11|31)
0.07849830,23.0,(44|44)
0.07843138,8.0,(34|27)
0.07812500,10.0,(39|20)
0.07784431,13.0,(46|48)
0.07784431,13.0,(49|1)
0.07738096,13.0,(35|17)
0.07692308,10.0,(1|42)
0.07692308,1.0,(5|29)
0.07575758,5.0,(45|1)
0.07570978,24.0,(42|12)
0.07490636,20.0,(41|8)
0.07407407,6.0,(39|48)
0.07368421,7.0,(49|44)
0.07303371,13.0,(46|1)
0.07299270,10.0,(3|39)
0.07288630,25.0,(35|16)
0.07272727,4.0,(37|37)
0.07258064,9.0,(16|17)
0.07251909,19.0,(45|23)
0.07200000,9.0,(46|2)
0.07169811,19.0,(40|41)
0.07142857,25.0,(39|41)
0.07142857,21.0,(41|46)
0.07142857,18.0,(49|10)
0.07112971,17.0,(44|45)
0.07083333,17.0,(38|12)
0.07063197,19.0,(37|32)
0.07051282,11.0,(41|21)
0.07017544,4.0,(44|3)
0.07009346,15.0,(46|37)
0.07000000,28.0,(39|22)
0.06976745,12.0,(10|30)
0.06976745,15.0,(45|35)
0.06956521,16.0,(45|49)
0.06918239,33.0,(48|44)
0.06896552,10.0,(46|18)
0.06880734,15.0,(40|17)
0.06875000,11.0,(35|1)
0.06779661,32.0,(36|15)
0.06730770,14.0,(47|34)
0.06666667,1.0,(35|29)
0.06666667,9.0,(36|37)
0.06642067,18.0,(11|32)
0.06635071,28.0,(35|34)
0.06622516,10.0,(36|8)
0.06606606,22.0,(46|16)
0.06557377,16.0,(44|22)
0.06504065,8.0,(43|33)
0.06472492,20.0,(35|14)
0.06468531,37.0,(4|10)
0.06451613,22.0,(39|11)
0.06451613,10.0,(39|47)
0.06369427,10.0,(38|22)
0.06367041,17.0,(45|16)
0.06363636,7.0,(5|17)
0.06341463,26.0,(0|10)
0.06293707,9.0,(36|48)
0.06250000,1.0,(0|13)
0.06250000,1.0,(16|18)
0.06250000,7.0,(35|27)
0.06250000,8.0,(36|6)
0.06250000,2.0,(48|49)
0.06206897,9.0,(14|33)
0.06194690,14.0,(40|20)
0.06172840,5.0,(9|12)
0.06122449,3.0,(47|28)
0.06083650,16.0,(44|48)
0.06081081,9.0,(38|20)
0.06060606,2.0,(13|16)
0.06015038,8.0,(46|33)
0.05960265,9.0,(40|12)
0.05940594,6.0,(36|22)
0.05940594,12.0,(42|36)
0.05932203,7.0,(40|47)
0.05904059,16.0,(39|32)
0.05882353,1.0,(18|31)
0.05882353,9.0,(36|4)
0.05882353,23.0,(46|19)
0.05797102,4.0,(43|40)
0.05714286,4.0,(34|25)
0.05714286,14.0,(42|13)
0.05681818,10.0,(2|14)
0.05681818,5.0,(46|12)
0.05681818,5.0,(47|12)
0.05660377,3.0,(42|39)
0.05614035,16.0,(40|11)
0.05555556,11.0,(44|19)
0.05536332,16.0,(39|23)
0.05511811,14.0,(42|22)
0.05511811,7.0,(44|5)
0.05494506,5.0,(45|22)
0.05487805,9.0,(41|26)
0.05472637,11.0,(47|1)
0.05445544,11.0,(31|20)
0.05434782,10.0,(5|6)
0.05434782,5.0,(46|36)
0.05405406,10.0,(39|42)
0.05389221,9.0,(45|17)
0.05347594,10.0,(7|15)
0.05342466,39.0,(33|36)
0.05333333,12.0,(41|44)
0.05263158,2.0,(0|11)
0.05263158,1.0,(29|1)
0.05263158,2.0,(36|31)
0.05263158,8.0,(39|9)
0.05263158,7.0,(40|29)
0.05263158,2.0,(43|5)
0.05263158,1.0,(46|27)
0.05251142,23.0,(13|31)
0.05240175,12.0,(40|8)
0.05202312,9.0,(34|15)
0.05198777,17.0,(38|8)
0.05194805,4.0,(14|12)
0.05179283,13.0,(30|18)
0.05154639,5.0,(12|30)
0.05154639,10.0,(39|40)
0.05128205,8.0,(44|40)
0.05123340,27.0,(38|44)
0.05122494,23.0,(42|41)
0.05072464,14.0,(41|35)
0.05056180,9.0,(15|30)
0.05045871,11.0,(39|12)
0.05000000,1.0,(26|29)
0.05000000,3.0,(36|25)
0.04982206,14.0,(41|18)
0.04968944,8.0,(19|23)
0.04901961,5.0,(40|42)
0.04878049,18.0,(40|44)
0.04864865,9.0,(45|34)
0.04851752,18.0,(37|8)
0.04819277,16.0,(40|6)
0.04802260,17.0,(40|22)
0.04794521,7.0,(40|9)
0.04794521,7.0,(44|31)
0.04761905,1.0,(0|15)
0.04761905,1.0,(0|16)
0.04761905,3.0,(32|22)
0.04761905,9.0,(43|2)
0.04741379,11.0,(41|19)
0.04739337,10.0,(38|21)
0.04733728,8.0,(48|21)
0.04724409,12.0,(41|7)
0.04716981,5.0,(45|41)
0.04694836,10.0,(34|19)
0.04663213,9.0,(43|13)
0.04651163,2.0,(42|0)
0.04629629,5.0,(6|25)
0.04615385,6.0,(10|24)
0.04615385,18.0,(17|33)
0.04615385,9.0,(42|49)
0.04597701,12.0,(37|7)
0.04597701,4.0,(37|27)
0.04587156,10.0,(38|18)
0.04571429,8.0,(42|37)
0.04545455,6.0,(22|23)
0.04545455,6.0,(23|23)
0.04545455,10.0,(40|27)
0.04524887,10.0,(27|2)
0.04411765,3.0,(33|19)
0.04402516,7.0,(18|25)
0.04370180,17.0,(44|47)
0.04357298,20.0,(37|44)
0.04347826,1.0,(2|31)
0.04347826,13.0,(37|17)
0.04322767,15.0,(44|49)
0.04306220,9.0,(37|34)
0.04306220,18.0,(43|42)
0.04294479,7.0,(4|16)
0.04291845,10.0,(46|32)
0.04282116,17.0,(43|35)
0.04255319,2.0,(43|48)
0.04234528,13.0,(39|44)
0.04225352,3.0,(30|2)
0.04221636,16.0,(38|40)
0.04195804,6.0,(0|43)
0.04188482,8.0,(40|26)
0.04186046,9.0,(42|17)
0.04166667,4.0,(35|47)
0.04093567,7.0,(35|30)
0.04090909,9.0,(0|25)
0.04081633,6.0,(15|21)
0.04081633,4.0,(34|26)
0.04081633,2.0,(42|2)
0.04072398,9.0,(14|31)
0.04065040,5.0,(45|40)
0.04046243,7.0,(44|37)
0.04040404,20.0,(39|45)
0.04020100,16.0,(41|27)
0.04016064,10.0,(17|31)
0.04008909,36.0,(33|35)
0.04000000,1.0,(3|27)
0.04000000,1.0,(26|27)
0.03980099,8.0,(44|7)
0.03978300,22.0,(34|21)
0.03968254,5.0,(44|11)
0.03952569,30.0,(36|36)
0.03940887,8.0,(40|36)
0.03867403,7.0,(31|25)
0.03867403,7.0,(33|25)
0.03846154,3.0,(0|44)
0.03846154,10.0,(37|36)
0.03834808,13.0,(37|16)
0.03832753,11.0,(46|35)
0.03829787,9.0,(44|17)
0.03823530,13.0,(41|23)
0.03793104,11.0,(43|34)
0.03790614,21.0,(29|34)
0.03781513,9.0,(48|20)
0.03773585,2.0,(34|45)
0.03773585,2.0,(35|6)
0.03764706,16.0,(38|23)
0.03719008,9.0,(13|30)
0.03703704,2.0,(3|7)
0.03703704,3.0,(3|36)
0.03703704,2.0,(32|30)
0.03684210,14.0,(1|13)
0.03666667,11.0,(37|18)
0.03658536,3.0,(1|32)
0.03649635,5.0,(38|11)
0.03630363,11.0,(48|24)
0.03625378,12.0,(34|17)
0.03614458,3.0,(47|30)
0.03614458,3.0,(47|33)
0.03592815,12.0,(34|11)
0.03592815,12.0,(35|11)
0.03592815,6.0,(48|35)
0.03581267,13.0,(21|28)
0.03571429,5.0,(36|10)
0.03557312,9.0,(37|21)
0.03550296,6.0,(2|2)
0.03508772,2.0,(20|30)
0.03488372,6.0,(42|35)
0.03482587,7.0,(35|0)
0.03448276,5.0,(6|21)
0.03431373,7.0,(16|31)
0.03404255,8.0,(3|11)
0.03389831,2.0,(3|6)
0.03389831,2.0,(4|6)
0.03389831,2.0,(13|33)
0.03389831,12.0,(32|19)
0.03370786,3.0,(26|49)
0.03370786,3.0,(45|31)
0.03349282,7.0,(1|19)
0.03333334,1.0,(47|45)
0.03324100,12.0,(29|18)
0.03323263,11.0,(45|10)
0.03305785,12.0,(38|37)
0.03296703,3.0,(15|39)
0.03296703,3.0,(33|49)
0.03296703,3.0,(49|41)
0.03278688,2.0,(37|26)
0.03267974,5.0,(39|24)
0.03225806,4.0,(1|15)
0.03225806,7.0,(44|42)
0.03214286,27.0,(35|15)
0.03157895,9.0,(36|49)
0.03125000,3.0,(41|2)
0.03125000,1.0,(48|46)
0.03107345,11.0,(39|25)
0.03105590,5.0,(1|33)
0.03100775,4.0,(43|9)
0.03076923,6.0,(43|7)
0.03067485,5.0,(3|20)
0.03048781,5.0,(47|37)
0.03030303,1.0,(15|2)
0.03030303,6.0,(44|21)
0.03021978,11.0,(11|41)
0.03012048,5.0,(5|19)
