Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 108 | Intellectual Property (jp:108,idx:33)
Class Probability,Ex Count at BMU,BMU Map Loc
0.03614458,3.0,(47|30)
0.03561644,13.0,(17|12)
0.03514377,11.0,(48|6)
0.03508772,2.0,(9|40)
0.03508772,2.0,(32|4)
0.03508772,2.0,(33|3)
0.03488372,3.0,(8|0)
0.03488372,3.0,(21|10)
0.03488372,3.0,(47|7)
0.03474903,9.0,(33|15)
0.03448276,1.0,(8|41)
0.03448276,1.0,(11|33)
0.03448276,1.0,(16|33)
0.03428571,6.0,(3|18)
0.03300330,10.0,(29|43)
0.03278688,2.0,(16|22)
0.03225806,2.0,(4|45)
0.03225806,3.0,(48|34)
0.03174603,4.0,(1|8)
0.03174603,4.0,(2|7)
0.03174603,2.0,(23|24)
0.03125000,7.0,(21|45)
0.03125000,4.0,(27|48)
0.03125000,3.0,(28|46)
0.03125000,2.0,(49|4)
0.03111111,7.0,(15|36)
0.03097345,7.0,(15|35)
0.03076923,4.0,(10|24)
0.02985075,6.0,(17|22)
0.02962963,4.0,(2|43)
0.02962963,4.0,(2|44)
0.02955665,12.0,(19|12)
0.02955665,12.0,(20|12)
0.02941176,9.0,(4|9)
0.02941176,7.0,(30|4)
0.02941176,1.0,(30|39)
0.02893891,9.0,(33|6)
0.02816901,2.0,(11|27)
0.02808989,5.0,(31|10)
0.02777778,1.0,(30|48)
0.02758621,4.0,(14|33)
0.02755906,7.0,(32|6)
0.02727273,3.0,(31|0)
0.02702703,3.0,(9|14)
0.02643172,6.0,(4|8)
0.02631579,2.0,(14|17)
0.02614379,4.0,(31|1)
0.02554744,7.0,(32|15)
0.02538071,15.0,(33|9)
0.02500000,5.0,(2|36)
0.02500000,1.0,(7|6)
0.02500000,1.0,(25|38)
0.02482759,18.0,(27|0)
0.02469136,4.0,(32|9)
0.02409638,6.0,(17|31)
0.02342342,13.0,(46|5)
0.02342342,13.0,(47|4)
0.02342342,13.0,(47|5)
0.02325581,2.0,(15|14)
0.02325581,10.0,(19|5)
0.02325581,3.0,(30|11)
0.02298851,4.0,(1|27)
0.02293578,5.0,(0|38)
0.02293578,5.0,(0|39)
0.02272727,4.0,(9|30)
0.02272727,4.0,(28|3)
0.02203857,8.0,(25|46)
0.02197802,2.0,(15|39)
0.02189781,3.0,(13|29)
0.02183406,20.0,(33|40)
0.02173913,2.0,(8|32)
0.02164502,5.0,(1|9)
0.02164502,5.0,(2|9)
0.02150538,2.0,(22|36)
0.02127660,1.0,(6|5)
0.02127660,4.0,(15|31)
0.02105263,2.0,(1|17)
0.02105263,2.0,(2|16)
0.02105263,26.0,(25|45)
0.02099076,25.0,(30|38)
0.02056555,8.0,(21|6)
0.02047782,12.0,(25|31)
0.02047782,12.0,(31|37)
0.02047782,12.0,(32|38)
0.02040816,2.0,(1|4)
0.02000000,3.0,(16|13)
0.02000000,9.0,(23|34)
0.01960784,2.0,(11|1)
0.01960784,4.0,(28|8)
0.01950162,18.0,(31|47)
0.01937984,5.0,(16|40)
0.01935484,3.0,(13|5)
0.01923077,1.0,(23|46)
0.01923077,1.0,(28|0)
0.01917808,7.0,(27|36)
0.01886792,1.0,(10|20)
0.01886792,2.0,(12|22)
0.01886792,1.0,(17|39)
0.01869159,2.0,(3|49)
0.01851852,1.0,(18|21)
0.01785714,10.0,(0|26)
0.01785714,2.0,(4|47)
0.01785714,2.0,(4|48)
0.01785714,3.0,(13|4)
0.01785714,2.0,(22|1)
0.01775148,3.0,(9|41)
0.01754386,1.0,(15|17)
0.01754386,12.0,(30|36)
0.01741293,7.0,(15|37)
0.01739130,2.0,(27|49)
0.01724138,1.0,(12|13)
0.01724138,2.0,(29|10)
0.01709402,2.0,(0|14)
0.01702128,4.0,(3|11)
0.01694915,1.0,(13|33)
0.01690821,7.0,(32|39)
