Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 222 | Contracts (jp:222,idx:71)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01438849,2.0,(0|22)
0.01428571,2.0,(6|40)
0.01428571,1.0,(7|33)
0.01408451,2.0,(25|34)
0.01408451,2.0,(30|40)
0.01398601,2.0,(1|7)
0.01398601,2.0,(49|7)
0.01395349,3.0,(25|2)
0.01392111,6.0,(20|19)
0.01383551,18.0,(29|36)
0.01379310,2.0,(6|21)
0.01379310,4.0,(25|36)
0.01379310,2.0,(26|26)
0.01377953,14.0,(17|19)
0.01376147,3.0,(49|37)
0.01369863,1.0,(12|0)
0.01369863,2.0,(16|5)
0.01369863,1.0,(29|0)
0.01360544,2.0,(15|21)
0.01351351,1.0,(13|20)
0.01351351,4.0,(19|22)
0.01346801,4.0,(29|35)
0.01345291,3.0,(1|20)
0.01342282,2.0,(7|37)
0.01327434,3.0,(8|19)
0.01324503,2.0,(18|45)
0.01324503,2.0,(23|48)
0.01318267,7.0,(20|20)
0.01315789,4.0,(28|43)
0.01304348,3.0,(23|20)
0.01287554,3.0,(26|18)
0.01282051,5.0,(17|33)
0.01282051,5.0,(23|45)
0.01282051,2.0,(24|18)
0.01282051,1.0,(34|9)
0.01282051,2.0,(49|5)
0.01265823,1.0,(10|42)
0.01265823,8.0,(28|5)
0.01257862,2.0,(18|25)
0.01253918,4.0,(1|35)
0.01236476,8.0,(15|19)
0.01234568,1.0,(3|36)
0.01234568,1.0,(3|38)
0.01234568,2.0,(32|13)
0.01219512,1.0,(0|47)
0.01209677,3.0,(25|15)
0.01204819,2.0,(5|19)
0.01204819,3.0,(17|31)
0.01204819,2.0,(26|47)
0.01197605,2.0,(20|6)
0.01197605,2.0,(24|7)
0.01190476,2.0,(3|33)
0.01190476,3.0,(29|40)
0.01176471,1.0,(30|1)
0.01171875,3.0,(4|18)
0.01162791,1.0,(47|7)
0.01131687,11.0,(27|45)
0.01127820,3.0,(5|41)
0.01123596,3.0,(28|12)
0.01123596,1.0,(29|8)
0.01123596,2.0,(31|7)
0.01111111,3.0,(6|19)
0.01111111,1.0,(7|26)
0.01098901,2.0,(0|9)
0.01096892,6.0,(16|29)
0.01094890,3.0,(17|17)
0.01086957,2.0,(6|9)
0.01086957,1.0,(8|17)
0.01086957,3.0,(16|20)
0.01086957,1.0,(27|8)
0.01070664,5.0,(12|28)
0.01063830,1.0,(4|40)
