Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 58 | State Income (jp:58,idx:9)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01382488,3.0,(40|0)
0.01376147,3.0,(40|17)
0.01372756,13.0,(33|37)
0.01361868,7.0,(0|42)
0.01360544,2.0,(5|37)
0.01351351,4.0,(49|18)
0.01333333,3.0,(39|16)
0.01315789,1.0,(21|4)
0.01315789,2.0,(40|4)
0.01315789,1.0,(43|27)
0.01290323,2.0,(40|43)
0.01261830,4.0,(42|12)
0.01255230,3.0,(38|17)
0.01250000,2.0,(34|22)
0.01250000,2.0,(43|14)
0.01197605,2.0,(45|17)
0.01190476,1.0,(41|40)
0.01176471,3.0,(29|20)
0.01176471,1.0,(41|0)
0.01176471,1.0,(48|3)
0.01166181,4.0,(49|19)
0.01136364,1.0,(31|28)
0.01129944,2.0,(44|12)
0.01104972,2.0,(40|13)
0.01104972,2.0,(41|14)
0.01095890,8.0,(33|36)
0.01079914,5.0,(46|46)
0.01075269,2.0,(38|15)
0.01075269,3.0,(43|11)
0.01052632,3.0,(36|11)
0.01025641,2.0,(28|18)
0.01025641,2.0,(29|17)
0.01025641,2.0,(40|14)
0.01022147,6.0,(38|32)
0.01020408,2.0,(40|18)
0.01015228,4.0,(39|30)
0.009900990,2.0,(31|20)
0.009900990,2.0,(42|36)
0.009803922,1.0,(34|27)
0.009569378,2.0,(42|20)
0.009389671,2.0,(19|24)
0.009216590,2.0,(44|42)
0.009174312,2.0,(38|18)
0.009111618,4.0,(43|23)
0.009063444,3.0,(45|10)
0.008928572,1.0,(22|1)
0.008849557,3.0,(37|16)
0.008810572,2.0,(15|34)
0.008733625,2.0,(39|15)
0.008658009,2.0,(0|49)
0.008522728,3.0,(49|16)
0.008230452,2.0,(39|29)
0.008196721,2.0,(37|12)
0.008196721,2.0,(40|15)
0.008064516,2.0,(43|15)
0.007936508,1.0,(32|20)
0.007936508,1.0,(44|11)
0.007905139,2.0,(37|21)
0.007874016,2.0,(42|22)
0.007792208,3.0,(37|30)
0.007692308,1.0,(1|42)
0.007633588,2.0,(45|23)
0.007575758,1.0,(48|2)
0.007380074,2.0,(49|12)
0.007317073,3.0,(0|10)
0.007246377,2.0,(33|4)
0.007246377,2.0,(34|5)
0.007246377,2.0,(42|8)
0.006896552,2.0,(31|46)
0.006884682,4.0,(39|0)
0.006734007,2.0,(36|12)
0.006666667,2.0,(42|7)
0.006600660,2.0,(48|24)
0.006557377,2.0,(33|22)
0.006514658,2.0,(39|18)
0.006430868,2.0,(35|19)
0.006410256,2.0,(45|14)
0.006309148,2.0,(46|49)
0.006269592,2.0,(47|16)
0.006250000,1.0,(35|10)
0.006097561,2.0,(41|4)
0.005830904,2.0,(35|16)
0.005649718,2.0,(39|28)
0.005633803,2.0,(34|30)
0.005424955,3.0,(34|21)
0.005405406,1.0,(26|45)
0.005376344,1.0,(38|6)
0.005263158,1.0,(42|38)
0.005154639,2.0,(29|27)
0.004975124,1.0,(32|26)
0.004784689,2.0,(43|42)
0.004716981,1.0,(41|13)
0.004694836,1.0,(25|47)
0.004651163,1.0,(42|17)
0.004524887,1.0,(45|7)
0.004184100,1.0,(44|45)
0.004065040,2.0,(27|37)
0.004048583,1.0,(41|22)
0.004048583,1.0,(43|12)
0.003992016,4.0,(35|20)
0.003921569,1.0,(43|10)
0.003875969,1.0,(35|32)
0.003875969,1.0,(36|30)
0.003861004,1.0,(38|30)
0.003802281,1.0,(40|16)
0.003717472,1.0,(37|20)
0.003717472,1.0,(37|32)
0.003710575,2.0,(38|41)
0.003546099,1.0,(17|25)
0.003466205,2.0,(12|4)
0.003448276,2.0,(18|22)
0.003424658,1.0,(40|48)
0.003378378,1.0,(34|0)
0.003311258,1.0,(43|47)
0.003278689,1.0,(34|23)
0.003246753,2.0,(49|11)
0.003205128,1.0,(34|13)
0.003205128,1.0,(35|13)
0.003134796,1.0,(48|1)
0.003048780,1.0,(40|40)
0.002754821,1.0,(10|39)
0.002695418,1.0,(43|26)
0.002638523,1.0,(38|40)
0.002570694,1.0,(21|6)
0.002525253,1.0,(38|45)
0.002500000,1.0,(40|19)
0.002450980,2.0,(28|28)
0.002369668,1.0,(35|34)
0.002079002,1.0,(32|25)
0.002020202,1.0,(39|45)
0.001956947,1.0,(6|28)
0.001879699,1.0,(27|41)
0.001531394,1.0,(18|27)
0.001455604,1.0,(9|27)
0.001447178,1.0,(39|38)
0.001191895,1.0,(41|38)
0.001166861,1.0,(31|29)
0.001092299,2.0,(34|35)
0.0009990010,1.0,(31|31)
0.0008849557,2.0,(34|24)
0.0007616146,1.0,(32|35)
