Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 198 | Corporate Finance (jp:198,idx:53)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01554404,3.0,(10|8)
0.01552795,5.0,(25|0)
0.01544402,4.0,(5|4)
0.01538462,4.0,(7|36)
0.01538462,3.0,(12|20)
0.01538462,4.0,(13|14)
0.01515152,1.0,(21|21)
0.01511879,7.0,(46|46)
0.01503759,8.0,(27|41)
0.01503759,4.0,(39|8)
0.01481481,2.0,(12|32)
0.01481481,2.0,(36|37)
0.01481481,2.0,(46|34)
0.01481481,2.0,(47|35)
0.01477833,3.0,(2|20)
0.01477833,3.0,(10|7)
0.01477833,9.0,(26|0)
0.01470588,3.0,(15|16)
0.01466993,6.0,(48|15)
0.01449275,1.0,(43|40)
0.01449275,2.0,(49|40)
0.01442308,3.0,(47|34)
0.01440329,14.0,(27|45)
0.01435407,6.0,(43|42)
0.01433692,8.0,(11|20)
0.01428571,2.0,(10|49)
0.01428571,1.0,(12|14)
0.01421801,3.0,(31|19)
0.01418440,2.0,(45|48)
0.01417004,7.0,(10|34)
0.01408451,1.0,(1|25)
0.01408451,1.0,(20|33)
0.01408451,1.0,(42|42)
0.01408451,1.0,(47|47)
0.01408451,1.0,(49|49)
0.01398601,2.0,(1|7)
0.01398601,2.0,(49|7)
0.01392111,6.0,(0|1)
0.01392111,6.0,(0|2)
0.01388889,2.0,(9|11)
0.01375246,14.0,(21|31)
0.01369863,2.0,(23|26)
0.01369863,1.0,(46|44)
0.01364522,7.0,(41|48)
0.01363636,3.0,(1|22)
0.01363636,3.0,(6|18)
0.01363636,6.0,(29|24)
0.01355014,5.0,(2|24)
0.01351351,1.0,(32|49)
0.01351351,2.0,(46|47)
0.01339286,3.0,(16|15)
0.01339286,3.0,(24|37)
0.01333333,2.0,(45|18)
0.01327434,3.0,(8|19)
0.01315789,1.0,(10|26)
0.01290323,2.0,(8|12)
0.01290323,2.0,(40|43)
0.01288660,5.0,(9|5)
0.01260504,6.0,(10|23)
0.01255230,3.0,(44|45)
0.01253918,4.0,(1|35)
0.01244813,6.0,(21|33)
0.01235839,12.0,(19|31)
0.01234568,1.0,(12|35)
0.01218369,13.0,(28|36)
0.01214575,6.0,(15|33)
0.01204819,2.0,(29|45)
0.01201479,13.0,(15|40)
0.01190476,2.0,(0|27)
0.01190476,1.0,(41|40)
0.01176471,1.0,(8|18)
0.01176471,1.0,(21|15)
0.01176471,1.0,(35|42)
0.01171875,3.0,(26|37)
0.01169591,2.0,(48|33)
0.01167315,3.0,(31|49)
0.01162791,1.0,(15|14)
0.01162791,1.0,(47|7)
0.01160093,10.0,(19|32)
0.01159420,4.0,(48|47)
0.01156069,4.0,(27|32)
0.01149425,2.0,(1|27)
0.01149425,1.0,(20|14)
0.01136364,1.0,(45|33)
0.01136364,3.0,(47|14)
0.01123596,2.0,(8|4)
0.01123596,1.0,(26|49)
0.01107011,3.0,(2|19)
0.01104972,2.0,(31|25)
0.01104972,2.0,(33|25)
0.01102941,3.0,(18|39)
0.01098901,1.0,(15|39)
0.01098901,1.0,(33|49)
0.01095890,4.0,(27|36)
0.01095890,8.0,(33|36)
0.01094890,3.0,(17|17)
0.01081081,2.0,(39|42)
0.01075269,1.0,(4|22)
0.01071429,3.0,(28|48)
0.01059001,7.0,(29|28)
0.01055409,4.0,(38|40)
0.01052632,2.0,(48|48)
0.01049475,7.0,(20|27)
0.01048951,3.0,(15|6)
0.01041667,2.0,(20|25)
0.01041667,1.0,(22|20)
0.01041667,3.0,(42|3)
0.01030928,1.0,(15|11)
0.01027397,3.0,(28|47)
0.01025641,4.0,(17|33)
0.01020408,2.0,(16|26)
0.01020408,2.0,(18|35)
0.01020408,2.0,(36|19)
0.01016260,5.0,(27|37)
0.01015228,4.0,(16|35)
0.01010101,2.0,(44|19)
0.01010101,2.0,(44|21)
0.01000000,2.0,(17|24)
0.009922823,9.0,(29|47)
0.009900990,2.0,(8|9)
0.009900990,2.0,(42|36)
0.009803922,1.0,(11|1)
0.009756098,2.0,(15|7)
0.009708738,1.0,(6|15)
0.009708738,1.0,(27|31)
0.009646302,3.0,(33|6)
0.009523810,1.0,(28|44)
0.009493670,3.0,(42|16)
0.009478673,2.0,(27|1)
0.009416196,5.0,(20|20)
0.009389671,2.0,(12|29)
0.009389671,2.0,(19|24)
0.009345794,1.0,(3|49)
0.009276438,5.0,(38|41)
0.009259259,1.0,(5|46)
0.009259259,1.0,(11|47)
0.009250694,10.0,(26|35)
0.009202454,3.0,(35|18)
0.009174312,1.0,(21|27)
0.009174312,1.0,(31|3)
0.009090909,1.0,(0|7)
0.009090909,1.0,(4|36)
0.009090909,3.0,(17|27)
0.009009009,1.0,(9|14)
0.009009009,2.0,(48|13)
0.008968610,2.0,(12|2)
0.008944544,5.0,(28|29)
0.008928572,1.0,(22|1)
0.008849557,1.0,(22|30)
0.008771930,1.0,(2|22)
0.008771930,2.0,(9|26)
0.008771930,1.0,(22|24)
0.008720931,3.0,(22|0)
0.008720931,3.0,(38|16)
0.008714597,4.0,(37|44)
0.008645534,3.0,(47|17)
0.008620690,1.0,(30|42)
0.008620690,3.0,(32|18)
0.008620690,2.0,(49|36)
0.008571428,3.0,(39|41)
0.008510638,2.0,(3|11)
0.008474576,1.0,(24|1)
0.008403362,2.0,(48|20)
0.008333334,1.0,(5|42)
0.008333334,1.0,(11|10)
0.008264462,1.0,(4|26)
0.008264462,2.0,(44|13)
0.008253095,6.0,(26|41)
0.008213553,4.0,(28|6)
0.008174387,3.0,(37|23)
0.008130081,1.0,(7|3)
0.008130081,3.0,(25|28)
0.008130081,1.0,(45|40)
0.008121828,8.0,(23|37)
0.007936508,1.0,(32|20)
0.007905139,4.0,(25|12)
0.007843138,2.0,(6|11)
0.007843138,2.0,(7|11)
0.007751938,2.0,(16|40)
0.007712082,3.0,(21|6)
0.007692308,1.0,(19|19)
0.007692308,6.0,(24|33)
0.007692308,2.0,(37|36)
0.007662835,2.0,(37|9)
0.007633588,2.0,(35|43)
0.007633588,2.0,(38|13)
0.007604563,2.0,(44|48)
0.007590133,4.0,(38|44)
0.007575758,1.0,(1|2)
0.007575758,1.0,(2|18)
0.007575758,1.0,(4|33)
0.007575758,4.0,(19|18)
0.007575758,2.0,(49|46)
0.007518797,15.0,(22|35)
0.007518797,2.0,(43|22)
0.007462686,2.0,(3|15)
0.007462686,3.0,(15|37)
0.007407407,2.0,(24|32)
0.007299270,1.0,(37|43)
0.007299270,1.0,(38|11)
0.007287449,9.0,(25|45)
0.007194245,1.0,(43|39)
0.007142857,2.0,(4|27)
0.007142857,1.0,(5|26)
0.007092198,2.0,(17|25)
0.007067138,2.0,(22|29)
0.007042253,1.0,(25|34)
0.006960557,3.0,(20|19)
0.006896552,2.0,(31|46)
0.006896552,2.0,(43|34)
0.006802721,1.0,(5|21)
0.006718925,6.0,(23|33)
0.006666667,1.0,(3|19)
0.006666667,2.0,(29|46)
0.006644518,2.0,(40|7)
0.006622517,2.0,(18|6)
0.006622517,2.0,(27|16)
0.006622517,1.0,(36|8)
0.006607930,3.0,(18|15)
0.006600660,2.0,(29|43)
0.006578947,2.0,(27|24)
0.006578947,1.0,(49|32)
0.006535948,1.0,(10|37)
0.006535948,1.0,(48|12)
0.006451613,1.0,(33|44)
0.006423983,3.0,(12|28)
0.006410256,2.0,(27|26)
0.006369427,1.0,(5|23)
0.006369427,1.0,(38|22)
0.006349206,2.0,(49|42)
0.006309148,2.0,(46|49)
0.006289308,1.0,(3|23)
0.006269592,2.0,(47|16)
0.006250000,1.0,(35|10)
0.006172840,1.0,(8|10)
0.006172840,1.0,(41|43)
0.006024096,1.0,(12|23)
0.006015038,4.0,(35|44)
0.006012024,3.0,(36|23)
0.006006006,2.0,(20|42)
0.005988024,1.0,(44|33)
0.005964215,3.0,(25|32)
0.005952381,1.0,(13|4)
0.005917160,1.0,(9|41)
0.005870841,3.0,(6|28)
0.005793743,5.0,(6|3)
0.005780347,1.0,(44|37)
