Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 398 | RP Finance-Lending (jp:398,idx:233)
Class Probability,Ex Count at BMU,BMU Map Loc
0.04285714,6.0,(0|20)
0.04285714,3.0,(12|14)
0.04255319,4.0,(16|19)
0.04230769,11.0,(22|25)
0.04225352,3.0,(20|33)
0.04210526,12.0,(12|11)
0.04166667,2.0,(46|43)
0.04117647,7.0,(9|10)
0.04102564,8.0,(9|8)
0.04081633,6.0,(15|21)
0.04076087,15.0,(2|12)
0.04054054,3.0,(49|25)
0.04014599,11.0,(17|17)
0.04008909,18.0,(42|41)
0.04000000,6.0,(3|19)
0.04000000,1.0,(3|27)
0.04000000,2.0,(5|47)
0.03964758,9.0,(4|8)
0.03947368,3.0,(16|24)
0.03940887,8.0,(48|7)
0.03932584,7.0,(8|4)
0.03921569,8.0,(16|31)
0.03913043,9.0,(7|7)
0.03863636,17.0,(29|24)
0.03862661,9.0,(5|24)
0.03846154,1.0,(17|18)
0.03787879,5.0,(2|18)
0.03773585,2.0,(0|18)
0.03676471,5.0,(10|10)
0.03636364,2.0,(10|41)
0.03619910,8.0,(7|9)
0.03589744,7.0,(12|20)
0.03587444,8.0,(1|20)
0.03571429,5.0,(5|28)
0.03571429,1.0,(10|31)
0.03546099,5.0,(1|28)
0.03500000,7.0,(17|24)
0.03463203,8.0,(1|9)
0.03463203,8.0,(2|9)
0.03448276,7.0,(2|20)
0.03424658,5.0,(29|48)
0.03414634,7.0,(9|9)
0.03409091,6.0,(8|7)
0.03398058,7.0,(1|10)
0.03398058,7.0,(2|10)
0.03375527,8.0,(12|10)
0.03361345,4.0,(9|25)
0.03349282,7.0,(1|19)
0.03333334,5.0,(45|18)
0.03321033,9.0,(11|32)
0.03314917,6.0,(10|27)
0.03278688,2.0,(26|23)
0.03266332,13.0,(10|29)
0.03241650,33.0,(21|31)
0.03225806,1.0,(9|35)
0.03212851,8.0,(17|31)
0.03191489,6.0,(15|31)
0.03174603,2.0,(3|13)
0.03164557,5.0,(26|28)
0.03157895,3.0,(1|17)
0.03157895,3.0,(2|16)
0.03149606,4.0,(48|4)
0.03125000,6.0,(3|37)
0.03125000,2.0,(11|26)
0.03125000,4.0,(15|28)
0.03125000,7.0,(16|15)
0.03125000,6.0,(20|25)
0.03083701,7.0,(43|37)
0.03082192,9.0,(15|26)
0.03030303,7.0,(0|49)
0.03015075,6.0,(7|10)
0.02978723,7.0,(3|11)
0.02962963,8.0,(13|18)
0.02941176,4.0,(21|7)
0.02923977,5.0,(5|36)
0.02898551,4.0,(14|23)
0.02898551,8.0,(16|20)
0.02857143,3.0,(11|28)
0.02797203,4.0,(1|7)
0.02797203,4.0,(49|7)
0.02777778,1.0,(14|14)
0.02752294,3.0,(6|32)
0.02752294,3.0,(10|15)
0.02752294,3.0,(21|26)
0.02739726,12.0,(19|16)
0.02727273,3.0,(0|7)
0.02666667,2.0,(3|9)
0.02666667,2.0,(5|9)
0.02661597,7.0,(5|10)
0.02661597,7.0,(5|11)
0.02631579,1.0,(22|46)
0.02597403,2.0,(14|12)
0.02580645,4.0,(8|12)
0.02573529,7.0,(30|25)
0.02558140,11.0,(18|29)
0.02542373,3.0,(7|45)
0.02531646,2.0,(12|9)
0.02481390,10.0,(25|26)
0.02439024,10.0,(0|10)
0.02439024,2.0,(1|32)
0.02439024,3.0,(7|14)
0.02439024,1.0,(35|33)
0.02419355,6.0,(15|23)
0.02419355,3.0,(17|15)
0.02409638,4.0,(29|45)
0.02380952,1.0,(8|42)
0.02380952,3.0,(11|18)
0.02358491,5.0,(11|9)
0.02352941,4.0,(18|17)
0.02352941,2.0,(21|15)
0.02351624,21.0,(23|33)
0.02325581,2.0,(4|11)
0.02325581,2.0,(4|12)
0.02325581,1.0,(27|46)
0.02314815,5.0,(20|32)
0.02298851,2.0,(19|30)
0.02298851,2.0,(20|14)
0.02297090,15.0,(18|27)
0.02234637,4.0,(2|39)
0.02222222,3.0,(12|32)
0.02222222,10.0,(23|34)
0.02222222,1.0,(45|44)
0.02197802,2.0,(45|28)
0.02197802,2.0,(49|41)
0.02173913,1.0,(16|32)
0.02153846,7.0,(20|31)
0.02150538,4.0,(10|9)
0.02127660,1.0,(21|24)
0.02127660,4.0,(28|23)
0.02127660,2.0,(47|9)
0.02083333,3.0,(9|11)
0.02072539,4.0,(10|8)
0.02067669,11.0,(9|7)
0.02061856,4.0,(39|40)
0.02047782,6.0,(44|44)
0.02040816,4.0,(4|7)
0.02040816,1.0,(16|14)
0.02040816,1.0,(47|28)
0.02020202,4.0,(44|19)
0.02010724,15.0,(3|22)
0.02000000,3.0,(11|11)
0.01997147,14.0,(21|30)
0.01980198,4.0,(8|9)
0.01980198,2.0,(11|31)
0.01980198,2.0,(46|31)
0.01964286,11.0,(0|26)
0.01960784,5.0,(8|8)
0.01960784,2.0,(25|27)
0.01923077,2.0,(14|29)
0.01910828,6.0,(27|30)
0.01886792,1.0,(10|20)
0.01886792,1.0,(11|43)
0.01886792,1.0,(14|15)
0.01869159,2.0,(3|49)
0.01863354,3.0,(19|23)
0.01851852,1.0,(3|21)
0.01851852,2.0,(4|25)
0.01851852,3.0,(8|10)
0.01851852,2.0,(11|47)
0.01834862,4.0,(0|38)
0.01834862,4.0,(0|39)
0.01818182,2.0,(4|36)
0.01785714,1.0,(37|5)
0.01775148,3.0,(2|2)
0.01766784,5.0,(44|34)
0.01754386,1.0,(20|30)
0.01740139,15.0,(19|32)
0.01724138,1.0,(12|13)
0.01724138,10.0,(18|22)
0.01724138,2.0,(41|41)
0.01712329,5.0,(40|48)
0.01704546,3.0,(9|30)
0.01666667,2.0,(3|34)
0.01652892,2.0,(26|2)
0.01648352,3.0,(27|27)
0.01639344,2.0,(9|16)
0.01639344,1.0,(27|33)
0.01626016,6.0,(25|28)
0.01626016,2.0,(33|11)
0.01612903,2.0,(1|3)
0.01612903,2.0,(1|15)
0.01612903,2.0,(49|3)
0.01587302,1.0,(1|12)
0.01587302,1.0,(2|11)
0.01587302,1.0,(2|13)
0.01587302,1.0,(3|12)
0.01562500,1.0,(11|16)
0.01562500,1.0,(12|48)
0.01547117,11.0,(14|25)
0.01538462,2.0,(1|42)
0.01530612,6.0,(23|10)
0.01515152,5.0,(17|27)
0.01511335,6.0,(13|22)
0.01496259,6.0,(32|3)
0.01492537,3.0,(17|22)
0.01477833,3.0,(6|4)
0.01477833,3.0,(10|7)
0.01470588,2.0,(2|8)
0.01467505,7.0,(48|44)
0.01440922,5.0,(11|8)
0.01435407,3.0,(6|10)
0.01428571,4.0,(4|27)
0.01428571,2.0,(22|48)
0.01408451,5.0,(0|30)
0.01408451,3.0,(12|29)
0.01408451,1.0,(29|30)
0.01408451,2.0,(32|8)
0.01408451,1.0,(42|42)
0.01398601,8.0,(4|10)
0.01388889,4.0,(11|24)
0.01379310,2.0,(14|33)
0.01369863,2.0,(23|26)
0.01360544,4.0,(41|46)
0.01351351,1.0,(12|31)
0.01351351,4.0,(49|18)
0.01315789,1.0,(10|26)
0.01315789,2.0,(14|19)
0.01298701,2.0,(12|21)
0.01294498,4.0,(26|22)
0.01287554,3.0,(26|18)
0.01282051,5.0,(17|33)
0.01282051,4.0,(27|26)
0.01282051,2.0,(44|40)
0.01277955,4.0,(48|6)
0.01257862,2.0,(18|25)
0.01250000,1.0,(7|46)
0.01250000,1.0,(11|13)
0.01250000,1.0,(43|38)
0.01234568,1.0,(22|5)
0.01219512,1.0,(12|16)
0.01212121,2.0,(14|22)
0.01204819,1.0,(47|30)
0.01190476,1.0,(41|40)
0.01184834,5.0,(35|34)
0.01183432,2.0,(9|41)
0.01178782,6.0,(10|21)
0.01171875,3.0,(26|37)
0.01162791,2.0,(6|41)
0.01153846,3.0,(13|14)
0.01149425,1.0,(18|26)
0.01149425,2.0,(29|49)
0.01142857,2.0,(13|23)
0.01136364,2.0,(7|5)
0.01132075,3.0,(21|20)
0.01132075,3.0,(40|41)
0.01123596,1.0,(26|49)
0.01111111,1.0,(11|30)
0.01111111,2.0,(20|7)
0.01111111,3.0,(24|32)
0.01101928,4.0,(25|46)
0.01098901,2.0,(0|9)
0.01098901,1.0,(9|28)
0.01098901,1.0,(13|11)
0.01098901,1.0,(15|39)
0.01090909,3.0,(13|41)
0.01086957,1.0,(8|32)
0.01081917,7.0,(15|19)
0.01081081,2.0,(26|45)
0.01075269,1.0,(4|22)
0.01075269,6.0,(11|20)
0.01072386,4.0,(21|46)
0.01063830,2.0,(10|45)
0.01063830,4.0,(31|2)
0.01063830,2.0,(43|16)
0.01063830,1.0,(49|26)
0.01060071,3.0,(22|29)
0.01054852,5.0,(32|41)
0.01052632,2.0,(25|21)
0.01050420,5.0,(10|23)
0.01047120,2.0,(3|35)
0.01041667,3.0,(9|31)
0.01036269,2.0,(5|35)
0.01030928,3.0,(23|4)
0.01025641,2.0,(48|17)
0.01020408,1.0,(34|26)
0.01015228,2.0,(6|38)
0.01006711,3.0,(49|15)
0.009803922,1.0,(2|30)
0.009646302,3.0,(15|24)
0.009469697,5.0,(19|18)
0.009433962,3.0,(25|25)
0.009404388,3.0,(49|17)
0.009389671,2.0,(19|24)
0.009296149,7.0,(4|24)
0.009287925,3.0,(24|28)
0.009077156,6.0,(29|28)
0.008944544,5.0,(28|29)
0.008928572,2.0,(6|30)
0.008869180,4.0,(9|33)
0.008849557,1.0,(8|48)
0.008733625,2.0,(14|4)
0.008667389,8.0,(31|47)
0.008665511,5.0,(12|4)
0.008620690,1.0,(26|20)
0.008547009,1.0,(0|14)
0.008517887,5.0,(29|29)
0.008474576,1.0,(14|20)
0.008474576,1.0,(47|6)
0.008426966,3.0,(22|32)
0.008403362,1.0,(15|32)
0.008333334,1.0,(11|10)
0.008310249,3.0,(17|29)
0.008298756,4.0,(21|33)
0.008264462,1.0,(0|3)
0.008264462,1.0,(10|2)
0.008238929,8.0,(19|31)
0.008196721,1.0,(22|7)
0.008130081,1.0,(8|36)
0.008130081,1.0,(45|40)
0.008064516,1.0,(13|32)
0.008064516,2.0,(19|27)
0.008016032,4.0,(14|32)
0.007952286,4.0,(21|34)
0.007936508,1.0,(2|45)
0.007936508,1.0,(10|22)
0.007915568,3.0,(28|22)
0.007717751,7.0,(29|47)
0.007692308,1.0,(1|18)
0.007633588,2.0,(16|44)
0.007604563,2.0,(24|26)
0.007575758,1.0,(22|23)
0.007575758,1.0,(23|23)
0.007518797,3.0,(21|22)
0.007490637,2.0,(27|4)
0.007448790,4.0,(46|38)
0.007407407,1.0,(2|43)
0.007407407,1.0,(2|44)
0.007407407,1.0,(45|4)
0.007334963,3.0,(11|35)
0.007299270,1.0,(27|20)
0.007246377,1.0,(45|30)
0.007246377,1.0,(49|40)
0.007092198,1.0,(11|15)
0.006993007,1.0,(0|43)
0.006993007,2.0,(24|25)
0.006993007,1.0,(36|48)
0.006849315,3.0,(13|31)
0.006793478,5.0,(14|24)
0.006756757,2.0,(19|22)
0.006666667,1.0,(16|13)
0.006622517,1.0,(23|48)
0.006578947,2.0,(21|47)
0.006578947,3.0,(32|43)
0.006557377,2.0,(33|22)
0.006535948,1.0,(48|12)
0.006423983,3.0,(8|35)
0.006396588,3.0,(22|28)
0.006389776,2.0,(14|27)
0.006369427,1.0,(24|38)
0.006369427,1.0,(38|22)
0.006309148,2.0,(14|6)
0.006263048,3.0,(5|43)
0.006172840,1.0,(41|43)
0.006134969,1.0,(5|33)
0.006097561,1.0,(22|9)
0.006097561,2.0,(40|40)
0.006079027,2.0,(26|8)
0.006072875,3.0,(15|33)
0.006024096,1.0,(12|23)
0.006024096,1.0,(26|47)
0.005988024,1.0,(44|33)
0.005917160,1.0,(15|5)
0.005847953,1.0,(30|19)
0.005836576,3.0,(0|42)
0.005797102,2.0,(48|47)
0.005714286,1.0,(7|34)
0.005681818,1.0,(28|3)
0.005649718,2.0,(40|22)
0.005649718,2.0,(43|30)
0.005649718,2.0,(44|30)
0.005617978,1.0,(15|30)
0.005565863,3.0,(16|28)
0.005555556,3.0,(17|32)
0.005545286,3.0,(4|21)
0.005405406,1.0,(39|42)
0.005405406,3.0,(46|5)
0.005405406,3.0,(47|4)
0.005405406,3.0,(47|5)
0.005376344,1.0,(23|31)
0.005263158,1.0,(45|5)
0.005208333,1.0,(8|37)
0.005181347,2.0,(41|37)
0.005167959,2.0,(26|4)
0.005141388,2.0,(21|6)
0.005102041,1.0,(34|20)
0.005076142,2.0,(16|35)
0.005063291,2.0,(20|17)
0.005037783,2.0,(0|37)
0.005025126,1.0,(23|22)
0.004975124,1.0,(0|5)
0.004975124,2.0,(15|37)
0.004950495,3.0,(26|33)
0.004926108,3.0,(26|0)
0.004901961,4.0,(28|24)
0.004854369,1.0,(13|28)
0.004842615,2.0,(25|22)
0.004819277,4.0,(24|30)
0.004819277,4.0,(24|31)
0.004796163,2.0,(21|16)
0.004694836,1.0,(15|29)
0.004694836,1.0,(25|47)
0.004683841,2.0,(20|8)
0.004683841,2.0,(28|2)
0.004683841,6.0,(47|49)
0.004672897,1.0,(23|25)
0.004651163,1.0,(45|35)
0.004608295,1.0,(21|43)
0.004608295,1.0,(22|16)
0.004587156,1.0,(49|37)
0.004545454,1.0,(0|25)
0.004545454,1.0,(11|17)
0.004504505,1.0,(48|13)
0.004484305,1.0,(48|43)
0.004444445,1.0,(41|44)
0.004424779,1.0,(40|20)
0.004405286,2.0,(18|15)
0.004385965,1.0,(4|38)
0.004264392,2.0,(22|13)
0.004219409,1.0,(24|21)
0.004201681,1.0,(16|36)
0.004184100,1.0,(34|44)
0.004175365,4.0,(17|28)
0.004149378,1.0,(15|22)
0.004098360,1.0,(44|22)
0.004065040,1.0,(12|24)
0.003952569,2.0,(25|30)
0.003891051,1.0,(31|49)
0.003861004,1.0,(5|4)
0.003846154,3.0,(24|33)
0.003802281,1.0,(36|43)
0.003795066,2.0,(28|33)
0.003766478,2.0,(0|21)
0.003766478,2.0,(49|21)
0.003759399,1.0,(5|41)
0.003759399,1.0,(14|28)
0.003752345,2.0,(38|43)
0.003656307,2.0,(16|29)
0.003623188,1.0,(33|4)
0.003623188,1.0,(34|5)
0.003610108,2.0,(29|34)
0.003546099,1.0,(11|23)
0.003508772,1.0,(17|21)
0.003496503,1.0,(15|6)
0.003484321,1.0,(1|1)
0.003460208,1.0,(39|23)
0.003395586,2.0,(17|40)
0.003395586,2.0,(22|39)
0.003184713,1.0,(29|25)
0.003134796,1.0,(33|26)
0.003134796,1.0,(34|12)
0.003125000,1.0,(13|46)
0.003115265,1.0,(23|13)
0.003086420,3.0,(27|45)
0.003048780,1.0,(39|37)
0.003007519,6.0,(22|35)
0.003003003,1.0,(30|46)
0.003003003,1.0,(46|16)
0.002958580,1.0,(13|3)
0.002906977,1.0,(22|0)
0.002865330,1.0,(24|22)
0.002851034,4.0,(20|39)
0.002832861,1.0,(24|34)
0.002832861,1.0,(25|33)
0.002782415,5.0,(20|29)
0.002770083,1.0,(1|11)
0.002758621,2.0,(27|0)
0.002739726,1.0,(27|36)
0.002710027,1.0,(40|44)
0.002702703,1.0,(21|3)
0.002610966,1.0,(26|34)
0.002564103,1.0,(23|45)
0.002525253,1.0,(38|45)
0.002518892,1.0,(36|40)
0.002352941,1.0,(38|23)
