Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
us_000509079,0.112824,2.808105
us_000541367,0.112824,2.808105
us_000595021,0.112824,2.808105
us_000475536,0.112824,2.808106
us_000585402,0.112824,2.808110
us_000592393,0.112824,2.808112
us_000594676,0.112824,2.808112
us_000594675,0.112824,2.808112
us_000590054,0.112824,2.808115
us_000590045,0.112824,2.808115
us_000473464,0.112824,2.808118
us_000619159,0.112824,2.808120
us_000619162,0.112824,2.808120
us_000619163,0.112824,2.808120
us_000619164,0.112824,2.808120
us_000619165,0.112824,2.808120
us_000619174,0.112824,2.808120
us_000473566,0.112824,2.808123
us_000592305,0.112824,2.808126
us_000570445,0.112824,2.808126
us_000471971,0.112824,2.808128
us_000471127,0.112824,2.808128
us_000589927,0.112824,2.808132
us_000589926,0.112824,2.808132
us_000589925,0.112824,2.808132
us_000515443,0.112824,2.808132
us_000589880,0.112824,2.808132
us_000474630,0.112824,2.808133
us_000497677,0.112824,2.808134
us_000531768,0.112824,2.808134
us_000581176,0.112824,2.808135
us_000498501,0.112824,2.808136
us_000056450,0.112824,2.808137
us_000594008,0.112824,2.808139
us_000476355,0.112824,2.808140
us_000514407,0.112824,2.808140
us_000569324,0.112824,2.808141
us_000593574,0.112824,2.808143
us_000541041,0.112824,2.808145
us_000488110,0.112824,2.808146
us_000594673,0.112824,2.808147
us_000594672,0.112824,2.808147
us_000594670,0.112824,2.808147
us_000594864,0.112824,2.808147
us_000615379,0.112824,2.808147
us_000590149,0.112824,2.808148
us_000592630,0.112824,2.808149
us_000578146,0.112824,2.808149
us_000615437,0.112824,2.808150
us_000620303,0.112824,2.808151
us_000620304,0.112824,2.808151
us_000489524,0.112824,2.808151
us_000476366,0.112824,2.808152
us_000487427,0.112824,2.808154
us_000571658,0.112824,2.808155
us_000477564,0.112824,2.808155
us_000474795,0.112824,2.808155
us_000489372,0.112824,2.808157
us_000494982,0.112824,2.808158
us_000504254,0.112824,2.808162
us_000558931,0.112824,2.808162
us_000595018,0.112824,2.808167
us_000479484,0.112824,2.808174
us_000481846,0.112824,2.808174
us_000364481,0.112824,2.808176
us_000537795,0.112824,2.808176
us_000533082,0.112824,2.808177
us_000201933,0.112824,2.808178
us_000475502,0.112824,2.808178
us_000541547,0.112824,2.808179
us_000600399,0.112824,2.808181
us_000479302,0.112824,2.808183
us_000502780,0.112824,2.808184
us_000589948,0.112824,2.808184
us_000471505,0.112824,2.808186
us_000536452,0.112824,2.808187
us_000482653,0.112824,2.808188
us_000589942,0.112824,2.808189
us_000589941,0.112824,2.808189
us_000589940,0.112824,2.808189
us_000475610,0.112824,2.808191
us_000465787,0.112824,2.808191
us_000488148,0.112824,2.808193
us_000614491,0.112824,2.808193
us_000574621,0.112824,2.808195
us_000588771,0.112824,2.808195
us_000565134,0.112824,2.808197
us_000470249,0.112824,2.808198
us_000474347,0.112824,2.808198
us_000476262,0.112824,2.808200
us_000482560,0.112824,2.808200
us_000480280,0.112824,2.808200
us_000506705,0.112824,2.808202
us_000459668,0.112824,2.808204
us_000468860,0.112824,2.808206
us_000473901,0.112824,2.808207
us_000584263,0.112824,2.808209
us_000483337,0.112824,2.808210
us_000569088,0.112824,2.808210
us_000580957,0.112824,2.808211
us_000576061,0.112824,2.808211
us_000475683,0.112824,2.808211
us_000590216,0.112824,2.808211
us_000537836,0.112824,2.808212
us_000494640,0.112824,2.808212
us_000598546,0.112824,2.808213
us_000577139,0.112824,2.808213
us_000486688,0.112824,2.808216
us_000553420,0.112824,2.808216
us_000498275,0.112824,2.808216
us_000495345,0.112824,2.808216
us_000472133,0.112824,2.808219
us_000491728,0.112824,2.808219
us_000473455,0.112824,2.808220
us_000460574,0.112824,2.808220
us_000571655,0.112824,2.808220
us_000478045,0.112824,2.808222
us_000465033,0.112824,2.808222
us_000548444,0.112824,2.808222
us_000483785,0.112824,2.808222
us_000518432,0.112824,2.808222
us_000266704,0.112824,2.808223
us_000523647,0.112824,2.808225
us_000482004,0.112824,2.808226
us_000488041,0.112824,2.808227
us_000463442,0.112824,2.808227
us_000491803,0.112824,2.808228
us_000517457,0.112824,2.808228
us_000486851,0.112824,2.808229
us_000480409,0.112824,2.808230
us_000469043,0.112824,2.808230
us_000491327,0.112824,2.808231
us_000478216,0.112824,2.808231
us_000583637,0.112824,2.808232
us_000557318,0.112824,2.808233
us_000478390,0.112824,2.808234
us_000479663,0.112824,2.808236
us_000494638,0.112824,2.808237
us_000468123,0.112824,2.808237
us_000469307,0.112824,2.808237
us_000518580,0.112824,2.808239
us_000569958,0.112824,2.808241
us_000481796,0.112824,2.808241
us_000221424,0.112824,2.808241
us_000613289,0.112824,2.808241
us_000552085,0.112824,2.808242
us_000483015,0.112824,2.808242
us_000480372,0.112824,2.808242
us_000566697,0.112824,2.808243
us_000474030,0.112824,2.808244
us_000462334,0.112824,2.808244
us_000475436,0.112824,2.808245
us_000486683,0.112824,2.808245
us_000574432,0.112824,2.808245
us_000567181,0.112824,2.808247
us_000576302,0.112824,2.808249
us_000476096,0.112824,2.808249
us_000475921,0.112824,2.808251
us_000585922,0.112824,2.808251
us_000538784,0.112824,2.808253
us_000474803,0.112824,2.808253
us_000563263,0.112824,2.808253
us_000472370,0.112824,2.808254
us_000501854,0.112824,2.808255
us_000584394,0.112824,2.808256
us_000575680,0.112824,2.808256
us_000584446,0.112824,2.808256
us_000580150,0.112824,2.808257
us_000482267,0.112824,2.808257
us_000504255,0.112824,2.808260
us_000469211,0.112824,2.808261
us_000508758,0.112824,2.808261
us_000621042,0.112824,2.808261
us_000469090,0.112824,2.808262
us_000355364,0.112824,2.808263
us_000541500,0.112824,2.808264
us_000586559,0.112824,2.808264
us_000025834,0.112824,2.808266
us_000466369,0.112824,2.808268
us_000564589,0.112824,2.808268
us_000314471,0.112824,2.808269
us_000546952,0.112824,2.808269
us_000513019,0.112824,2.808269
us_000466475,0.112824,2.808272
us_000466380,0.112824,2.808273
us_000615858,0.112824,2.808274
us_000583605,0.112824,2.808274
us_000468727,0.112824,2.808274
us_000534015,0.112824,2.808274
us_000557794,0.112824,2.808275
us_000469006,0.112824,2.808276
us_000102042,0.112824,2.808276
us_000578333,0.112824,2.808276
us_000465607,0.112824,2.808277
us_000490641,0.112824,2.808277
us_000541568,0.112824,2.808277
us_000504239,0.112824,2.808278
us_000465511,0.112824,2.808278
us_000527308,0.112824,2.808279
us_000467949,0.112824,2.808281
us_000585405,0.112824,2.808281
us_000017589,0.112824,2.808283
us_000258211,0.112824,2.808283
us_000510614,0.112824,2.808285
us_000526736,0.112824,2.808287
us_000507396,0.112824,2.808290
us_000577007,0.112824,2.808290
us_000461352,0.112824,2.808290
us_000494599,0.112824,2.808291
us_000461300,0.112824,2.808291
us_000464196,0.112824,2.808292
us_000570103,0.112824,2.808293
us_000597174,0.112824,2.808295
us_000556295,0.112824,2.808300
us_000486604,0.112824,2.808303
us_000500171,0.112824,2.808304
us_000465898,0.112824,2.808306
us_000581959,0.112824,2.808306
us_000484918,0.112824,2.808307
us_000461528,0.112824,2.808307
us_000477215,0.112824,2.808307
us_000461600,0.112824,2.808308
us_000550293,0.112824,2.808308
us_000538984,0.112824,2.808309
us_000523605,0.112824,2.808309
us_000479002,0.112824,2.808310
us_000050152,0.112824,2.808310
us_000530620,0.112824,2.808311
us_000564549,0.112824,2.808311
